"rownum","Id","BaseItemType","PosX","PosY","i32","i32","Width","Height","i32","bool","rid"
0,"Metadata/Items/Currency/CurrencyRefreshBarter",9800,366,571,0,4,1,1,74,1,""
1,"Metadata/Items/Currency/CurrencyRefreshDealer",9801,569,571,1,4,1,1,74,1,""
2,"Metadata/Items/Currency/CurrencyRefreshGambler",9802,168,571,2,4,1,1,74,1,""
3,"Metadata/Items/Currency/CurrencyRefreshSaga",9803,767,571,3,4,1,1,74,1,""
4,"Metadata/Items/Expedition/ExpeditionVendorCurrencyFaction1_1",9804,118,183,0,0,1,1,74,1,0
5,"Metadata/Items/Expedition/ExpeditionVendorCurrencyFaction1_2",9805,118,270,0,1,1,1,74,1,4
6,"Metadata/Items/Expedition/ExpeditionVendorCurrencyFaction1_3",9806,211,183,1,0,1,2,82,1,8
7,"Metadata/Items/Expedition/ExpeditionVendorCurrencyFaction1_4",9807,123,365,0,2,2,2,82,1,12
8,"Metadata/Items/Expedition/ExpeditionVendorCurrencyFaction2_1",9808,319,183,0,5,1,1,74,1,1
9,"Metadata/Items/Expedition/ExpeditionVendorCurrencyFaction2_2",9809,319,270,0,6,1,1,74,1,5
10,"Metadata/Items/Expedition/ExpeditionVendorCurrencyFaction2_3",9810,414,183,1,5,1,2,82,1,9
11,"Metadata/Items/Expedition/ExpeditionVendorCurrencyFaction2_4",9811,324,365,0,7,2,2,82,1,13
12,"Metadata/Items/Expedition/ExpeditionVendorCurrencyFaction3_1",9812,517,183,2,0,1,1,74,1,2
13,"Metadata/Items/Expedition/ExpeditionVendorCurrencyFaction3_2",9813,517,270,2,1,1,1,74,1,6
14,"Metadata/Items/Expedition/ExpeditionVendorCurrencyFaction3_3",9814,613,183,3,0,1,2,82,1,10
15,"Metadata/Items/Expedition/ExpeditionVendorCurrencyFaction3_4",9815,523,365,2,2,2,2,82,1,14
16,"Metadata/Items/Expedition/ExpeditionVendorCurrencyFaction4_1",9816,719,183,2,5,1,1,74,1,3
17,"Metadata/Items/Expedition/ExpeditionVendorCurrencyFaction4_2",9817,719,270,2,6,1,1,74,1,7
18,"Metadata/Items/Expedition/ExpeditionVendorCurrencyFaction4_3",9818,813,183,3,5,1,2,82,1,11
19,"Metadata/Items/Expedition/ExpeditionVendorCurrencyFaction4_4",9819,725,365,2,7,2,2,82,1,15
20,"Metadata/Items/Expedition/ExpeditionLogbook",9797,112,672,4,0,10,6,78,"",""
