"rownum","GrantedEffectsKey","SetId","StatsKeys","StatsValuesPermille","Weight","[i32]","[i32]"
0,0,0,[175],[1000],50,[],[]
1,0,1,"[175,434]","[-2000,3000]",100,[],[]
2,0,2,"[6300,7803]","[3000,-2000]",40,[],[]
3,0,3,[12646],[250],10,[],[]
4,3007,0,[175],[1000],50,[],[]
5,58,0,[434],[500],50,[],[]
6,58,1,[5505],[1500],100,[],[]
7,58,2,[216],[500],100,[],[]
8,58,3,[3558],[500],100,[],[]
9,68,0,[434],[500],50,[],[]
10,98,0,[341],[1000],50,[],[]
11,98,1,[434],[1000],100,[],[]
12,98,2,[24],[1000],100,[],[]
13,98,3,[70],[500],20,[],[]
14,103,0,[434],[500],50,[],[]
15,103,1,[70],[500],100,[],[]
16,103,2,[12618],[100],100,[],[]
17,103,3,[402],[1000],20,[],[]
18,166,0,[70],[500],50,[],[]
19,166,1,[343],[1000],20,[],[]
20,166,2,[12927],[2000],50,[],[]
21,166,3,[12928],[5000],50,[],[]
22,10650,0,[70],[500],50,[],[]
23,187,0,[177],[1000],50,[],[]
24,187,1,[24],[1000],100,[],[]
25,187,2,[472],[1000],100,[],[]
26,234,0,[215],[1000],50,[],[]
27,234,1,[3478],[2000],100,[],[]
28,234,2,"[4525,3336]","[1000,-2000]",20,[],[]
29,244,0,[70],[500],50,[],[]
30,244,1,[486],[2000],100,[],[]
31,244,2,[5412],[1000],100,[],[]
32,252,0,[486],[1000],50,[],[]
33,252,1,[434],[500],100,[],[]
34,252,2,[6300],[1000],100,[],[]
35,270,0,"[554,95]","[1000,500]",50,[],[]
36,270,1,[1230],[250],100,[],[]
37,270,2,[12954],[5000],100,[],[]
38,270,3,[13001],[500],20,[],[]
39,281,0,[70],[500],50,[],[]
40,281,1,[24],[3000],100,[],[]
41,281,2,[12623],[10000],20,[],[]
42,316,0,[70],[500],50,[],[]
43,316,1,[173],[50],100,[],[]
44,316,2,[6880],[50],20,[],[]
45,316,3,[13025],[250],50,[],[]
46,322,0,[216],[500],50,[],[]
47,322,1,[1486],[3000],10,[41],[]
48,322,2,[12948],[4000],20,[],[]
49,341,0,[70],[500],50,[],[]
50,341,1,[174],[50],20,[],[]
51,341,2,[24],[1000],100,[],[]
52,10694,0,[70],[500],50,[],[]
53,540,0,[42],[500],50,[],[]
54,540,1,"[42,10173]","[-1000,1000]",50,[],[]
55,540,2,[1100],[1000],100,[],[]
56,541,0,[70],[500],50,[],[]
57,541,1,[3336],[500],5,[],[]
58,541,2,[9080],[500],50,[],[]
59,545,0,[498],[500],50,[],[]
60,545,1,"[213,13979,175]","[1000,-1000,500]",100,[],[]
61,545,2,[13189],[1000],50,[],[]
62,543,0,[498],[500],50,[],[]
63,543,1,"[213,13979,175]","[1000,-1000,500]",100,[],[]
64,543,2,[13189],[1000],50,[],[]
65,547,0,[175],[500],50,[],[]
66,547,1,[12635],[500],10,[],[]
67,547,2,[498],[500],50,[],[]
68,549,0,[49],[500],50,[],[]
69,549,1,[455],[500],100,[],[]
70,549,2,[1101],[1000],100,[],[]
71,551,0,[84],[1000],50,[],[]
72,551,1,[95],[1000],100,[],[]
73,551,2,[12852],[200],20,[],[]
74,552,0,[619],[500],100,[],[]
75,552,1,"[434,24]","[500,-1000]",50,[],[]
76,552,2,[434],[250],50,[],[]
77,554,0,[56],[500],50,[],[]
78,554,1,[554],[1500],100,[],[]
79,554,2,[1102],[1000],100,[],[]
80,575,0,[159],[1000],50,[],[]
81,575,1,[5446],[2000],100,[],[]
82,575,2,[2093],[6000],100,[],[]
83,575,3,"[12644,4118]","[1000,500]",10,[41],[]
84,587,0,[434],[500],50,[],[]
85,587,1,[9761],[1000],100,[],[]
86,587,2,[1103],[1000],100,[],[]
87,10655,0,[434],[500],50,[],[]
88,601,0,[8436],[250],50,[],[]
89,601,1,[12784],[100],5,[],[]
90,601,2,[12924],[2000],50,[],[]
91,606,0,[209],[1000],50,[],[]
92,606,1,[434],[500],100,[],[]
93,606,2,[25],[1000],100,[],[]
94,650,0,[486],[1000],50,[],[]
95,650,1,[216],[2000],100,[],[]
96,650,2,[3602],[500],5,[],[]
97,650,3,[12950],[2000],20,[],[]
98,655,0,[216],[3000],10000,[],[]
99,655,1,[12600],[1000],1,[],[]
100,656,0,[216],[3000],50,[],[]
101,657,0,[10092],[1000],50,[],[]
102,657,1,[554],[1000],100,[],[]
103,657,2,[213],[500],100,[],[]
104,662,0,[554],[1000],50,[],[]
105,662,1,[95],[250],100,[],[]
106,662,2,[3856],[500],20,[],[]
107,664,0,[95],[500],50,[],[]
108,664,1,[554],[1000],100,[],[]
109,664,2,[6054],[750],100,[],[]
110,665,0,[479],[500],50,[],[]
111,665,1,[24],[500],100,[],[]
112,665,2,[402],[2000],100,[],[]
113,667,0,[9047],[500],50,[],[]
114,667,1,[584],[2000],100,[],[]
115,667,2,[9267],[5000],50,[],[]
116,669,0,[9048],[500],50,[],[]
117,669,1,[12878],[500],5,[],[]
118,669,2,[1300],[200],20,[],[]
119,670,0,[63],[500],50,[],[]
120,670,1,[597],[250],100,[],[]
121,670,2,[1103],[1000],100,[],[]
122,672,0,[186],[250],50,[],[]
123,672,1,[3336],[3000],100,[],[]
124,672,2,[13012],[1000],100,[],[]
125,680,0,[186],[250],50,[],[]
126,819,0,[175],[1000],50,[],[]
127,819,1,[6235],[100],100,[],[]
128,819,2,[173],[100],100,[],[]
129,819,3,[1488],[2000],100,[41],[]
130,3011,0,[175],[1000],50,[],[]
131,833,0,[341],[1500],50,[],[]
132,833,1,[3825],[200],100,[],[]
133,833,2,[12894],[5000],10,[],[]
134,835,0,[175],[2000],50,[],[]
135,835,1,[6235],[100],20,[],[]
136,835,2,[49],[1000],100,[],[]
137,835,3,[8706],[-1000],50,[],[]
138,851,0,[498],[500],50,[],[]
139,851,1,[6235],[100],100,[],[]
140,851,2,[12887],[2000],100,[],[]
141,852,0,[313],[500],50,[],[]
142,852,1,[24],[500],100,[],[]
143,852,2,[312],[1000],100,[],[]
144,854,0,[617],[1000],50,[],[]
145,854,1,"[12642,159]","[1000,1000]",100,[],[]
146,854,2,[12643],[500],100,[],[]
147,854,3,[12653],[5000],20,[],[]
148,863,0,[12568],[2000],50,[],[]
149,863,1,[70],[500],100,[],[]
150,863,2,[434],[1000],100,[],[]
151,870,0,[12568],[2000],50,[],[]
152,880,0,[215],[1000],50,[],[]
153,880,1,[24],[3000],100,[],[]
154,880,2,[2064],[5000],100,[],[]
155,890,0,[175],[2000],50,[],[]
156,890,1,"[13024,634]","[3000,-1000]",50,[],[]
157,890,2,[13172],[5000],20,[],[]
158,905,0,[200],[2000],50,[],[]
159,905,1,[12651],[5000],50,[],[]
160,905,2,[56],[1000],100,[],[]
161,941,0,"[70,3362]","[500,500]",50,[],[]
162,941,1,[1103],[1000],100,[],[]
163,941,2,[63],[1000],100,[],[]
164,941,3,[13177],[500],10,[],[]
