"rownum","Level","StatValueMultiplier","ScalingStats","ScalingValues","ScalingValues2","ScalingValuesHardmode","ScalingValuesHardmode2"
0,1,0.1,"[10611,10615,10619]","[400,20,25]","[800,25,25]","[400,20,5]","[800,25,5]"
1,8,0.2,"[10611,10615,10619]","[400,20,25]","[800,25,25]","[400,20,5]","[800,25,5]"
2,15,0.3,"[10611,10615,10619]","[400,20,25]","[800,25,25]","[400,20,5]","[800,25,5]"
3,22,0.4,"[10611,10615,10619]","[400,20,25]","[800,25,25]","[400,20,5]","[800,25,5]"
4,29,0.5,"[10611,10615,10619]","[400,20,25]","[800,25,25]","[400,20,5]","[800,25,5]"
5,36,0.6,"[10611,10615,10619]","[400,20,25]","[800,25,25]","[400,20,5]","[800,25,5]"
6,43,0.7,"[10611,10615,10619]","[400,20,25]","[800,25,25]","[400,20,5]","[800,25,5]"
7,50,0.8,"[10611,10615,10619]","[400,20,25]","[800,25,25]","[400,20,5]","[800,25,5]"
8,57,0.9,"[10611,10615,10619]","[400,20,25]","[800,25,25]","[400,20,5]","[800,25,5]"
9,68,1,"[10611,10615,10619]","[400,20,25]","[800,25,25]","[400,20,5]","[800,25,5]"
10,69,1.03,"[10611,10615,10619]","[400,20,25]","[800,25,25]","[400,20,5]","[800,25,5]"
11,70,1.06,"[10611,10615,10619]","[400,20,25]","[800,25,25]","[400,20,5]","[800,25,5]"
12,71,1.09,"[10611,10615,10619]","[400,20,25]","[800,25,25]","[400,20,5]","[800,25,5]"
13,72,1.12,"[10611,10615,10619]","[400,20,25]","[800,25,25]","[400,20,5]","[800,25,5]"
14,73,1.15,"[10611,10615,10619]","[400,20,25]","[800,25,25]","[400,20,5]","[800,25,5]"
15,74,1.18,"[10611,10615,10619]","[400,20,25]","[800,25,25]","[400,20,5]","[800,25,5]"
16,75,1.21,"[10611,10615,10619]","[400,20,25]","[800,25,25]","[400,20,5]","[800,25,5]"
17,76,1.24,"[10611,10615,10619]","[400,20,25]","[800,25,25]","[400,20,5]","[800,25,5]"
18,77,1.27,"[10611,10615,10619]","[400,20,25]","[800,25,25]","[400,20,5]","[800,25,5]"
19,78,1.3,"[10611,10615,10619]","[400,20,25]","[800,25,25]","[400,20,5]","[800,25,5]"
20,79,1.33,"[10611,10615,10619]","[400,20,25]","[800,25,25]","[400,20,5]","[800,25,5]"
21,80,1.36,"[10611,10615,10619]","[400,20,25]","[800,25,25]","[400,20,5]","[800,25,5]"
22,81,1.39,"[10611,10615,10619]","[400,20,25]","[800,25,25]","[400,20,5]","[800,25,5]"
23,82,1.42,"[10611,10615,10619]","[400,20,25]","[800,25,25]","[400,20,5]","[800,25,5]"
24,83,1.45,"[10611,10615,10619]","[400,20,25]","[800,25,25]","[400,20,5]","[800,25,5]"
