"rownum","Id","i32","i32","bool","i32","i32","i32","i32","i32","i32"
0,"None",0,0,"",1677721600,0,0,335544320,0,0
1,"Act2Default",3,0,"",1627389952,16777216,0,771751936,0,0
2,"Act3Default",3,0,"",1627389952,16777216,0,1476395008,0,0
3,"Act4Default",3,0,"",1627389952,33554432,0,-2113929216,0,0
4,"Act5EarlyDefault",3,0,"",1627389952,33554432,0,-973078528,0,0
5,"Act5LateDefault",4,0,"",1610612736,50331648,0,134217728,1,0
6,"Act6Default",8,0,"",1543503872,100663296,0,1375731712,1,0
7,"Act7Default",8,0,"",1543503872,117440512,0,-872415232,1,0
8,"Act8Default",8,0,"",1543503872,117440512,0,1442840576,2,0
9,"Act9Default",8,0,"",1543503872,134217728,0,-536870912,2,0
10,"Act10Default",8,0,"",1543503872,134217728,0,2080374784,3,0
11,"Map",0,0,"",1677721600,0,0,100663296,4,16777216
12,"Tier1Map",20,3,1,1275068416,234881024,0,436207616,4,0
13,"Tier2Map",21,3,1,1258291200,234881024,0,234881024,5,0
14,"Tier3Map",22,3,1,1241513984,234881024,0,33554432,6,0
15,"Tier4Map",23,3,1,1224736768,234881024,0,-167772160,6,0
16,"Tier5Map",24,3,1,1207959552,234881024,0,-369098752,7,0
17,"Tier6Map",25,4,1,1174405120,234881024,0,-570425344,8,0
18,"Tier7Map",26,4,1,1157627904,234881024,0,-771751936,9,0
19,"Tier8Map",27,4,1,1140850688,234881024,0,-973078528,10,0
20,"Tier9Map",28,4,1,1124073472,234881024,0,-1174405120,11,0
21,"Tier10Map",29,4,1,1107296256,234881024,0,-1342177280,12,0
22,"Tier11Map",30,5,1,1073741824,234881024,0,-1509949440,13,0
23,"Tier12Map",31,5,1,1056964608,234881024,0,-1677721600,14,0
24,"Tier13Map",32,5,1,1040187392,234881024,0,-1845493760,15,0
25,"Tier14Map",33,5,1,1023410176,234881024,0,-2013265920,16,0
26,"Tier15Map",34,5,1,1006632960,234881024,0,2113929216,17,0
27,"Tier16Map",35,5,1,989855744,234881024,0,1946157056,18,0
28,"Tier17Map",36,5,1,973078528,234881024,0,1778384896,19,0
