"rownum","BaseItemTypesKey","StrengthRequirementPercent","DexterityRequirementPercent","IntelligenceRequirementPercent","VaalVariant_BaseItemTypesKey","IsVaalVariant","MinionGlobalSkillLevelStat","IsSupport","bool","bool","bool","bool","bool","AwakenedVariant","RegularVariant","i32","ItemExperienceType","MtxSlotTypes","GemEffects"
0,6400,0,0,100,6610,"","","","","","",1,1,"","",3,0,[0],"[0,1,2]"
1,6610,0,0,100,"",1,"","","","","",1,1,"","",3,0,[0],"[3,4,5]"
2,6401,0,0,100,6619,"","","","","","",1,1,"","",3,4,[0],"[6,7,8]"
3,6440,0,0,100,"","","","","","","",1,1,"","",3,0,[0],[9]
4,6619,0,0,100,"",1,"","","","","",1,1,"","",3,4,[0],"[10,11,12]"
5,6402,100,0,0,"","","","","","","",1,1,"","",1,3,[0],"[13,14,15]"
6,6453,40,0,60,"","","","","","","",1,1,"","",3,8,[0],[16]
7,6403,0,100,0,"","","","","","","",1,1,"","",2,8,[0],"[17,18,19]"
8,6404,0,60,40,7117,"","","","","","",1,1,"","",2,8,[0],"[20,21,22]"
9,6405,100,0,0,"","","","","","","",1,1,"","",1,4,[0],"[23,24,25]"
10,6406,100,0,0,"","","","","","","",1,1,"","",1,8,[0],[26]
11,6640,100,0,0,"",1,"","","","","",1,1,"","",1,4,[0],[27]
12,6620,0,0,0,"","","","","","","",1,1,"","",4,3,[0],[28]
13,6407,100,0,0,6622,"","","","","","",1,1,"","",1,0,[0],"[29,30,31]"
14,6622,100,0,0,"",1,"","","","","",1,1,"","",1,0,[0],"[32,33,34]"
15,6408,60,40,0,7112,"","","","","","",1,1,"","",1,0,[0],"[35,36,37]"
16,6409,100,0,0,"","","","","","","",1,1,"","",1,3,[0],"[38,39,40]"
17,6410,100,0,0,"","","","","","","",1,1,"","",1,3,[0],[41]
18,6411,0,100,0,6628,"","","","","","",1,1,"","",2,0,[0],"[42,43,44]"
19,6628,0,100,0,"",1,"","","","","",1,1,"","",2,0,[0],"[45,46,47]"
20,6412,40,60,0,"","","","","","","",1,1,"","",2,4,[0],"[48,49,50]"
21,6413,0,100,0,"","","","","","","",1,1,"","",2,4,[0],"[51,52,53]"
