"rownum","StatsKey","bool","bool","bool","bool"
0,24,"","",1,""
1,12532,1,"",1,""
2,12533,1,"",1,""
3,12536,1,"",1,""
4,12537,1,"",1,""
5,12534,1,"",1,""
6,12535,1,"",1,""
7,12538,1,"",1,""
8,12539,1,"",1,""
9,12540,1,"","",""
10,459,1,"","",""
11,12541,1,"","",""
12,1359,"","",1,""
13,4941,"","",1,""
14,25,"","",1,""
15,553,"","",1,""
16,12394,"","","",1
17,12395,"","","",1
18,12509,"","",1,""
19,12510,"","",1,""
20,12396,"","","",1
21,12511,"","",1,""
22,12512,"","",1,""
23,12513,"","",1,""
24,12514,"","",1,""
25,12515,"","",1,""
26,12516,"","",1,""
27,12517,"","",1,""
28,12518,"","",1,""
29,12519,"","",1,""
30,12520,"","",1,""
31,12521,"","",1,""
32,12522,"","",1,""
33,12529,"","",1,""
34,12526,"","",1,""
35,12528,"","",1,""
36,12531,"","",1,""
37,12530,"","",1,""
38,12527,"","",1,""
39,12549,"","",1,""
40,12550,"","",1,""
41,12551,"","",1,""
42,12552,"","",1,""
43,12553,"","",1,""
44,12554,"","",1,""
45,12555,"","",1,""
46,12556,"","",1,""
47,12557,"","",1,""
48,12558,"","",1,""
49,12559,"","",1,""
50,12560,"","",1,""
51,12561,"","",1,""
52,12349,"","","",1
53,12350,"","","",1
54,12351,"","","",1
55,12563,"","","",1
56,12397,"","","",1
57,12356,"","","",1
58,12355,"","","",1
59,13071,"","","",1
60,13072,"","","",1
61,13073,"","","",1
62,13075,1,"",1,""
63,13076,1,"",1,""
64,13077,1,"",1,""
65,13078,1,"",1,""
66,13079,1,"",1,""
67,13080,"",1,"",""
68,13081,"","","",1
69,13082,"","","",1
70,13083,"","",1,""
71,13084,"","",1,""
72,13085,"","",1,""
73,13086,"","",1,""
74,13087,"","",1,""
75,13088,"","",1,""
76,13089,"","","",1
77,13090,"","","",1
78,13091,"","","",1
79,13092,"","","",1
80,13093,"","","",1
81,13094,"","","",1
82,13095,"","","",1
83,13096,"","","",1
84,13097,"","","",1
85,13098,"","",1,""
86,13099,"","",1,""
87,13100,"","",1,""
88,13101,"","",1,""
89,13102,"","",1,""
90,13103,"","",1,""
91,13104,"","",1,""
92,13105,"","",1,""
93,13106,"","",1,""
94,13107,"",1,"",""
95,13123,"","","",1
96,13124,"","","",1
97,13130,"","",1,""
98,13131,"","",1,""
99,13132,"","",1,""
100,13133,"","",1,""
101,13134,"","",1,""
102,13135,"","",1,""
103,13136,"","",1,""
104,13137,"","",1,""
105,13138,"","",1,""
106,12783,"","","",1
107,12784,"","","",1
108,13206,"","","",""
109,12786,"","","",1
110,12353,"","","",1
111,12785,"","","",""
112,13207,"",1,"",""
113,13208,"","","",1
114,13209,"","","",1
115,13210,"","","",1
116,13211,"","","",1
117,13214,"","",1,""
118,12722,"","","",1
119,12723,"","","",1
120,12755,"","","",1
121,12756,"","","",1
122,12757,"","","",1
123,12760,"","","",1
124,12761,"","","",1
125,12762,"","","",1
126,12763,"","","",1
127,12764,"","","",1
128,12765,"","","",1
129,12766,"","","",1
130,12767,"","","",1
131,12768,"","","",1
132,12769,"","","",1
133,12770,"","","",1
134,13245,"","","",1
