"rownum","UniqueBase","i32"
0,5271,1
1,5272,2
2,5273,3
3,5275,4
4,5276,5
5,5279,6
6,5282,7
7,5285,8
8,5288,9
9,5298,10
10,5300,11
11,5301,12
12,5306,13
13,5309,14
14,5311,15
15,5312,16
16,5315,17
17,5316,18
18,5317,19
19,5318,20
20,5319,21
21,5320,22
22,5328,23
23,5330,24
24,5333,25
25,5335,26
26,5337,27
27,5340,28
28,5346,29
29,5347,30
30,5349,31
31,5350,32
32,5351,33
33,5357,34
34,5359,35
35,5362,36
36,5366,37
37,5374,38
38,5377,39
39,5378,40
40,5379,41
41,5386,42
42,5388,43
43,5390,44
44,5392,45
45,5393,46
46,5399,47
47,5401,48
48,5404,49
49,5405,50
50,5406,51
51,5407,52
52,5408,53
53,5409,54
54,5415,55
55,5417,56
56,5418,57
57,5419,58
58,5425,59
59,5436,60
60,5441,61
61,5443,62
62,5446,63
63,5450,64
64,5453,65
65,5458,66
66,5461,67
67,5469,68
68,5473,69
69,5474,70
70,5476,71
71,5478,72
72,5481,73
73,5484,74
74,5485,75
75,5486,76
76,5487,77
77,5488,78
78,5489,79
79,5490,80
80,5495,81
81,5496,82
82,5497,83
83,5499,84
84,5501,85
85,5502,86
86,5510,87
87,5514,88
88,5515,89
89,5516,90
90,5517,91
91,5518,92
92,5524,93
93,5527,94
94,5529,95
95,5530,96
96,5534,97
97,5535,98
98,5536,99
99,5539,100
100,5540,101
101,5541,102
102,5542,103
103,5543,104
104,5544,105
105,5554,106
106,5555,107
107,5558,108
108,5560,109
109,5562,110
110,5565,111
111,5567,112
112,5569,113
113,5570,114
114,5571,115
115,5572,116
116,5579,117
117,5581,118
118,5582,119
119,5587,120
120,5589,121
121,5593,122
122,5594,123
123,5596,124
124,5597,125
125,5605,126
126,5606,127
127,5607,128
128,5611,129
129,5612,130
130,5615,131
131,5617,132
132,5620,133
133,5621,134
134,5622,135
135,5627,136
136,5743,137
137,5744,138
138,5746,139
139,5754,140
140,5756,141
141,5757,142
142,5762,143
143,5763,144
144,5765,145
145,5769,146
146,5773,147
147,5774,148
148,5783,149
149,5784,150
150,5785,151
151,5788,152
152,5789,153
153,5791,154
154,5794,155
155,5795,156
156,5799,157
157,5801,158
158,5807,159
159,5808,160
160,5811,161
161,5812,162
162,5818,163
163,5819,164
164,5821,165
165,5822,166
166,5823,167
167,5824,168
168,5831,169
169,5832,170
170,5836,171
171,5837,172
