"rownum","Id","Order","Width","Height","TotalCount","i32","Name","StandardCount","Image","ChallengeLeagueCount","IsDisabled"
0,"Flask",1,1,2,41,2,"Flask",36,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Flask",36,""
1,"Amulet",2,1,1,115,1,"Amulet",85,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Amulet",85,""
2,"Ring",3,1,1,129,1,"Ring",96,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Ring",97,""
3,"Claw",4,2,2,44,2,"Claw",20,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Claw",20,""
4,"Dagger",5,1,3,25,3,"Dagger",21,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Dagger",21,""
5,"Wand",6,1,3,27,3,"Wand",23,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Wand",23,""
6,"Sword",7,2,3,136,3,"Sword",55,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Swords",55,""
7,"Axe",8,2,4,66,4,"Axe",27,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Axe",27,""
8,"Mace",9,2,4,116,4,"Mace",49,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Maces",49,""
9,"Bow",10,2,4,70,4,"Bow",28,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Bow",28,""
10,"Staff",11,2,4,94,4,"Staff",37,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Staff",37,""
11,"Quiver",12,2,3,54,3,"Quiver",21,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Quiver",21,""
12,"Belt",13,2,1,140,1,"Belt",56,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Belt",57,""
13,"Gloves",14,2,2,182,2,"Gloves",81,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Gloves",82,""
14,"Boots",15,2,2,178,2,"Boots",73,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Boots",74,""
15,"Body Armour",16,2,3,212,3,"Body Armour",93,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Armour",93,""
16,"Helmet",17,2,2,254,2,"Helmet",105,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Helmet",105,""
17,"Shield",18,2,4,160,4,"Shield",68,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Shield",68,""
18,"Map",19,1,1,32,1,"Map",30,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Maps",30,""
19,"Jewel",20,1,1,193,1,"Jewel",108,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Jewels",108,""
20,"Watchstone",21,1,1,15,1,"Watchstone",15,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Watchstone",15,1
21,"HeistContract",22,1,1,6,1,"Contract",5,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Contract",5,""
