"rownum","WorldAreasKey","ItemVisualIdentityKey","bool","Tier","i32","i32","bool"
0,1090,8030,"",4,1,5,""
1,1091,7883,"",0,1,5,""
2,1092,7897,"",0,6,10,""
3,1093,7896,"",0,6,10,""
4,1266,7942,"",9,1,5,""
5,1094,8020,"",0,1,5,""
6,1095,8022,"",0,1,5,""
7,1096,7881,"",16,1,5,""
8,1097,7887,"",13,1,5,""
9,1098,7888,"",1,1,5,""
10,1099,7891,"",0,1,5,""
11,1100,8028,"",9,6,10,""
12,1101,8014,"",13,1,5,""
13,1102,7985,"",0,1,5,""
14,1103,7957,"",0,1,5,""
15,1104,7978,"",0,6,10,""
16,1105,7902,"",0,1,5,""
17,1106,7951,"",2,6,10,""
18,1107,7901,"",11,1,5,""
19,1108,7924,"",0,6,10,""
20,1109,7878,"",11,1,5,""
21,1110,8025,"",8,6,10,""
22,1111,8021,"",7,1,5,""
23,1112,8026,"",0,11,15,""
24,1113,7917,"",3,1,5,""
25,1114,9589,"",3,0,0,""
26,1115,7956,"",3,6,10,""
27,1117,7890,"",4,1,5,""
28,1118,7973,"",1,6,10,""
29,1119,7986,"",11,1,5,""
30,1120,7972,"",0,11,15,""
31,1121,7910,"",13,11,15,""
32,1261,7961,"",7,1,5,""
33,1263,7955,"",8,1,5,""
34,1264,7982,"",2,1,5,""
35,1265,7977,"",2,1,5,""
36,1267,7906,"",0,1,5,""
37,1268,7914,"",0,1,5,""
38,1122,8024,"",3,6,10,""
39,1123,8019,"",0,1,5,""
40,1124,8011,"",0,1,5,""
41,1125,7980,"",14,1,5,""
42,1126,12279,"",14,0,0,1
43,1127,7889,"",9,1,5,""
44,1128,7892,"",0,6,10,""
45,1129,7919,"",3,6,10,""
46,1130,7967,"",15,6,10,""
47,1131,7908,"",9,6,10,""
48,1132,7932,"",0,1,5,""
49,1133,8012,"",0,1,5,""
50,1134,8018,"",2,1,5,""
51,1135,7882,"",14,1,5,""
52,1136,7898,"",0,11,15,""
53,1137,7894,"",5,6,10,""
54,1138,7918,"",6,1,5,""
55,1139,7920,"",10,1,5,""
56,1140,7926,"",5,1,5,""
57,1141,7934,"",5,1,5,""
58,1142,9092,"",5,0,0,""
59,1143,7931,"",4,11,15,""
60,1144,12039,"",4,0,0,""
61,1145,7960,"",10,6,10,""
62,1146,8013,"",10,6,10,""
63,1147,8007,"",0,6,10,""
64,1148,7963,"",12,6,10,""
65,1149,7968,"",16,6,10,""
66,1150,7915,"",3,1,5,""
67,1151,7903,"",2,1,5,""
68,1152,12280,"",2,0,0,""
69,1153,7923,"",1,6,10,""
70,1154,9268,"",1,0,0,""
71,1155,7953,"",15,6,10,""
72,1156,11652,"",15,0,0,""
73,1157,7952,"",5,11,15,""
74,1158,7928,"",8,6,10,""
75,1159,7954,"",16,6,10,""
76,1160,8029,"",2,11,15,""
77,1161,8023,"",2,11,15,""
78,1162,7992,"",8,6,10,""
79,1163,7893,"",4,11,15,""
80,1164,8036,"",4,0,0,""
81,1165,7912,"",0,6,10,""
82,1166,7947,"",0,1,5,""
83,1167,7949,"",5,11,15,""
84,1168,10335,"",5,0,0,1
