"rownum","Id","Name","NodeIcon","Stats","StatValues","HASH16","PassiveBG","Effect","Type","Limit","RequiresAdjacent","MaxAdjacent","AllocatedPassiveSkill"
0,"Ngamahu1","Tattoo of the Ngamahu Firewalker","Art/2DArt/SkillIcons/passives/FireResistNode.dds",[144],[8],23594,"Art/2DArt/UIImages/InGame/AncestralTrial/PassiveTreeTattoos/NgamahuTribePassiveBG","",2,"",0,0,""
1,"Ngamahu2","Tattoo of the Ngamahu Shaman","Art/2DArt/SkillIcons/passives/FireResistNode.dds",[207],[15],40078,"Art/2DArt/UIImages/InGame/AncestralTrial/PassiveTreeTattoos/NgamahuTribePassiveBG","",2,"",0,0,""
2,"Ngamahu3","Tattoo of the Ngamahu Warrior","Art/2DArt/SkillIcons/passives/firedamage.dds","[43,44]","[3,5]",23459,"Art/2DArt/UIImages/InGame/AncestralTrial/PassiveTreeTattoos/NgamahuTribePassiveBG","",2,"",0,0,""
3,"Ngamahu4","Tattoo of the Ngamahu Warmonger","Art/2DArt/SkillIcons/passives/firedamage.dds",[18957],[2],2750,"Art/2DArt/UIImages/InGame/AncestralTrial/PassiveTreeTattoos/NgamahuTribePassiveBG","",2,"",0,0,""
4,"Ngamahu5","Tattoo of the Ngamahu Woodcarver","Art/2DArt/SkillIcons/passives/totemandbrandlife.dds",[166],[6],25283,"Art/2DArt/UIImages/InGame/AncestralTrial/PassiveTreeTattoos/NgamahuTribePassiveBG","",2,"",0,0,""
5,"Ngamahu6","Loyalty Tattoo of Kaom","Art/2DArt/SkillIcons/NgamahuTribeSkill.dds","[18811,18843]","[1,1]",53029,"Art/2DArt/UIImages/InGame/AncestralTrial/PassiveTreeTattoos/NgamahuTribePassiveBG",64236,1,0,0,0,""
6,"Ngamahu7","Tattoo of the Ngamahu Makanga","Art/2DArt/SkillIcons/passives/FireResistNode.dds",[941],[1],48045,"Art/2DArt/UIImages/InGame/AncestralTrial/PassiveTreeTattoos/NgamahuTribePassiveBG","",2,"",0,1,""
7,"Kitava1","Tattoo of the Kitava Blood Drinker","Art/2DArt/SkillIcons/passives/lifegainpertarget.dds",[2690],[50],9722,"Art/2DArt/UIImages/InGame/AncestralTrial/PassiveTreeTattoos/KitavaTribePassiveBG","",3,"",0,0,""
8,"Kitava2","Tattoo of the Kitava Rebel","Art/2DArt/SkillIcons/passives/Blood2.dds",[4427],[15],39618,"Art/2DArt/UIImages/InGame/AncestralTrial/PassiveTreeTattoos/KitavaTribePassiveBG","",3,"",0,0,""
9,"Kitava3","Tattoo of the Kitava Warrior","Art/2DArt/SkillIcons/passives/damage.dds","[28,29]","[2,3]",48056,"Art/2DArt/UIImages/InGame/AncestralTrial/PassiveTreeTattoos/KitavaTribePassiveBG","",3,"",0,0,""
10,"Kitava4","Tattoo of the Kitava Heart Eater","Art/2DArt/SkillIcons/passives/lifegainpertarget.dds",[18956],[4],21336,"Art/2DArt/UIImages/InGame/AncestralTrial/PassiveTreeTattoos/KitavaTribePassiveBG","",3,"",0,0,""
11,"Kitava5","Tattoo of the Kitava Shaman","Art/2DArt/SkillIcons/passives/SkillscostingLifenode.dds",[14708],[4],47008,"Art/2DArt/UIImages/InGame/AncestralTrial/PassiveTreeTattoos/KitavaTribePassiveBG","",3,"",0,0,""
