"rownum","rid","[rid]","bool","i32","i32"
0,19119,"[3453,5054,5202,6054,7226]","",0,0
1,19120,"[5199,5196,5190,5193]","",0,0
2,19122,"[6045,6047,6049,6052]","",0,0
3,19123,"[4969,4965,4972,4960]","",0,0
4,19124,"[7213,7216,7219,7222]","",0,0
5,19125,"[7819,7844,7867,7896]","",0,0
6,19154,[8255],1,0,0
7,19155,[8259],1,0,0
8,19156,[8263],1,0,0
9,19158,[6676],"",0,0
10,19179,"[2558,2563,2568,2571,2574,2579,2582,2584,2587,2589,2591,2596,2598,2600,2602,2605,2609,2612,2614,2619,2621,2623,2627,2630,2632,2634,2636,2641,2644,2648,2650,2653,2657,2659]",1,16777216,0
11,19269,[3142],1,0,0
12,19350,[5604],1,0,0
