"rownum","string","i32","string","string","string","rid","i32","bool","bool","[string]","bool","string","i32","i32","i32"
0,"ChangeNormalGemIntoAlternateGemOfSameColour1",10,"<white>{Transform} a <white>{Skill Gem} to be a random <white>{Transfigured Gem} of the same colour","change_gem_to_random_alternate_gem_of_same_colour","",26117,0,"",1,[],"","ed Skill Gem} to be a random <white>{Transfigured} version",0,0,0
1,"ChangeNormalGemIntoAlternateGem1",9,"<white>{Transform} a <white>{non-Transfigured Skill Gem} to be a random <white>{Transfigured} version","change_gem_to_alternate_gem","",58425,0,"","","[""笀䜀攀洀紀""]",1,"ed Skill Gem} to be a random <white>{Transfigured} version",0,0,0
2,"AddGemExperienceCruel1",1,"Add 3m experience to a <white>{Gem}","add_experience_to_gem","3000000",12176,0,"","",[],"","ed Skill Gem} to be a random <white>{Transfigured} version",0,0,1
3,"AddGemExperienceCruel2",1,"Add 5m experience to a <white>{Gem}","add_experience_to_gem","5000000",11863,0,"","",[],"","ed Skill Gem} to be a random <white>{Transfigured} version",0,0,1
4,"AddGemExperienceMerciless1",1,"Add 15m experience to a <white>{Gem}","add_experience_to_gem","15000000",35111,0,"","",[],"","ed Skill Gem} to be a random <white>{Transfigured} version",0,0,1
5,"AddGemExperienceMerciless2",1,"Add 30m experience to a <white>{Gem}","add_experience_to_gem","30000000",6745,0,"","",[],"","ed Skill Gem} to be a random <white>{Transfigured} version",0,0,1
6,"AddGemExperienceMerciless3",1,"Add 50m experience to a <white>{Gem}","add_experience_to_gem","50000000",31873,0,"","","[""琀攀㸀笀䜀攀洀紀""]","","ed Skill Gem} to be a random <white>{Transfigured} version",0,0,1
7,"AddGemExperienceMerciless4",1,"Add 75m experience to a <white>{Gem}","add_experience_to_gem","75000000",56673,0,"","","[""琀攀㸀笀䜀攀洀紀""]","","ed Skill Gem} to be a random <white>{Transfigured} version",0,0,1
8,"AddGemExperienceUber1",1,"Add 30m experience to a <white>{Gem}","add_experience_to_gem","30000000",17232,0,"","",[],"","ed Skill Gem} to be a random <white>{Transfigured} version",0,0,1
9,"AddGemExperienceUber2",1,"Add 50m experience to a <white>{Gem}","add_experience_to_gem","50000000",2301,0,"","","[""琀攀㸀笀䜀攀洀紀""]","","ed Skill Gem} to be a random <white>{Transfigured} version",0,0,1
10,"AddGemExperienceUber3",1,"Add 100m experience to a <white>{Gem}","add_experience_to_gem","100000000",57389,0,"","","[""琀攀㸀笀䜀攀洀紀""]","","ed Skill Gem} to be a random <white>{Transfigured} version",0,0,1
