"rownum","Level","i32"
0,1,60
1,2,66
2,3,70
3,4,76
4,5,80
5,6,86
6,7,90
7,8,96
8,9,100
9,10,106
10,11,110
11,12,116
12,13,120
13,14,126
14,15,130
15,16,136
16,17,140
17,18,146
18,19,150
19,20,156
20,21,160
21,22,166
22,23,170
23,24,176
24,25,180
25,26,186
26,27,190
27,28,196
28,29,200
29,30,206
30,31,210
31,32,216
32,33,220
33,34,226
34,35,230
35,36,236
36,37,240
37,38,246
38,39,250
39,40,256
40,41,260
41,42,266
42,43,270
43,44,276
44,45,280
45,46,286
46,47,290
47,48,296
48,49,300
49,50,306
50,51,310
51,52,316
52,53,320
53,54,326
54,55,330
55,56,336
56,57,340
57,58,346
58,59,350
59,60,356
60,61,360
61,62,366
62,63,370
63,64,376
64,65,380
65,66,386
66,67,390
67,68,400
68,69,420
69,70,440
70,71,460
71,72,480
72,73,500
73,74,520
74,75,540
75,76,560
76,77,580
77,78,600
78,79,620
79,80,640
80,81,660
81,82,680
82,83,700
83,84,720
84,85,720
85,86,720
86,87,720
87,88,720
88,89,720
89,90,720
90,91,720
91,92,720
92,93,720
93,94,720
94,95,720
95,96,720
96,97,720
97,98,720
98,99,720
99,100,720
