"rownum","Level","Experience"
0,1,1050
1,2,2156
2,3,3322
3,4,4551
4,5,5846
5,6,7211
6,7,8649
7,8,10165
8,9,11762
9,10,13446
10,11,15220
11,12,17090
12,13,19061
13,14,21138
14,15,23327
15,16,25634
16,17,28065
17,18,30627
18,19,33327
19,20,37122
20,21,41121
21,22,45336
22,23,49778
23,24,55630
24,25,61797
25,26,69596
26,27,77816
27,28,87923
28,29,98574
29,30,111403
30,31,126613
31,32,144424
32,33,163195
33,34,184956
34,35,212060
35,36,242822
36,37,277557
37,38,316604
38,39,362900
39,40,414401
40,41,474391
41,42,543635
42,43,622956
43,44,713239
44,45,815436
45,46,930568
46,47,1063647
47,48,1216272
48,49,1390164
49,50,1587172
50,51,1809282
51,52,2058627
52,53,2342861
53,54,2659367
54,55,3016755
55,56,3424790
56,57,3881277
57,58,4397225
58,59,4977717
59,60,5628211
60,61,6354566
61,62,7171670
62,63,8087194
