"rownum","PassiveSkillsKey","Mastery_PassiveSkillsKey","TagsKey","PassiveTreeExpansionJewelSizesKey"
0,2668,3109,570,2
1,2669,3110,571,2
2,2670,3111,572,2
3,2671,3112,573,2
4,2672,3113,574,2
5,2673,3114,575,2
6,2674,3115,576,2
7,2675,3116,577,2
8,2676,3117,578,2
9,2677,3118,579,2
10,2678,3119,580,2
11,2679,3120,581,2
12,2680,3121,582,2
13,2681,3122,583,2
14,2682,3123,584,2
15,2683,3124,585,2
16,2684,3125,586,2
17,2685,3126,587,1
18,2686,3127,588,1
19,2687,3128,589,1
20,2688,3129,590,1
21,2689,3130,591,1
22,2690,3131,592,1
23,2691,3132,593,1
24,2692,3133,594,1
25,2693,3134,595,1
26,2694,3135,596,1
27,2695,3136,597,1
28,2696,3137,598,1
29,2697,3138,599,1
30,2698,3139,600,1
31,2699,3140,601,1
32,2700,3141,602,1
33,2701,3142,603,1
34,2702,3143,604,1
35,2703,3144,605,1
36,2704,3145,606,1
37,2705,3146,607,1
38,2706,"",608,0
39,2707,"",609,0
40,2708,"",610,0
41,2709,"",611,0
42,2710,"",612,0
43,2711,"",613,0
44,2712,"",613,0
45,2713,"",614,0
46,2714,"",615,0
47,2715,"",616,0
48,2716,"",617,0
49,2717,"",618,0
50,2718,"",619,0
51,2719,"",620,0
52,2720,"",621,0
53,2721,"",747,0
54,2722,"",748,0
