"rownum","ModsKey","Weight","MinLevel","MaxLevel"
0,19892,80,13,100
1,19893,80,0,100
2,19894,80,0,100
3,19895,80,13,100
4,19896,80,0,100
5,19897,80,0,100
6,19898,120,13,100
7,19899,120,0,100
8,19900,120,0,100
9,19901,80,20,100
10,19902,80,20,100
11,19903,80,20,100
12,19904,50,68,100
13,19905,50,68,100
14,19906,50,68,100
15,19907,50,40,100
16,19908,50,40,100
17,19909,50,40,100
18,19910,80,13,100
19,19911,80,0,100
20,19912,80,0,100
21,19913,120,13,100
22,19914,120,0,100
23,19915,120,0,100
24,19916,120,13,100
25,19917,120,0,100
26,19918,120,0,100
27,19919,120,13,100
28,19920,120,68,100
29,19921,120,68,100
30,19922,80,13,100
31,19923,80,0,100
32,19924,80,0,100
33,19925,50,68,100
34,19926,50,68,100
35,19927,0,68,100
36,19928,50,68,100
37,19929,50,68,100
38,19930,0,68,100
39,19931,50,68,100
40,19932,50,68,100
41,19933,50,68,100
42,19934,50,40,100
43,19935,50,40,100
44,19936,0,40,100
45,19937,80,20,100
46,19938,50,50,100
47,19939,37,68,100
48,19940,50,30,100
49,19941,80,13,100
50,19942,120,13,100
51,19943,37,13,100
52,19944,50,68,100
53,19945,80,63,100
54,19946,120,13,100
55,19947,80,13,100
56,19948,50,13,100
57,19949,120,0,100
58,19950,120,0,100
59,19951,120,13,100
60,19952,120,0,100
61,19953,50,40,100
62,19960,120,0,100
63,19961,80,20,100
64,19962,50,40,100
