"rownum","Id","BuffVisualOrbTypesKey","BuffVisualOrbArtKeys","Player_BuffVisualOrbArtKeys","BuffVisualOrbArtKeys2"
0,"ChargeEndurance",0,[0],[],[]
1,"ChargeEnduranceElder",0,[3],[],[]
2,"ChargeFrenzy",0,[1],[],[]
3,"ChargeFrenzyElder",0,[4],[],[]
4,"ChargeFrenzyBloodDance",0,[7],[],[]
5,"ChargeFrenzySuper",0,[8],[],[]
6,"ChargePower",0,[2],[],[]
7,"ChargePowerElder",0,[5],[],[]
8,"ChargePowerAlternate",0,[6],[],[]
9,"ChargeSpirit",0,[9],[],[]
10,"ChargeSiphoning",0,[10],[],[]
11,"ChargeVoid",0,[11],[],[]
12,"ChargeDivine",0,[12],[],[]
13,"ChargeInspiration",0,[13],[],[]
14,"ChargeBrutal",0,[14],[],[]
15,"ChargeAffliction",0,[15],[],[]
16,"ChargeAbsorption",0,[16],[],[]
17,"BloodlinesChargeZeal",0,[17],[],[]
18,"BloodlinesChargeVigor",0,[18],[],[]
19,"CurseTemporalChains",1,[20],[],[]
20,"IzaroTemporalChains",1,[21],[],[]
21,"IzaroDeathTemporalChains",1,[22],[],[]
22,"CurseEnfeeble",1,[80],[],[]
23,"CurseVulnerability",1,[86],[],[]
24,"IzaroVulnerabilityOrb",1,[25],[],[]
25,"IzaroDeathVulnerabilityOrb",1,[26],[],[]
26,"CurseElementalWeakness",1,[85],[],[]
27,"IzaroElementalWeaknessOrb",1,[28],[],[]
28,"IzaroDeathElementalWeaknessOrb",1,[29],[],[]
29,"CurseFireWeakness",1,[82],[],[]
30,"CurseColdWeakness",1,[83],[],[]
31,"CurseLightningWeakness",1,[84],[],[]
32,"CurseChaosWeakness",1,[87],[],[]
33,"CursePunishment",1,[81],[],[]
34,"CurseSilence",1,[35],[],[]
35,"CurseWarlordsMark",3,[36],[],[]
36,"CurseAssassinsMark",3,[37],[],[]
37,"CurseSnipersMark",3,[38],[],[]
38,"CursePoachersMark",3,[39],[],[]
39,"FlaskCurseImmunity",1,[40],[],[]
40,"DoedreRedOrb",0,[41],[],[]
41,"DoedreGreenOrb",0,[42],[],[]
42,"DoedrePurpleOrb",0,[43],[],[]
43,"ShrinePlus",2,[44],[],[]
44,"ShrineFist",2,[45],[],[]
45,"ShrineSword",2,[46],[],[]
46,"ShrineWing",2,[47],[],[]
47,"ShrineThorns",2,[48],[],[]
48,"ShrineFire",2,[49],[],[]
49,"ShrineLightning",2,[50],[],[]
50,"ShrineArc",2,[51],[],[]
51,"ShrineCold",2,[52],[],[]
52,"ShrineSmoke",2,[53],[],[]
53,"ShrineMassive",2,[54],[],[]
54,"ShrineShield",2,[55],[],[]
55,"ShrineResistance",2,[56],[],[]
56,"ShrineGodMode",2,[57],[],[]
57,"ShrineEchoing",2,[58],[],[]
58,"ShrineCurse",2,[59],[],[]
59,"ShrineSkeletons",2,[60],[],[]
60,"ShrineResonating",2,[61],[],[]
61,"Blind",1,[62],[],[]
62,"BlindAura",1,[62],[],[62]
63,"BlindOrbSand",2,[63],[],[]
64,"CorruptedBlood",7,[64],[65],[]
65,"Stun",1,[66],[],[]
66,"Debilitate",1,[67],[],[]
67,"DebilitateCelestial",1,[68],[],[]
68,"Malediction",1,[69],[],[]
69,"TormentTouched",1,[70],[],[]
70,"PietysRage",0,[71],[],[]
71,"Bonespire",0,[72],[],[]
72,"AtlasAdjudicatorCharges",0,[73],[],[]
73,"SeaWitchScreechOrb",1,[74],[],[]
74,"RighteousFireOrb",1,[75],[],[]
75,"ViperStrikeOrb",0,[76],[],[]
76,"Deathmark",2,[77],[],[]
77,"WintertideBrandOrb",5,[78],[],[]
78,"HackyInvisibleSymbol",1,[79],[],[]
79,"SteelOrb",6,[88],[],[]
80,"HeistConversionOrb",1,[89],[],[]
81,"SteelOrbTemple",6,[90],[],[]
82,"ChargeFanatacism",0,[91],[],[]
83,"ChargeBloodScythe",0,[92],[],[]
84,"UltimatumFrostInfection",1,[93],[],[]
85,"UltimatumPhysBuff",0,[94],[],[]
86,"UltimatumEleBuff",0,[95],[],[]
87,"WintertideBrandCelestialOrb",5,[96],[],[]
88,"SkadiDebuffOrb",1,[97],[],[]
89,"ShrineGreed",2,[98],[],[]
90,"TangleTentacleZapped",0,[99],[],[]
91,"CleansingFirePhantasmPossessionOrb",3,[100],[],[]
