"rownum","BaseItemTypesKey","RequiredJob_HeistJobsKey","RequiredLevel"
0,8511,"",0
1,8512,"",0
2,8513,"",0
3,8514,"",0
4,8549,"",2
5,8550,"",3
6,8551,"",4
7,8552,"",5
8,8553,"",2
9,8554,"",3
10,8555,"",4
11,8556,"",5
12,8557,0,2
13,8558,0,3
14,8559,0,4
15,8560,0,5
16,8561,1,2
17,8562,1,3
18,8563,1,4
19,8564,1,5
20,8565,2,2
21,8566,2,3
22,8567,2,4
23,8568,2,5
24,8569,3,2
25,8570,3,3
26,8571,3,4
27,8572,3,5
28,8573,4,2
29,8574,4,3
30,8575,4,4
31,8576,4,5
32,8577,5,2
33,8578,5,3
34,8579,5,4
35,8580,5,5
36,8581,6,2
37,8582,6,3
38,8583,6,4
39,8584,6,5
40,8585,7,2
41,8586,7,3
42,8587,7,4
43,8588,7,5
44,8589,8,2
45,8590,8,3
46,8591,8,4
47,8592,8,5
48,8593,"",2
49,8594,"",3
50,8595,"",4
51,8596,"",5
52,8597,"",2
53,8598,"",3
54,8599,"",4
55,8600,"",5
56,8601,"",2
57,8602,"",3
58,8603,"",4
59,8604,"",5
