"rownum","Id","Text","StatsKeys1","CharacterPanelDescriptionModesKey","StatsKeys2","StatsKeys3","CharacterPanelTabsKey","bool","[i32]"
0,"Life","Life",[244],0,[],[],4,"",[]
1,"Mana","Mana",[245],0,[],[],4,"",[]
2,"EnergyShield","Maximum Energy Shield",[246],0,[],[],4,"",[]
3,"DPS","Damage per Second",[676],0,[],[2098],0,1,[14]
4,"DamagePerUse","Damage per Use",[1998],0,[],[],0,1,[14]
5,"MH_HitChance","Main Hand Chance to Hit",[673],1,[7659],"[435,1636]",0,1,[]
6,"MH_HitChanceEvasive","Main Hand Chance to Hit Evasive Monsters",[9390],1,[7659],"[435,1636]",0,1,[]
7,"OH_HitChance","Off Hand Chance to Hit",[674],1,[7660],"[435,1636]",0,1,[]
8,"OH_HitChanceEvasive","Off Hand Chance to Hit Evasive Monsters",[9391],1,[7660],"[435,1636]",0,1,[]
9,"APS","Attacks per Second",[675],0,[],"[435,1636,8149]",0,1,[14]
10,"CPS","Casts per Second",[679],0,[435],"[1636,8149]",0,1,[14]
11,"MH_TotalDamage","Main Hand Total Combined Damage","[667,668]",2,[7659],"[435,1636]",0,1,[]
12,"MH_PhysicalDamage","Main Hand Physical Damage","[276,277]",2,[7659],"[435,1636]",0,1,[]
13,"MH_FireDamage","Main Hand Fire Damage","[264,265]",2,[7659],"[435,1636]",0,1,[]
14,"MH_ColdDamage","Main Hand Cold Damage","[260,261]",2,[7659],"[435,1636]",0,1,[]
15,"MH_LightningDamage","Main Hand Lightning Damage","[268,269]",2,[7659],"[435,1636]",0,1,[]
16,"MH_ChaosDamage","Main Hand Chaos Damage","[272,273]",2,[7659],"[435,1636]",0,1,[]
17,"MH_Accuracy","Main Hand Accuracy Rating",[289],0,[7659],"[435,1636]",0,1,[]
18,"MH_AttackSpeedIncr","Main Hand Attack Speed modifier",[291],7,[7659],"[435,1636]",0,1,[]
19,"MH_CritChance","Main Hand Critical Strike Chance",[549],1,[7659],"[435,1636]",0,1,[14]
20,"MH_CritMulti","Main Hand Critical Strike Multiplier",[607],1,"[7659,549]","[435,1636]",0,1,[]
21,"MH_Stun","Main Hand Stun Threshold reduction",[300],1,[7659],"[435,1636]",0,1,[]
22,"MH_Knockback","Main Hand chance to Knockback",[480],1,[7659],"[435,1636,2648]",0,1,[]
23,"MH_CritKnockback","Main Hand Knockback on Critical Strike",[465],4,[7659],"[435,1636,2648]",0,1,[]
24,"MH_Blind","Main Hand chance to Blind",[975],1,[7659],"[435,1636]",0,1,[]
25,"MH_Flee","Main Hand chance to cause Flee",[682],1,[7659],"[435,1636]",0,1,[]
26,"MH_BlockReduce","Main Hand Enemy Block reduction",[282],1,[7659],"[435,1636]",0,1,[]
27,"OH_TotalDamage","Off Hand Total Combined Damage","[669,670]",2,[7660],"[435,1636]",0,1,[]
28,"OH_PhysicalDamage","Off Hand Physical Damage","[278,279]",2,[7660],"[435,1636]",0,1,[]
