"rownum","ItemVisualIdentityKey","WorldAreasKey","WordsKey","FlavourTextKey","HasGuildCharacter","GuildCharacter","Name","IsDropDisabled"
0,6719,1153,106,79,"","g","Vaults of Atziri",""
1,7659,1131,157,149,"","Ç","Maelstrom of Chaos",""
2,7678,1187,161,153,"","Å","The Coward's Trial",""
3,7721,1204,163,159,"","Ô","Acton's Nightmare",""
4,7754,1173,193,191,"","ß","Poorjoy's Asylum",""
5,7771,1160,216,209,"","À","Mao Kun",""
6,7775,1209,220,213,"","#","Oba's Cursed Trove",""
7,7835,1143,223,216,"","$","Olmec's Sanctum",""
8,7836,1162,224,217,1,"","Untainted Paradise",""
9,7989,1211,310,303,"","¿","Death and Taxes",""
10,8155,1103,372,394,"","È","Whakawairua Tuahu",""
11,8812,1190,395,417,1,"Ù","Hall of Grandmasters",""
12,8813,1157,596,577,"","²","The Vinktar Square",""
13,10069,1145,652,806,"","æ","Caer Blaidd, Wolfpack's Den",""
14,10138,1105,709,893,1,"™","The Perandus Manor",1
15,10455,1176,793,1049,"","Õ","The Putrid Cloister",""
16,10456,1133,795,1051,"","Ð","Hallowed Ground",""
17,10682,1241,937,1453,1,"","The Beachhead",""
18,10683,1242,937,1453,1,"","The Beachhead",""
19,10684,1243,937,1453,1,"","The Beachhead",""
20,10686,1165,939,1474,"","^","The Twilight Temple",""
21,10687,1115,943,1475,"","‹","Doryani's Machinarium",""
22,10688,1141,947,1476,"","›","Pillars of Arun",""
23,11223,443,1167,1955,1,"","Altered Distant Memory",""
24,11224,444,1168,1956,1,"","Augmented Distant Memory",""
25,11225,445,1169,1957,1,"","Twisted Distant Memory",""
26,11226,446,1170,1958,1,"","Rewritten Distant Memory",""
27,11227,442,1171,1959,1,"","Cortex",""
28,10685,1244,1258,1453,1,"","Infused Beachhead",""
29,11228,442,1172,1959,1,"","Cortex",""
30,10689,1141,948,1476,"","","Pillars of Arun",""
31,7755,1173,194,191,"","","Poorjoy's Asylum",""
