"rownum","i32","i32","[rid]","i32","i32","[string]","[string]","rid","i32","[i32]"
0,1,5,[4133],1,0,[],[],"",0,[]
1,2,5,[4134],1,0,[],[],"",0,[]
2,3,5,[4135],1,0,[],[],"",0,[]
3,4,5,[4256],1,1,"[""<root>""]",[],"",0,[]
4,5,5,[4260],1,1,[],"[""root""]","",0,[]
5,6,5,[4291],1,1,[],[],"",0,[]
6,7,5,[4318],1,1,[],"[""root""]","",0,[]
7,8,5,[4319],1,0,[],[],"",0,[]
8,9,5,[4366],1,1,[],"[""root""]","",0,[]
9,10,5,[4387],1,1,[],[],"",0,[]
10,11,5,[4519],1,1,[],"[""frameupper""]","",0,[]
11,12,5,[4543],1,0,[],[],"",0,[]
12,13,5,[4637],1,0,[],[],"",0,[]
13,14,5,[4714],1,0,[],[],"",0,[]
14,15,5,[4676],1,0,[],[],"",0,[]
15,16,5,[4775],1,0,[],"[""root""]","",0,[]
16,17,5,[4967],1,0,[],[],"",0,[]
17,18,5,[5016],1,0,"[""<lock>""]",[],"",0,[]
18,19,5,[5175],1,0,[],[],"",0,[]
19,20,5,[5176],1,0,[],[],"",0,[]
20,21,5,[5222],1,3,[],[],"",0,[]
21,22,5,[5317],1,3,[],[],"",0,[5318]
22,23,5,[5329],1,0,[],[],"",0,[]
23,24,5,[5475],1,0,[],[],"",0,[]
24,25,5,[],1,0,[],[],308,0,[]
25,26,2,[5553],1,0,[],[],"",0,[]
26,27,3,[5587],1,0,[],[],"",0,[]
27,28,5,[5591],1,3,[],[],"",0,[]
28,29,5,[],1,0,[],[],323,0,[]
29,30,5,[5604],1,0,[],[],"",0,[]
30,31,5,[5644],1,0,[],[],"",0,[]
31,32,5,[5688],1,0,[],[],"",0,[]
32,33,4,[5691],1,0,[],[],"",0,[]
33,34,5,[5692],1,0,[],[],"",0,[]
34,35,0,[5693],1,0,[],[],"",0,[]
35,36,2,[5694],1,0,[],[],"",0,[]
36,37,1,[5695],1,0,[],[],"",0,[]
37,38,4,[5696],1,0,[],[],"",0,[]
38,39,5,[5718],1,0,[],[],"",0,[]
39,40,5,[5719],1,1,[],[],"",0,[]
40,41,5,[5720],1,1,[],[],"",0,[]
41,42,5,[5736],1,0,[],[],"",0,[]
42,43,5,[6030],1,1,"[""<root>""]",[],"",0,[]
43,44,5,[6049],1,0,[],[],"",0,[]
44,45,5,[6068],1,1,[],[],"",0,[]
45,46,5,[6073],1,1,[],[],"",0,[]
46,47,5,[6091],1,0,[],[],"",0,[]
47,48,5,[6092],1,0,[],[],"",0,[]
48,49,5,[6180],1,0,[],[],"",0,[]
49,50,5,[6198],1,0,[],[],"",0,[]
50,51,5,[6199],1,0,[],[],"",0,[]
51,52,5,[6209],1,0,[],[],"",0,[]
52,53,5,[6226],1,0,[],[],"",0,[]
53,54,5,[6282],1,3,[],[],"",0,[]
54,55,5,[6298],1,0,[],[],"",0,[]
55,56,5,[6333],1,0,[],[],"",0,[]
