"rownum","MonsterVarietiesKey","bool","rid"
0,2534,1,""
1,2538,1,15
2,2540,1,38
3,2552,1,""
4,2553,1,27
5,2557,1,15
6,2559,1,55
7,2522,1,5
8,2526,1,19
9,2530,1,26
10,2586,1,40
11,2589,1,48
12,2590,1,71
13,2574,1,25
14,2578,1,7
15,2580,1,54
16,2566,1,28
17,2569,1,9
18,2571,1,35
19,2544,1,8
20,2545,1,6
21,2549,1,70
22,2532,1,88
23,2541,1,15
24,2560,1,27
25,2583,1,8
26,2572,1,78
27,2539,"",23
28,2558,"",36
29,2531,"",18
30,2585,"",32
31,2579,"",34
32,2570,"",13
33,2548,"",35
34,4394,"",""
35,4396,"",""
36,4395,"",""
37,2599,"",""
38,2600,"",""
39,2603,"",""
40,2597,"",""
41,2601,"",""
42,2598,"",""
43,2602,"",""
44,2523,"",5
45,2535,"",""
46,2554,"",27
47,2567,"",28
48,2581,"",54
49,2587,"",40
50,2546,"",6
51,2550,1,78
52,2564,1,""
53,2551,1,""
54,2573,1,""
55,2584,1,""
56,2543,1,""
57,2565,1,81
