"rownum","ScarabType","Tier","BaseItemTypesKey"
0,0,1,8374
1,0,2,8375
2,0,3,8376
3,0,4,8377
4,1,1,8362
5,1,2,8363
6,1,3,8364
7,1,4,8365
8,2,1,8366
9,2,2,8367
10,2,3,8368
11,2,4,8369
12,3,1,8370
13,3,2,8371
14,3,3,8372
15,3,4,8373
16,4,1,8382
17,4,2,8383
18,4,3,8384
19,4,4,8385
20,5,1,8386
21,5,2,8387
22,5,3,8388
23,5,4,8389
24,6,1,8394
25,6,2,8395
26,6,3,8396
27,6,4,8397
28,7,1,8398
29,7,2,8399
30,7,3,8400
31,7,4,8401
32,8,1,8402
33,8,2,8403
34,8,3,8404
35,8,4,8405
36,9,1,8406
37,9,2,8407
38,9,3,8408
39,9,4,8409
40,10,1,8410
41,10,2,8411
42,10,3,8412
43,10,4,8413
44,11,1,8414
45,11,2,8415
46,11,3,8416
47,11,4,8417
48,12,1,8418
49,12,2,8419
50,12,3,8420
51,12,4,8421
52,13,1,8390
53,13,2,8391
54,13,3,8392
55,13,4,8393
56,14,1,8422
57,14,2,8423
58,14,3,8424
59,14,4,8425
60,15,1,8426
61,15,2,8427
62,15,3,8428
63,15,4,8429
