"rownum","WorldAreasKey","ItemVisualIdentityKey","bool","MapsKey","FlavourTextKey","AtlasNodeKeys","Tier0","Tier1","Tier2","Tier3","Tier4","f32","f32","f32","f32","f32","DDSFile","bool"
0,1130,6617,"",381,1834,"[70,1,85,77,73]",6,9,13,16,16,503.007,300.217,249,-11.451,-13.748,"",""
1,1131,7659,"",381,1835,[0],6,9,13,16,16,515.197,275.206,48,-6.095,12.505,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/MaelstromOfChaos.dds",""
2,1142,6606,"",390,1846,"[34,3,60]",7,10,14,16,16,798.298,285.225,112,-1.866,-1.929,"",""
3,1143,7835,"",390,1847,[2],7,10,14,16,16,824.61,267.751,52,-13.156,8.737,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/OlmecsSanctum.dds",""
4,1132,6614,"",382,1836,"[5,71,110]",4,7,11,15,16,210.445,413.85,173,1.81,-7.883,"",""
5,1133,10456,"",382,1837,[4],4,7,11,15,16,172.416,380.973,72,19.015,16.439,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/HallowedGround.dds",""
6,1156,6632,"",401,1860,"[37,54,105,7]",5,8,12,16,16,755.799,363.735,181,-2.988,8.615,"",""
7,1157,8813,"",401,1861,[6],5,8,12,16,16,723.891,356.792,53,15.954,3.471,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/TheVinktarSquare.dds",""
8,1186,6622,"",426,1889,"[51,97,9]",15,16,16,16,16,768.255,96.76,104,-10.307,-6.522,"",""
9,1187,7678,"",426,1890,[8],15,16,16,16,16,798.119,95.337,51,-14.932,0.712,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/TheCowardsTrial.dds",""
10,1140,6586,"",389,1844,"[61,45,11,63,65]",10,13,16,16,16,367.92,191.25,153,-3.542,-0.402,"",""
11,1141,10688,"",389,1845,[10],10,13,16,16,16,365.957,171.756,40,0.982,9.747,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/PillarsOfArun.dds",""
12,1114,6663,"",366,1818,"[88,13,102,48]",14,16,16,16,16,646.624,114.636,205,-5.805,-5.224,"",""
13,1115,10687,"",366,1819,[12],14,16,16,16,16,596.152,97.706,75,23.825,11.69,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/DoryanisMachinarium.dds",""
14,1164,6700,"",406,1867,"[74,41,15,26]",3,6,10,14,16,631.769,404.768,109,4.362,11.155,"",""
15,1165,10686,"",406,1868,[14],3,6,10,14,16,656.698,425.594,53,-12.464,-10.413,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/TheTwilightTemple.dds",""
16,1175,6623,"",415,1878,"[96,115,17,82]",2,5,9,13,16,375.885,442.036,185,-3.226,-10.737,"",""
17,1176,10455,"",415,1879,[16],2,5,9,13,16,355.078,415.604,54,10.404,13.216,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/ThePutridCloister.dds",""
18,1210,6648,"",446,1912,"[68,54,105,19]",3,6,10,14,16,761.834,481.347,216,1.144,-29.671,"",""
19,1211,7989,"",446,1913,[18],3,6,10,14,16,814.05,463.017,77,-26.108,9.165,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/DeathAndTaxes.dds",""
20,1203,6626,"",441,1905,"[35,96,98,115,21]",4,7,11,15,16,330.811,379.08,141,7.615,-6.371,"",""
21,1204,7721,"",441,1906,[20],4,7,11,15,16,359.806,366.509,52,-14.497,6.285,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/ActonsNightmare.dds",""
22,1159,6619,"",403,1863,"[37,34,105,23]",5,8,12,16,16,818.427,366.6,186,-28.27,-5.399,"",""
23,1160,7771,"",403,1864,[22],5,8,12,16,16,796.203,374.098,44,11.112,-3.749,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/MaoKun.dds",""
24,1102,6600,"",350,1806,"[104,25,88,69,40]",14,16,16,16,16,463.093,111.757,349,-6.858,-5.605,"",""
25,1103,8155,"",350,1807,[24],14,16,16,16,16,516.212,97.845,75,-25.552,7.561,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/WhakawairuaTuahu.dds",""
26,1172,6629,"",413,1875,"[50,36,14,27,99,111]",4,7,11,15,16,644.077,373.445,209,1.693,9.749,"",""
27,1173,7754,"",413,1876,[26],4,7,11,15,16,691.811,388.672,72,-23.867,-7.613,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/PoorjoysAsylum.dds",""
28,1134,6643,"",383,1838,"[41,29,92]",1,4,8,12,16,555.605,423.461,109,9.678,-13.556,"",1
29,1209,7775,"",383,1911,[28],1,4,8,12,16,564.142,398.834,47,-4.268,12.314,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/ObasCursedTrove.dds",""
30,1144,6636,"",391,1848,"[31,81,58,65,79]",12,15,16,16,16,221.048,158.203,190,10.003,0.027,"",""
31,1145,10069,"",391,1849,[30],12,15,16,16,16,176.947,162.79,67,22.252,-4.309,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/CaerBlaiddWolfpacksDen.dds",""
32,1152,6576,"",398,1856,"[33,42,102]",12,15,16,16,16,775.822,155.17,115,-18.063,2.368,"",""
33,1153,6719,"",398,1857,[32],12,15,16,16,16,802.291,168.784,50,-13.234,-6.807,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/VaultsOfAtziri.dds",""
34,1252,6665,"",359,1941,"[2,22,86]",6,9,13,16,16,801.605,324.315,143,-12.923,-8.308,"",""
35,1097,6607,"",345,1801,"[90,91,20,67]",5,8,12,16,16,285.137,348.386,176,-8.556,2.751,"",""
36,1090,6697,"",338,1794,"[44,26,52]",5,8,12,16,16,588.923,338.79,148,1.279,4.752,"",""
37,1086,6570,"",334,1790,"[6,22,99,86,116]",6,9,13,16,16,722.361,318.505,221,6.238,11.332,"",""
38,1218,6667,"",453,1920,"[96,114,80]",2,5,9,13,16,480.945,389.718,148,-23.313,1.105,"",""
39,1198,6587,"",436,1901,"[74,68,41]",1,4,8,12,16,596.646,494.201,130,33.795,-28.874,"",1
40,1136,6690,"",385,1840,"[24,107,72,101]",15,16,16,16,16,341.336,96.483,300,31.092,2.54,"",""
41,1255,6589,"",361,1944,"[50,28,14,39]",2,5,9,13,16,605.971,424.133,164,-12.895,0.434,"",""
42,1213,6670,"",448,1915,"[106,53,32,103]",11,14,16,16,16,727.006,169.939,166,-8.631,2.244,"",""
43,1155,6630,"",400,1859,"[53,60]",9,12,16,16,16,792.311,222.289,91,-18.817,1.624,"",""
44,1099,6708,"",347,1803,"[36,85,73,99,116]",6,9,13,16,16,596.249,306.045,221,4.07,8.551,"",""
45,1108,6669,"",354,1812,"[108,10,57,59]",9,12,16,16,16,312.204,228.411,200,12.792,-2.457,"",""
46,1247,6594,"",469,1937,"[104,61,65,79]",12,15,16,16,16,360.173,144.944,172,-1.006,5.757,"",""
47,1182,6645,"",422,1885,"[93,88,112]",12,15,16,16,16,560.946,144.777,155,8.323,1.749,"",""
48,1245,6562,"",438,1936,"[94,51,97,12]",15,16,16,16,16,650.565,84.4,237,14.16,4.269,"",""
49,1219,6631,"",454,1921,"[76,75,73,116]",8,11,15,16,16,593.215,241.805,173,24.225,7.947,"",""
50,1080,6566,"",327,1784,"[41,26,52,92]",3,6,10,14,16,575.391,376.274,158,3.092,8.312,"",""
51,1095,6634,"",343,1799,"[8,48]",16,16,16,16,16,736.277,62.283,161,-17.911,18.865,"",""
52,1214,6568,"",449,1916,"[50,36,85,114]",4,7,11,15,16,531.56,355.889,129,6.623,-3.249,"",""
53,1107,6656,"",353,1811,"[76,43,42]",10,13,16,16,16,766.955,193.558,146,-23.396,9.976,"",""
54,1111,6707,"",363,1815,"[6,99,18,111]",4,7,11,15,16,749.812,400.231,183,-18.639,8.914,"",""
55,1147,6611,"",393,1851,"[71,115,82]",2,5,9,13,16,355.625,485.046,204,-17.227,-20.025,"",""
56,1123,6701,"",374,1827,"[108,57,62]",9,12,16,16,16,197.271,220.144,167,40.771,14.831,"",""
57,1188,6624,"",427,1891,"[45,56,58,65]",10,13,16,16,16,243.218,196.553,162,9.378,2.033,"",""
58,1194,6599,"",432,1897,"[30,57]",11,14,16,16,16,197.392,181.784,79,23.161,-2.937,"",""
59,1201,6693,"",439,1903,"[70,45,77,63]",8,11,15,16,16,398.907,249.782,196,-4.068,-2.525,"",""
60,1180,6691,"",420,1883,"[76,2,43,86]",8,11,15,16,16,761.215,255.893,171,-5.978,0.036,"",""
61,1089,6711,"",337,1793,"[95,10,83,46]",11,14,16,16,16,417.216,172.483,151,1.402,-3.652,"",""
62,1248,6616,"",470,1938,"[113,56]",8,11,15,16,16,208.948,259.429,99,0.954,-2.977,"",""
63,1183,6641,"",423,1886,"[95,10,100,59]",9,12,16,16,16,410.078,215.15,173,21.114,0.813,"",""
64,1202,6688,"",440,1904,"[78,107]",15,16,16,16,16,177.415,97.409,79,23.86,-0.014,"",""
65,1220,6569,"",455,1922,"[10,30,57,46]",11,14,16,16,16,305.639,178.534,188,-11.845,5.361,"",""
66,1168,6583,"",409,1871,"[96,80,82]",2,5,9,13,16,420.516,427.324,147,4.949,4.79,"",""
67,1224,6674,"",459,1926,"[35,113,110]",6,9,13,16,16,204.962,327.161,139,24.597,6.238,"",""
68,1253,6660,"",360,1942,"[39,18,111]",2,5,9,13,16,677.004,491.297,208,9.064,-12.234,"",""
69,1119,6650,"",370,1823,"[94,24,101]",15,16,16,16,16,461.303,84.504,235,-0.434,1.547,"",""
70,1098,6561,"",346,1802,"[108,90,84,0,59]",7,10,14,16,16,381.273,278.962,271,1.532,5.635,"",""
71,1137,6646,"",386,1841,"[4,55,91]",3,6,10,14,16,261.507,460.779,217,11.713,-22.733,"",""
72,1193,6590,"",431,1896,"[104,40,79]",14,16,16,16,16,303.122,115.216,212,23.596,4.01,"",""
73,1150,6706,"",396,1854,"[44,0,100,49]",7,10,14,16,16,573.868,273.983,152,-19.915,-3.286,"",""
74,1087,6571,"",335,1791,"[14,39,111]",2,5,9,13,16,642.142,451.676,155,2.694,-1.663,"",""
75,1118,6602,"",369,1822,"[95,89,100,49,103]",9,12,16,16,16,573.172,213.337,211,-13.629,-5.484,"",""
76,1088,6574,"",336,1792,"[53,87,60,49,103]",9,12,16,16,16,687.964,228.348,221,1.355,-0.478,"",""
77,1149,6712,"",395,1853,"[0,100,59]",7,10,14,16,16,471.732,263.98,168,-2.464,-2.626,"",""
78,1096,6584,"",344,1800,"[81,64,79]",14,16,16,16,16,202.437,114.959,174,12.132,7.267,"",""
79,1226,6658,"",461,1928,"[78,30,72,46]",13,16,16,16,16,286.951,138.182,198,-12.205,-3.881,"",""
80,1171,6653,"",412,1874,"[66,38]",1,4,8,12,16,462.926,423.194,96,-8.13,-9.782,"",1
81,1146,6635,"",392,1850,"[78,30]",13,16,16,16,16,191.475,138.353,74,13.512,-1.181,"",""
82,1228,6666,"",463,1930,"[55,66,16]",1,4,8,12,16,422.548,493.34,112,-28.905,-31.404,"",1
83,1227,6710,"",462,1929,"[104,93,61]",12,15,16,16,16,472.15,143.278,128,-18.912,8.18,"",""
84,1124,6565,"",375,1828,"[70,85,98]",6,9,13,16,16,414.221,306.299,215,-3.028,5.822,"",""
85,1148,6637,"",394,1852,"[44,84,109,0,52]",5,8,12,16,16,504.258,326.464,228,-6.351,-1.515,"",""
86,1216,6633,"",451,1918,"[37,34,87,60]",7,10,14,16,16,736.396,287.888,168,3.213,0.847,"",""
87,1125,6581,"",376,1829,"[76,86,116]",8,11,15,16,16,676.466,257.072,126,13.486,9.077,"",""
88,1249,6644,"",357,1939,"[106,24,12,47]",13,16,16,16,16,582.018,120.508,275,2.917,8.168,"",""
89,1256,6597,"",362,1945,"[93,75,112]",10,13,16,16,16,561.716,177.8,155,5.534,0.189,"",""
90,1116,6572,"",367,1820,"[35,70,113,98]",6,9,13,16,16,296.692,308.55,198,9.63,3.938,"",""
91,1167,6592,"",408,1870,"[35,71,115,110]",4,7,11,15,16,265.302,392.51,162,0.8,5.662,"",""
92,1230,6692,"",465,1932,"[50,28,114]",2,5,9,13,16,535.415,393.191,132,3.883,-3.514,"",""
93,1081,6580,"",328,1785,"[95,89,47,83]",11,14,16,16,16,504.985,158.212,122,10.101,5.041,"",""
94,1082,6579,"",329,1786,"[69,48]",16,16,16,16,16,561.018,75.454,220,-3.389,5.999,"",""
95,1251,6638,"",358,1940,"[93,61,75,63]",10,13,16,16,16,475.633,192.198,227,0.584,-1.922,"",""
96,1117,6575,"",368,1821,"[109,66,16,20,38]",3,6,10,14,16,395.872,384.597,182,11.157,11.659,"",""
97,1113,6694,"",365,1817,"[8,102,48]",14,16,16,16,16,729.141,106.571,168,-10.672,-0.573,"",""
98,1151,6675,"",397,1855,"[90,84,109,20]",5,8,12,16,16,345.021,336.76,176,19.957,0.334,"",""
99,1189,6627,"",428,1892,"[37,44,54,26]",5,8,12,16,16,679.632,351.005,213,-1.206,-1.159,"",""
100,1179,6652,"",419,1882,"[75,77,73,63]",8,11,15,16,16,503.424,231.435,226,3.031,8.142,"",""
101,1225,6714,"",460,1927,"[69,40]",16,16,16,16,16,339.113,68.86,204,14.459,10.391,"",""
102,1233,6686,"",468,1935,"[106,97,12,32]",13,16,16,16,16,725.915,136.26,164,-16.016,-3.392,"",""
103,1223,6578,"",458,1925,"[76,75,112,42]",10,13,16,16,16,650.098,190.546,192,3.375,2.41,"",""
104,1079,6713,"",326,1783,"[24,72,83,46]",13,16,16,16,16,418.601,131.86,230,-15.173,-2.449,"",""
105,1122,6695,"",373,1826,"[6,22,18]",4,7,11,15,16,812.191,422.487,180,-25.128,-13.945,"",""
106,1094,6585,"",342,1798,"[88,112,42,102]",12,15,16,16,16,671.995,151.701,206,-4.783,-3.498,"",""
107,1129,6609,"",380,1833,"[40,64]",16,16,16,16,16,223.973,79.817,155,9.222,9.807,"",""
108,1106,6573,"",352,1810,"[70,45,113,56]",8,11,15,16,16,302.731,263.775,228,-19.338,-7.56,"",""
109,1127,6601,"",378,1831,"[96,85,98,114]",4,7,11,15,16,438.146,354.779,209,-3.33,-1.102,"",""
110,1195,6621,"",433,1898,"[4,91,67]",5,8,12,16,16,204.652,368.266,125,16.688,7.181,"",""
111,1222,6671,"",457,1924,"[74,68,54,26]",3,6,10,14,16,708.788,449.405,172,-24.423,-16.194,"",""
112,1191,6654,"",429,1894,"[106,89,47,103]",11,14,16,16,16,629.126,162.608,142,-14.35,2.878,"",""
113,1110,6593,"",356,1814,"[108,90,67,62]",7,10,14,16,16,223.487,289.784,147,23.877,-0.044,"",""
114,1163,6664,"",405,1866,"[109,52,38,92]",3,6,10,14,16,490.783,365.783,144,4.587,6.089,"",""
115,1170,6647,"",411,1873,"[55,91,16,20]",3,6,10,14,16,313.911,420.919,166,14.396,2.999,"",""
116,1257,6673,"",471,1946,"[37,44,87,49]",7,10,14,16,16,658.981,291.287,188,-9.527,-8.344,"",""
