"rownum","BaseItemTypesKey","GrantedEffectsKey","Str","Dex","Int","GemTagsKeys","VaalVariant_BaseItemTypesKey","IsVaalVariant","Description","Consumed_ModsKey","GrantedEffectsKey2","MinionGlobalSkillLevelStat","SupportSkillName","bool","bool","AwakenedVariant","RegularVariant"
0,5244,0,0,0,100,"[11,25,5,4,14,0]",5453,"","","","","","",1,1,"",""
1,5453,2918,0,0,100,"[11,25,24,5,4,14,0]","",1,"","",0,"","",1,1,"",""
2,5245,58,0,0,100,"[11,25,4,14,1,38]",5462,"","","","","","",1,1,"",""
3,5285,4988,0,0,100,"[11,25,4,14,5]",5453,"","","","","","",1,1,"",""
4,5462,67,0,0,100,"[11,25,24,4,14,1,38]","",1,"","",58,"","",1,1,"",""
5,5246,96,100,0,0,"[9,25,13,14,22,35,40,7]","","","","","","","",1,1,"",""
6,5298,4956,100,0,100,"[11,25,4,14,5,1]","","","","","","","",1,1,"",""
7,5247,7740,0,100,0,"[10,25,22,14,30,13,2,7]","","","","","","","",1,1,"",""
8,5248,4974,0,60,40,"[10,25,13,14,30,33,7]","","","","","","","",1,1,"",""
9,5249,100,100,0,0,"[9,25,13,14,33,7]","","","","","","","",1,1,"",""
10,5250,7093,100,0,0,"[9,25,13,14,7]","","","","","","","",1,1,"",""
11,5483,102,100,0,0,"[9,25,24,13,14,33,7]","",1,"","","","","",1,1,"",""
12,5463,5043,0,0,0,"[25,4,5,22]","","","","","","","",1,1,"",""
13,5251,7797,100,0,0,"[9,25,13,14,40,7]",5465,"","","","","","",1,1,"",""
14,5465,7801,100,0,0,"[9,25,24,13,14,40,7]","",1,"","",7797,"","",1,1,"",""
15,5252,163,60,40,0,"[9,25,13,14,33,7]","","","","","","","",1,1,"",""
16,5253,184,100,0,0,"[9,25,13,14,22,35,33,7]","","","","","","","",1,1,"",""
17,5254,223,100,0,0,"[27,9,25,14,15]","","","","","","","",1,1,"",""
18,5255,233,0,100,0,"[10,25,13,7,36,33]",5471,"","","","","","",1,1,"",""
19,5471,7795,0,100,0,"[10,25,24,13,7,36,15,33]","",1,"","",233,"","",1,1,"",""
20,5256,5022,40,60,0,"[10,25,13,14,33,7]","","","","","","","",1,1,"",""
21,5257,241,0,100,0,"[10,25,13,5,7,36,0,1,2,14,45,6]","","","","","","","",1,1,"",""
22,5258,253,100,0,0,"[9,25,4,15,34]","","","","","","","",1,1,"",""
23,5459,255,100,0,0,"[9,25,24,4,15,34]","",1,"","",253,"","",1,1,"",""
24,5259,259,40,60,0,"[47,10,25,13,7,36]","","","","","","","",1,1,"",""
25,5260,270,0,60,40,"[10,25,13,22,35,7]","","","","","","","",1,1,"",""
26,5261,303,0,100,0,"[10,25,13,5,7,36,6]","","","","","","","",1,1,"",""
27,5264,309,0,60,40,"[10,25,4,14,0]",5464,"","","","","","",1,1,"",""
28,5464,7796,0,60,40,"[10,25,24,4,14,0]","",1,"","",309,"","",1,1,"",""
29,5265,7085,0,60,40,"[10,25,4,14,0]","","","","","","","",1,1,"",""
30,5266,7094,0,60,40,"[10,25,4,5,14,33]","","","","","","","",1,1,"",""
31,5267,327,0,100,0,"[10,25,13,5,6]","","","","","","","",1,1,"",""
32,5272,328,0,100,0,"[10,25,13,5,33,6]","","","","","","","",1,1,"",""
33,5273,515,100,0,0,"[0,33,9,16]","","","Supports any skill that hits enemies.",13266,"","","",1,1,433,""
34,5274,516,0,100,0,"[13,10,16]","","","Supports attack skills.",13361,"","","",1,1,"",""
35,5275,518,0,100,0,"[10,16,5]","","","Supports projectile skills.",13305,"","","",1,1,450,""
36,5276,520,0,100,0,"[10,16,5]","","","Supports projectile skills.",13293,"","","",1,1,"",""
37,5278,522,0,100,0,"[10,16,5]","","","Supports projectile skills.",13281,"","","",1,1,"",""
