"rownum","string","[rid]","i32","i32","rid"
0,"storm_rain_ground_object",[538],3,0,""
1,"earthshatter_spike",[377],3,0,""
2,"earthshatter_spike",[377],3,1,""
3,"earthshatter_spike_ancestral",[377],3,0,11910
4,"earthshatter_spike_ancestral",[377],3,1,11910
5,"flame_wall",[419],3,0,""
6,"flame_wall",[448],3,1,""
7,"flame_wall",[515],3,2,""
8,"flame_wall",[558],3,3,""
9,"toxic_rain_spore",[188],3,0,""
10,"toxic_rain_spore",[189],3,1,""
11,"toxic_rain_spore",[344],3,2,""
12,"toxic_rain_spore",[190],3,3,""
13,"toxic_rain_spore",[488],3,4,""
14,"toxic_rain_spore",[508],3,5,""
15,"toxic_rain_spore",[581],3,6,""
16,"toxic_rain_spore",[607],3,7,""
17,"hydrosphere_sphere",[449],3,0,""
18,"hydrosphere_sphere",[611],3,1,""
