"rownum","i32","[rid]","[rid]","i32","i32","i32","i32","i32","i32","i32","i32","bool","string","i32","bool","i32"
0,1,"[195,196,197]",[],4,0,0,0,0,1,0,7,"","",2,"",0
1,2,[212],[],5,0,22,0,0,1,0,7,"","",2,"",0
2,3,[211],[],4,0,0,0,0,1,0,7,"","",2,"",0
3,4,[214],[],5,0,0,0,0,1,0,7,"","",2,"",0
4,5,[215],[],5,0,0,0,0,1,0,7,"","",2,"",0
5,6,[216],[],5,0,0,0,0,1,0,7,"","",2,"",0
6,7,[217],[],5,0,0,0,0,1,0,7,"","",2,"",0
7,8,[218],[],5,0,0,0,0,1,0,7,"","",2,"",0
8,9,[221],[],5,0,0,0,0,1,0,2,"","",2,"",0
9,10,[226],[],5,0,20,0,0,1,0,7,"","",2,"",0
10,11,"[229,230,231,232]",[],5,0,22,0,0,1,0,7,"","boss_geyser",2,1,0
11,12,[235],[],5,0,22,0,0,1,0,7,"","",2,"",0
12,13,"[236,237,238,239]",[],5,0,8,0,0,1,0,7,"","",2,"",0
13,14,[243],[],5,0,0,0,0,1,0,2,"","",2,"",0
14,15,[244],[],5,0,0,0,0,5,3,7,"","",2,"",0
15,16,[261],[],4,0,0,0,-90,1,0,4,"","",2,"",0
16,17,[261],[],4,0,0,0,90,1,0,4,"","",2,"",0
17,18,[262],[],5,0,22,0,0,1,0,7,"","",2,"",0
18,19,"[263,264,265]",[],4,0,0,0,0,1,0,7,"","",2,"",0
19,21,[267],[],4,4,5,0,0,1,0,7,"","",2,"",0
20,22,[280],[],4,0,0,0,0,1,0,7,"","",2,"",0
21,23,[281],[],4,0,0,0,0,2,20,2,"","",2,"",0
22,24,[283],[],4,0,0,0,-90,1,0,4,"","",2,"",0
23,25,[285],[],4,0,0,0,0,1,0,2,"","",2,"",0
24,26,[284],[],4,0,0,0,-90,1,0,4,"","",2,"",0
25,27,[288],[],4,0,0,0,0,1,0,4,"","",2,"",0
26,28,[289],[],4,0,0,0,0,2,0,4,"","",2,"",0
27,29,"[320,321,322,323,324]",[],4,0,0,0,0,1,0,7,"","",2,"",0
28,30,[328],[],4,0,0,0,0,1,0,7,"","",2,"",0
29,31,[331],[],5,0,22,0,0,1,0,7,"","",2,"",0
30,32,[333],[],4,0,0,0,0,1,0,7,"","",2,"",0
31,33,[334],[],4,0,0,0,0,1,0,7,"","",2,"",0
32,34,[340],[],4,0,0,0,0,1,0,7,"","",2,"",0
33,35,[341],[],4,0,0,0,0,1,0,2,"","",2,"",0
34,36,[342],[],4,0,0,0,0,1,0,2,"","",2,"",0
35,37,[343],[],4,0,0,0,0,1,0,2,"","",2,"",0
36,38,[345],[],4,0,0,0,0,1,0,2,"","",2,"",0
37,39,[348],[],3,0,0,0,0,1,0,2,"","",2,"",0
38,40,[358],[],4,0,0,0,0,2,10,4,"","",2,"",0
39,41,[362],[],5,0,0,0,0,1,0,7,"","",2,"",0
40,42,[364],[],5,0,22,0,0,1,0,7,"","",2,"",0
41,43,[365],[],5,0,0,0,0,1,0,7,"","",2,"",0
42,44,[367],[],4,0,0,0,0,1,0,7,"","",2,"",0
43,45,[374],[],4,0,0,0,0,1,0,7,"","",2,"",0
44,46,[375],[],4,0,0,0,0,1,0,7,"","",2,"",0
45,47,[376],[],4,0,0,0,0,1,0,7,"","",2,"",0
46,48,[374],[],4,0,15,0,0,1,0,7,"","",2,"",0
47,49,[375],[],4,0,15,0,0,1,0,7,"","",2,"",0
48,50,[376],[],4,0,15,0,0,1,0,7,"","",2,"",0
49,51,[393],[],4,0,0,0,0,1,0,7,"","flank_markers",2,1,0
50,52,[393],[],4,0,0,0,0,1,0,4,"","prowl_vines",2,1,0
51,53,[393],[],4,0,0,0,0,1,0,4,"","prowl_vines",2,1,0
52,54,[394],[],5,0,0,0,0,1,0,4,"","vine_trap",2,"",0
53,55,[393],[],4,0,0,0,0,1,0,4,"","last_prowl_vine",2,"",0
54,56,[397],[],4,0,0,0,0,1,0,7,"","",2,"",0
55,57,[403],[],4,0,0,0,0,1,0,7,"","",2,"",0
56,58,[404],[],4,0,0,0,0,1,0,7,"","",2,"",0
57,59,[405],[],4,0,0,0,0,1,0,7,"","",2,"",0
58,60,[406],[],4,0,0,0,0,1,0,7,"","",2,"",0
59,61,[420],[],3,0,0,0,0,1,0,2,"","ice_fissures",2,1,0
60,64,[423],[],4,0,0,0,0,1,0,2,"","",2,"",0
61,65,[424],[],5,0,0,0,0,1,0,7,"","",2,"",0
62,66,[426],[],4,0,0,0,0,1,0,2,"","",2,"",0
63,67,[427],[],5,0,0,0,0,1,0,2,"","",2,"",0
