"rownum","BaseItemTypesKey","AOFile","bool"
0,552,"Metadata/Effects/Microtransactions/Misc/fireworks/fireworksMTX.ao",1
1,553,"Metadata/Effects/Microtransactions/Misc/fireworks/fireworksMTX_SG.ao",""
2,554,"Metadata/Effects/Microtransactions/Misc/fireworks/fireworksMTX_TW.ao",""
3,555,"Metadata/Effects/Microtransactions/Misc/fireworks/Gore/gorefireworksMTX.ao",""
4,556,"Metadata/Effects/Microtransactions/Misc/arctic_aurora/arcticAurora.ao",""
5,557,"Metadata/Effects/Microtransactions/Misc/fireworks/fireworksMTX_BR.ao",""
6,558,"Metadata/Effects/misc/darksoulercoaster/rig.ao",""
7,559,"Metadata/Effects/Microtransactions/Misc/fireworks/fireworksMTX_Classic.ao",""
8,560,"Metadata/Effects/Microtransactions/Misc/fireworks/fireworksMTX_halloween.ao",""
9,561,"Metadata/Effects/Microtransactions/Misc/fireworks/fireworksMTX_frigid.ao",""
10,3722,"Metadata/Effects/Microtransactions/Misc/fireworks/fireworksMTX_valentine.ao",""
