"rownum","string","[rid]","bool","i32","[rid]","bool","i32","rid","bool","rid","i32","bool","[rid]","i32","rid","rid"
0,"IsNormal",[],"",1,[],"",1,0,"","",0,"",[],1,"",""
1,"IsMagic",[],"",1,[],"",1,1,"","",0,"",[],1,"",""
2,"IsRare",[],"",1,[],"",1,2,"","",0,"",[],1,"",""
3,"IsUnique",[],"",1,[],"",1,3,"","",0,"",[],1,"",""
4,"IsHarbinger",[],"",1,[6428],"",1,"","","",0,"",[],1,"",""
5,"IsRogueExile",[],"",1,[8888],"",1,"","","",0,"",[],1,"",""
6,"IsInvasionBoss",[],"",1,[3539],"",1,"","","",0,"",[],1,"",""
7,"IsMapBoss",[],"",1,[888],"",0,"",1,"",0,"",[],1,"",""
8,"RhoaFullyEnraged",[749],"",3,[],"",1,"","","",0,"",[],1,"",""
9,"HasSoulEaterX30",[266],"",30,[],"",1,"","","",0,"",[],1,"",""
10,"HasNoLightningShield",[767],"",0,[],"",1,"","","",0,"",[],1,"",""
11,"Has4Totems",[],"",1,[3402],"",4,"","","",0,"",[],1,"",""
12,"HasDuetEnrage",[447],"",1,[],"",1,"","","",0,"",[],1,"",""
13,"IsPossessed",[],"",1,[2624],"",1,"","","",0,"",[],1,"",""
14,"IsTouchedByTormentSpirit",[],"",1,[],"",1,"","",8660,0,"",[],1,"",""
15,"IsBeyondBoss",[],"",1,[5716],"",1,"","","",0,"",[],1,"",""
16,"IsBreachMonster",[],"",1,[5153],"",1,"","","",0,"",[],1,"",""
17,"HasOnslaught",[],"",1,[4438],"",1,"","","",0,"",[],1,"",""
18,"IsPossessedByBootlegger",[],"",1,[2624],"",1,"","",8563,0,"",[],1,"",""
19,"IsPossessedByBuccaneer",[],"",1,[2624],"",1,"","",8566,0,"",[],1,"",""
20,"IsCursed",[],"",1,[719],"",1,"","","",0,"",[],1,"",""
21,"HasEssence",[],"",1,[],"",1,"","","",1,"",[],1,"",""
22,"HasEssenceX3",[],"",1,[],"",1,"","","",3,"",[],1,"",""
23,"HasEssenceX5",[],"",1,[],"",1,"","","",5,"",[],1,"",""
24,"HasTalisman",[],"",1,[],"",1,"","","",0,1,[],1,"",""
25,"IsPantingOrDancing",[],"",1,[],"",1,"","","",0,"","[90,70]",1,"",""
26,"HasIceTotemsX4",[],"",1,[],"",1,"","","",0,"",[],1,"",""
27,"HasIceMinionsX10",[],"",1,[],"",1,"","","",0,"",[],1,"",""
28,"HasBloodRavensX3",[],"",1,[],"",1,"","","",0,"",[],1,"",""
29,"HasFireSkelliesX10",[],"",1,[],"",1,"","","",0,"",[],1,"",""
30,"IsEnraged",[664],"",1,[],"",1,"","","",0,"",[],1,"",""
31,"IsScreeching",[],"",1,[],"",1,"","","",0,"",[],1,936,""
32,"HasHotdogsX10",[],"",1,[],"",1,"","","",0,"",[],10,"",742
33,"IsOnFullEnergyShield",[],"",1,[2381],"",1,"","","",0,"",[],1,"",""
34,"IsInAfflictionMist",[],"",1,[10980],"",1,"","","",0,"",[],1,"",""
35,"IsBleeding",[],"",1,[2037],"",1,"","","",0,"",[],1,"",""
36,"HasImmortalCall",[],"",1,[716],"",1,"","","",0,"",[],1,"",""
37,"CastingScorchingRay",[],"",1,[],"",1,"","","",0,"",[],1,681,""
38,"IsMavenBuffed",[],"",1,[],"",1,"","",24218,0,"",[],1,"",""
39,"IsUsingWolfBarrage",[],"",1,[],"",1,"","","",0,"",[],1,592,""
40,"IsTaunted",[],"",1,[3423],"",1,"","","",0,"",[],1,"",""
41,"HasMoltenShell",[111],"",1,[],"",1,"","","",0,"",[],1,"",""
42,"ThicketBossIsChannellingSunder",[],"",1,[],"",1,"","","",0,"",[47],1,"",""
43,"HasVolatileSurge",[767],"",1,[],"",1,"","","",0,"",[],1,"",""
