"rownum","RewardOffer","i32","Character","Reward","RewardLevel","rid","i32","string","[rid]","RewardStack","bool","bool","[rid]","i32","i32","[rid]","i32","rid","i32"
0,0,0,1,5310,1,"",0,"",[],1,"","",[],1203,0,[],0,"",0
1,0,1,1,5525,1,"",0,"",[],1,"","",[],1203,0,[],0,"",0
2,0,2,1,5499,1,"",0,"",[],1,"","",[],1203,0,[],0,"",0
3,0,3,1,5263,1,"",0,"",[],1,"","",[],1203,0,[],0,"",0
4,0,4,1,5545,1,"",0,"",[],1,"","",[],1203,0,[],0,"",0
5,0,5,1,5714,1,"",0,"",[],1,"","",[],1203,0,[],0,"",0
6,0,6,6,5606,1,"",0,"",[],1,"","",[],1203,0,[],0,"",0
7,0,7,6,5553,1,"",0,"",[],1,"","",[],1203,0,[],0,"",0
8,0,8,6,5525,1,"",0,"",[],1,"","",[],1203,0,[],0,"",0
9,0,9,6,5499,1,"",0,"",[],1,"","",[],1203,0,[],0,"",0
10,0,10,6,5477,1,"",0,"",[],1,"","",[],1203,0,[],0,"",0
11,0,11,6,5622,1,"",0,"",[],1,"","",[],1203,0,[],0,"",0
12,0,12,0,5251,1,"",0,"",[],1,"","",[],1203,0,[],0,"",0
13,0,13,0,5477,1,"",0,"",[],1,"","",[],1203,0,[],0,"",0
14,0,14,4,5252,1,"",0,"",[],1,"","",[],1203,0,[],0,"",0
15,0,15,4,5477,1,"",0,"",[],1,"","",[],1203,0,[],0,"",0
16,0,16,4,5529,1,"",0,"",[],1,"","",[],1203,0,[],0,"",0
17,0,17,4,5642,1,"",0,"",[],1,"","",[],1203,0,[],0,"",0
18,0,18,4,5735,1,"",0,"",[],1,"","",[],1203,0,[],0,"",0
19,0,19,3,5272,1,"",0,"",[],1,"","",[],1203,0,[],0,"",0
20,0,20,3,5270,1,"",0,"",[],1,"","",[],1203,0,[],0,"",0
21,0,21,3,5519,1,"",0,"",[],1,"","",[],1203,0,[],0,"",0
22,0,22,3,5529,1,"",0,"",[],1,"","",[],1203,0,[],0,"",0
23,0,23,3,5268,1,"",0,"",[],1,"","",[],1203,0,[],0,"",0
24,0,24,5,5310,1,"",0,"",[],1,"","",[],1203,0,[],0,"",0
25,0,25,5,5594,1,"",0,"",[],1,"","",[],1203,0,[],0,"",0
26,0,26,5,5664,1,"",0,"",[],1,"","",[],1203,0,[],0,"",0
27,0,27,5,5387,1,"",0,"",[],1,"","",[],1203,0,[],0,"",0
28,0,28,5,5545,1,"",0,"",[],1,"","",[],1203,0,[],0,"",0
29,0,29,5,5655,1,"",0,"",[],1,"","",[],1203,0,[],0,"",0
30,0,30,2,5477,1,"",0,"",[],1,"","",[],1203,0,[],0,"",0
31,0,31,2,5272,1,"",0,"",[],1,"","",[],1203,0,[],0,"",0
32,0,32,2,5499,1,"",0,"",[],1,"","",[],1203,0,[],0,"",0
33,0,33,2,5735,1,"",0,"",[],1,"","",[],1203,0,[],0,"",0
34,3,0,1,5537,1,"",0,"",[],1,"","",[],1203,0,[],0,"",0
35,3,1,1,5538,1,"",0,"",[],1,"","",[],1203,0,[],0,"",0
36,3,2,1,5444,1,"",0,"",[],1,"","",[],1203,0,[],0,"",0
37,3,3,1,5543,1,"",0,"",[],1,"","",[],1203,0,[],0,"",0
38,3,4,1,5264,1,"",0,"",[],1,"","",[],1203,0,[],0,"",0
