"rownum","StatsKey","Description","BaseItemTypesKey","ModsKey"
0,19961,"Quality (Elemental Damage Modifiers)",280,0
1,19962,"Quality (Caster Modifiers)",281,1
2,19963,"Quality (Attack Modifiers)",282,2
3,19964,"Quality (Defence Modifiers)",283,3
4,19965,"Quality (Life and Mana Modifiers)",284,4
5,19966,"Quality (Resistance Modifiers)",285,5
6,19967,"Quality (Attribute Modifiers)",286,6
7,19968,"Quality (Physical and Chaos Damage Modifiers)",287,7
8,19969,"Quality (Speed Modifiers)",288,8
9,19970,"Quality (Critical Modifiers)",289,9
