"rownum","Id","i32","BuffVisual","i32"
0,"Delirium1",0,1212,14
1,"Delirium2",0,1218,1
2,"Delirium3",0,1214,1
3,"Delirium4",0,1215,1
4,"Delirium5",0,1216,1
5,"Delirium6",0,1217,1
6,"Delirium7",0,1219,1
7,"Delirium8",0,1220,3
8,"Delirium9",0,1221,3
9,"Delirium10",0,1222,3
10,"Delirium11",0,1237,3
11,"Delirium12",0,1238,3
12,"Delirium13",0,1239,3
13,"Delirium14",0,1240,3
14,"Delirium15",0,1241,3
15,"Delirium16",0,1242,3
16,"Delirium17",0,1243,3
17,"DeliriumOnDeathMod1",1,1248,14
18,"DeliriumOnDeathMod2",1,1249,1
19,"DeliriumOnDeathMod3",1,1250,1
20,"DeliriumOnDeathMod4",1,1251,1
21,"DeliriumOnDeathMod5",1,1252,1
22,"DeliriumOnDeathMod6",1,1253,1
23,"DeliriumOnDeathMod7",1,1254,1
24,"DeliriumOnDeathMod8",1,1255,3
25,"DeliriumOnDeathMod9",1,1256,3
26,"DeliriumOnDeathMod10",1,1257,3
27,"DeliriumOnDeathMod11",1,1258,3
28,"DeliriumOnDeathMod12",1,1259,3
29,"DeliriumOnDeathMod13",1,1260,3
30,"DeliriumOnDeathMod14",1,1261,3
31,"DeliriumOnDeathMod15",1,1262,3
32,"DeliriumOnDeathMod16",1,1263,3
33,"DeliriumOnDeathMod17",1,1264,3
