"rownum","Id","bool","bool","bool","Mainhand_AnimationKey","Offhand_AnimationKey","bool"
0,"Idle",1,"","","","",""
1,"Melee","","","","","OffMelee",""
2,"MeleeWithStep","","","","","",""
3,"OffMelee","","","","Melee","",""
4,"Run",1,"",1,"","",""
5,"TakeHit","","","","","",""
6,"Death",1,"","","","",""
7,"Stomp","","","","","",""
8,"Impale","","","","","",""
9,"Cleave","","","","","",""
10,"Charge",1,1,"","","",""
11,"ChargeEnd","","","","","",""
12,"ChargeEndAlt","","","","ChargeEnd","",""
13,"GroundSlam","",1,"","","GroundSlamOffhand",""
14,"LeapSlam","",1,"","","LeapSlamOffhand",""
15,"DoubleStrike","","","","","DoubleStrikeOffhand",""
16,"DoubleSlash","","","","","",""
17,"DoubleSlashOffhand","","","","DoubleSlashMainHand","",""
18,"DoubleSlashMainhand","","","","","DoubleSlashOffhand",""
19,"Sweep","","","","","",""
20,"SpellProjectile","","","","","",""
21,"SpellProjectileUpward","","","","","",""
22,"SpellAreaOfEffect","","","","","",""
23,"SpellBuff","","","","","",""
24,"SpellProjectileFire","","","","","",""
25,"SpellProjectileCold","","","","","",""
26,"SpellProjectileLightning","","","","","",""
27,"SpellProjectileChaos","","","","","",""
28,"SpellProjectileUpwardFire","","","","","",""
29,"SpellProjectileUpwardCold","","","","","",""
30,"SpellProjectileUpwardLightning","","","","","",""
31,"SpellProjectileUpwardChaos","","","","","",""
32,"SpellAreaOfEffectFire","","","","","",""
33,"SpellAreaOfEffectCold","","","","","",""
34,"SpellAreaOfEffectLightning","","","","","",""
35,"SpellAreaOfEffectChaos","","","","","",""
36,"SpellBuffFire","","","","","",""
37,"SpellBuffCold","","","","","",""
38,"SpellBuffLightning","","","","","",""
39,"SpellBuffChaos","","","","","",""
40,"Throw","","","","","ThrowOff",""
41,"Flurry","",1,"","","",""
42,"LayTrap","","","","","",""
43,"Emerge","","","","","",""
44,"DualStrike","","","","","",""
45,"Snipe","","","","","",""
46,"Block","","","","","",""
47,"GlacialHammer","","","","","OffGlacialHammer",""
48,"OffGlacialHammer","","","","GlacialHammer","",""
49,"Emerge2","","","","","",""
50,"Emerge3","","","","","",""
51,"HeavyStrike","","","","","OffHeavyStrike",""
52,"OffHeavyStrike","","","","HeavyStrike","",""
53,"RainOfArrows","","","","","",""
54,"BlastRain","","","","","",""
55,"CloneShot","","","","","",""
56,"Backstab","","","","","OffBackstab",""
57,"OffBackstab","","","","Backstab","",""
58,"Frenzy","","","","","OffFrenzy",""
59,"OffFrenzy","","","","Frenzy","",""
60,"PowerShot","","","","","OffPowerShot",""
61,"OffPowerShot","","","","Powershot","",""
62,"Taunt","","","","","",""
63,"ChangeToStance1","","","","","",""
64,"ChangeToStance2","","","","","",""
65,"ChangeToStance3","","","","","",""
66,"Revive","","","","","",""
67,"ShadowProjectiles","","","","","",""
68,"HookOut","",1,"","","",""
69,"HookIn","",1,"","","",""
70,"Dance",1,"","","","",""
71,"Channel",1,1,"","","",""
72,"AttackChannel",1,1,"","","",""
73,"Cyclone",1,1,"","","",""
74,"Hide","",1,"","","",""
75,"Hide2","",1,"","","",""
76,"Hide3","",1,"","","",""
77,"BarrageStart","",1,"","","",""
78,"BarrageFireMain","","","","","BarrageFireOff",""
79,"BarrageFireOff","","","","BarrageFireMain","",""
80,"LongOpen",1,"","","","",""
81,"Submerge","",1,"","","",""
82,"Puncture","","","","","OffPuncture",""
83,"OffPuncture","","","","Puncture","",""
84,"DodgeLeft","",1,"","","",""
85,"DodgeRight","",1,"","","",""
86,"DodgeForward","",1,"","","",""
87,"DodgeBack","",1,"","","",""
88,"SpellBuffFast","","","","","",""
89,"IncreasingPulses","","","","","",""
90,"Pant","","","","","",""
91,"CastFast","","","","","",""
92,"ChannelEnd","","","","","",""
93,"ChannelUnleash","","","","","",""
94,"ChannelAttackUnleash","","","","","",""
95,"SpectralThrow","","","","","SpectralThrowOff",""
96,"SpectralThrowOff","","","","SpectralThrow","",""
97,"Teleport","","","","","",""
98,"Knockdown","",1,"","","",""
99,"ThrowOff","","","","Throw","",""
100,"IdleRelaxed",1,"","","","",""
101,"ChannelBow","",1,"","","",""
102,"ChannelBowEnd","","","","","",""
103,"RainOfSpores","","","","","",""
104,"GroundSlamOffhand","","","","GroundSlam","",""
105,"LeapSlamOffhand","","","","LeapSlam","",""
106,"DoubleStrikeOffhand","","","","DoubleStrike","",""
107,"AttackChannelEnd","","","","","",""
108,"ChangeToStance4","","","","","",""
109,"ChainStrikeThrow","","","","","",""
110,"SliceAndDice","","","","","",""
111,"ChargeStart","","","","","",""
112,"CoilingAssault","","","","","",""
113,"AttackProjectileUpward","","","","","",""
114,"MetamorphosisSkill1","","","","","",""
115,"MetamorphosisSkill2","","","","","",""
116,"MetamorphosisSkill3","","","","","",""
117,"ChannelBowUpwards","",1,"","","",""
118,"ChannelBowUpwardsEnd","","","","","",""
119,"DeathFromDegen",1,"","","Death","",""
120,"DeathWhileMoving",1,"","","Death","",""
121,"DeathForward",1,"","","Death","",""
122,"DeathBackward",1,"","","Death","",""
123,"DeathLeft",1,"","","Death","",""
124,"DeathRight",1,"","","Death","",""
125,"TakeHitForward",1,"","","TakeHit","",""
126,"TakeHitBackward",1,"","","TakeHit","",""
127,"TakeHitLeft",1,"","","TakeHit","",""
128,"TakeHitRight",1,"","","TakeHit","",""
129,"Warcry","","","","","",""
130,"RunBackwards",1,"",1,"Run","",""
131,"ChangeToStance5","","","","","",""
132,"RunLeft",1,"",1,"Run","",""
133,"RunRight",1,"",1,"Run","",""
134,"ShieldBash","","","","ThrowOff","",""
135,"ReviveFromDegen","","","","Revive","",""
136,"ReviveWhileMoving","","","","Revive","",""
137,"ReviveForward","","","","Revive","",""
138,"ReviveBackward","","","","Revive","",""
139,"ReviveLeft","","","","Revive","",""
140,"ReviveRight","","","","Revive","",""
141,"Fling","","","","Throw","",""
