"rownum","BaseItemTypesKey","ItemVisualEffectKey","ItemVisualIdentityKey1","ItemVisualIdentityKey2","Stats","ItemClasses","[rid]","bool","[i32]","[i32]","bool","[rid]","bool"
0,433,12,"","",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],""
1,434,2,"","",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],""
2,435,1,"","",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],""
3,436,13,"","",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],""
4,437,0,"","",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],""
5,438,14,"","",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],""
6,439,3,"","",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],""
7,440,4,"","",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],""
8,441,5,"","",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],""
9,442,6,"","",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],""
10,443,7,"","",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],""
11,444,8,"","",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],""
12,445,9,"","",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],""
13,446,10,"","",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],""
14,447,15,"","",[],"[7,8,9,10,15,37,56]",[],"",[],"[2,5]","",[],""
15,448,15,"","",[],"[7,8,9,10,15,37,56]",[],"",[],"[2,5]","",[],""
16,449,15,"","",[],"[7,8,9,10,15,37,56]",[],"",[],"[2,5]","",[],""
17,450,16,"","",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],""
18,451,17,"","",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]",1,[],""
19,452,18,"","",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]",1,[],""
20,453,19,"","",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]",1,[],""
21,454,20,"","",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]",1,[],""
22,455,21,"","",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],""
23,456,22,"","",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],""
24,457,23,"","",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],""
25,458,24,"","",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],""
26,459,25,"","",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],""
27,460,43,"","",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],""
28,362,"","",3616,[],[25],[],"",[],"[8,21]","",[],""
29,361,"","",3615,[],[25],[],"",[],"[8,21]","",[],""
30,358,"","",3617,[],[25],[],"",[],"[8,21]","",[],""
31,359,"","",3618,[],[25],[],"",[],"[8,21]","",[],""
32,360,"","",3619,[],[25],[],"",[],"[8,21]","",[],""
33,363,"","",3620,[],[25],[],"",[],"[8,21]","",[],""
34,364,"","",3621,[],[25],[],"",[],"[8,21]","",[],""
35,3759,"","",3623,[],[25],[],1,[],"[8,21]","",[],""
36,365,"","",3624,[],[25],[],"",[],"[8,21]","",[],""
37,366,"","",3625,[],[25],[],"",[],"[8,21]","",[],""
38,367,"","",3626,[],[25],[],"",[],"[8,21]","",[],""
39,368,"","",3627,[],[25],[],"",[],"[8,21]","",[],""
40,369,"","",3628,[],[25],[],"",[],"[8,21]","",[],""
41,370,"","",3630,[],[25],[],"",[],"[8,21]","",[],""
42,371,"","",3631,[],[25],[],"",[],"[8,21]","",[],""
43,372,"",3632,"",[],[25],[],"",[],[7],"",[],""
44,373,"","",3633,[],[25],[],"",[],"[8,21]","",[],""
45,374,"","",3634,[],[25],[],"",[],"[8,21]","",[],""
46,375,"",3635,"",[],[25],[],"",[],[7],"",[],""
47,376,"",3636,"",[],[25],[],"",[],[7],"",[],""
48,377,"",3637,"",[],[25],[],"",[],[7],"",[],""
49,378,"",3638,"",[],[25],[],"",[],[7],"",[],""
50,379,"",3639,"",[],[25],[],"",[],[7],"",[],""
51,380,"",3640,"",[],[25],[],"",[],[7],"",[],""
52,381,"",3641,"",[],[25],[],"",[],[7],"",[],""
53,382,"",3642,"",[],[25],[],"",[],[7],"",[],""
54,383,"",3643,"",[],[25],[],"",[],[7],"",[],""
55,384,"",3644,"",[],[25],[],"",[],[7],"",[],""
56,385,"",3645,"",[],[25],[],"",[],[7],"",[],""
57,386,"",3646,"",[],[25],[],"",[],[7],"",[],""
58,387,"",3647,"",[],[25],[],"",[],[7],"",[],""
59,388,"",3648,"",[],[25],[],"",[],[7],"",[],""
60,389,"",3649,"",[],[25],[],"",[],[7],"",[],""
61,390,"",3651,"",[],[25],[],"",[],[7],"",[],""
62,391,"",3652,"",[],[25],[],"",[],[7],"",[],""
63,548,"",3705,"",[],[25],[],"",[],[7],"",[],""
64,549,"",3706,"",[],[25],[],"",[],[7],"",[],""
65,474,"",3650,"",[],[25],[],"",[],[7],"",[],""
66,392,"",3622,"",[],[24],[],"",[],[9],"",[],""
67,355,"",7896,"",[],"[25,24,22,23,26,20]",[],"",[],"[7,9,11,12,4]","",[],""
68,356,"","","",[7774],[],"[5363,5389,5369,5433,5362,5360,5431,5361,5357,5364,5493,5494,5495,5435,5352,5358,5351,5478,5480,5479,5481,5457,5359,5365,5512,5698,5617,5616,5432,5434,5436,5284,5315,5496,5497,5629,5631,5652,5648,5649,5744,5745,5746,5747,5752,5755]","",[1],[24],"",[],""
69,393,"","","",[347],[],[5447],"",[1],[24],"",[],""
70,394,"","","",[347],[],"[5331,5473]","",[1],[24],"",[],""
71,395,"","","",[347],[],"[5331,5473]","",[2],[24],"",[],""
72,396,"","","",[347],[],"[5331,5473]","",[3],[24],"",[],""
73,397,"","","",[347],[],"[5331,5473]","",[4],[24],"",[],""
74,401,"","","",[347],[],"[5244,5453]","",[2],[24],"",[],""
75,402,"","","","[347,1302]",[],"[5338,5466]","","[1,1]",[24],"",[],""
76,406,"","","",[347],[],[5349],"",[-29],[24],"",[],""
77,408,"","","",[347],[],"[5245,5462]","",[-3],[24],"",[],""
