"rownum","BaseItemTypesKey","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","Display_Wand_ModsKey","Display_Bow_ModsKey","Display_Quiver_ModsKey","Display_Amulet_ModsKey","Display_Ring_ModsKey","Display_Belt_ModsKey","Display_Gloves_ModsKey","Display_Boots_ModsKey","Display_BodyArmour_ModsKey","Display_Helmet_ModsKey","Display_Shield_ModsKey","i32","DropLevelMinimum","DropLevelMaximum","Monster_ModsKeys","EssenceTypeKey","Level","i32","Display_Weapon_ModsKey","Display_MeleeWeapon_ModsKey","Display_OneHandWeapon_ModsKey","Display_TwoHandWeapon_ModsKey","Display_TwoHandMeleeWeapon_ModsKey","Display_Armour_ModsKey","Display_RangedWeapon_ModsKey","Helmet_ModsKey","BodyArmour_ModsKey","Boots_ModsKey","Gloves_ModsKey","Bow_ModsKey","Wand_ModsKey","Staff_ModsKey","TwoHandSword_ModsKey","TwoHandAxe_ModsKey","TwoHandMace_ModsKey","Claw_ModsKey","Dagger_ModsKey","OneHandSword_ModsKey","OneHandThrustingSword_ModsKey","OneHandAxe_ModsKey","OneHandMace_ModsKey","Sceptre_ModsKey","Display_Monster_ModsKey","ItemLevelRestriction","Belt_ModsKey","Amulet_ModsKey","Ring_ModsKey","Display_Jewellery_ModsKey","Shield_ModsKey","Display_Items_ModsKey","IsScreamingEssence"
0,73,"","","","","","","","","","","","",1818,3065,"","",3065,"","","","","",-1010710615,1,47,"[12153,12161]",0,1,700,1806,"","","",1818,3065,"",3065,3065,3065,3065,1818,1806,1818,1818,1818,1818,1806,1806,1806,1806,1806,1806,1806,12006,35,3065,3552,3552,3552,3065,"",""
1,74,"","","","","","","","","","","","",1819,3066,"","",3066,"","","","","",1794042691,12,67,"[12154,12161]",0,2,770,1807,"","","",1819,3066,"",3066,3066,3066,3066,1819,1807,1819,1819,1819,1819,1807,1807,1807,1807,1807,1807,1807,12007,45,3066,3553,3553,3553,3066,"",""
2,75,"","","","","","","","","","","","",1821,3067,"","",3067,"","","","","",-1926556014,30,100,"[12155,12161]",0,3,847,1809,"","","",1821,3067,"",3067,3067,3067,3067,1821,1809,1821,1821,1821,1821,1809,1809,1809,1809,1809,1809,1809,12008,60,3067,3554,3554,3554,3067,"",""
3,76,"","","","","","","","","","","","",1823,3068,"","",3068,"","","","","",1130285480,48,100,"[12156,12161]",0,4,931,1811,"","","",1823,3068,"",3068,3068,3068,3068,1823,1811,1823,1823,1823,1823,1811,1811,1811,1811,1811,1811,1811,12009,75,3068,3555,3555,3555,3068,"",""
4,77,"","","","","","","","","","","","",1825,3070,"","",3070,"","","","","",2062300730,68,100,"[12157,12161]",0,5,1024,1813,"","","",1825,3070,"",3070,3070,3070,3070,1825,1813,1825,1825,1825,1825,1813,1813,1813,1813,1813,1813,1813,12010,0,3070,3556,3556,3556,3070,"",1
5,78,"","","","","","","","","","","","",1826,3071,"","",3071,"","","","","",-2071586625,0,0,"[12158,12161]",0,6,0,1814,"","","",1826,3071,"",3071,3071,3071,3071,1826,1814,1826,1826,1826,1826,1814,1814,1814,1814,1814,1814,1814,12011,0,3071,3557,3557,3557,3071,"",""
6,79,"","","","","","","","","","","","",1838,3072,"","",3072,"","","","","",1769493148,0,0,"[12159,12161]",0,7,0,1816,"","","",1838,3072,"",3072,3072,3072,3072,1838,1816,1838,1838,1838,1838,1816,1816,1816,1816,1816,1816,1816,12012,0,3072,3558,3558,3558,3072,"",""
7,80,"","","","","","","","","","","","","",13123,1924,609,609,"","","","","",-777397213,1,47,[12153],1,1,700,"","",2257,2269,"",689,"",689,689,689,689,2269,2257,2269,2269,2269,2269,2257,2257,2257,2257,2257,2257,2257,12098,35,609,1924,609,"",689,"",""
8,81,"","","","","","","","","","","","","",13124,1925,610,610,"","","","","",1672586153,12,67,[12154],1,2,770,"","",2258,2270,"",690,"",690,690,690,690,2270,2258,2270,2270,2270,2270,2258,2258,2258,2258,2258,2258,2258,12099,45,610,1925,610,"",690,"",""
9,82,"","","","","","","","","","","","","",13129,1926,613,613,"","","","","",1828846209,30,100,[12155],1,3,847,"","",2259,2271,"",692,"",692,692,692,692,2271,2259,2271,2271,2271,2271,2259,2259,2259,2259,2259,2259,2259,12100,60,613,1926,613,"",692,"",""
