"rownum","Id","WitnessesRequired","AreaLevel","i32","i32","BaseItemType","i32","MinMapTier","i32","i32","WitnessAreas","i32","i32","bool","[rid]"
0,"Void1",4,83,974,4,8690,225,0,2334,1100,"[1235,1237,1236,1234]",1203,2298,1,[]
1,"Void2",4,83,975,4,8691,225,0,2334,1101,"[1717,1716,1714,1715]",1203,2299,1,[]
2,"Void3",4,83,976,4,8692,225,0,2334,1102,"[446,444,443,445]",1203,2300,1,[]
3,"Void4",4,83,977,4,8693,225,0,2334,1103,"[1065,1067,1068,1069]",1203,2301,1,[]
4,"Void5",5,83,978,5,8694,225,0,2334,1104,"[442,1066,746,1238,1271]",1203,2349,1,[]
5,"Void6",4,83,1162,4,8695,225,0,2334,1161,"[1718,1719,1720,1721]",1203,2351,1,[]
6,"Atlas1",3,73,979,2,8696,225,6,2335,1019,[],1203,2302,"",[]
7,"Atlas2",4,75,980,2,8697,979,8,2335,1019,[],1203,2303,"",[]
8,"Atlas3",5,78,981,3,8698,980,10,2335,1019,[],1203,2304,"",[]
9,"Atlas4",6,80,982,3,8699,981,12,2335,1019,[],1203,2305,"",[]
10,"Atlas5",10,83,983,10,8700,982,14,2335,1019,[],1084,2350,"",[]
