"rownum","Id","ExtraFeature","ExpeditionFaction","MinLevel","MaxLevel","i32","Area","ExpeditionAreas","i32","bool","UnearthAchievements"
0,"Boss1",26,0,68,100,1,"",[],1000,1,[]
1,"Boss2",27,1,68,100,1,"",[],1000,1,[]
2,"Boss3",23,2,75,100,1,1740,[],1000,1,[]
3,"Boss4",23,3,81,100,1,1741,[],1000,1,[]
4,"CryptArchers",24,1,1,100,1,1742,"[4,6,8,9,11]",12000,"","[8177,8316]"
5,"Sewers",24,"",1,100,1,1743,"[4,7,8,13]",12000,"","[8178,8316]"
6,"UndergroundSand",24,"",1,100,1,1744,"[3,4,7,8,11]",12000,"","[8179,8316]"
7,"CryptSarcophagi",24,"",1,100,1,1745,"[6,9,10,11,12]",12000,"","[8180,8316]"
8,"PirateCave",25,"",1,100,1,1746,"[1,2,5,15]",12000,"","[8181,8316]"
9,"ForgottenGrotto",25,"",1,100,1,1747,"[1,2,5,9,12,14,15]",12000,"","[8182,8316]"
10,"BaitCave",25,3,81,100,1,1749,"[1,2,5,14]",1,"",[8316]
11,"FungiDungeon",25,0,1,100,1,1748,"[3,4,10,13]",12000,"","[8183,8316]"
12,"SealedVault",24,2,1,100,1,1750,"[3,4,6,8,13]",12000,"","[8184,8316]"
13,"SpiderNest",24,"",1,100,1,1751,"[1,2,3,4,6,10,13,14]",12000,"","[8185,8316]"
