"rownum","Id","WorldAreasKey","CharactersKey","MonsterVarietiesKey","i32"
0,"ProxyKey0",1324,0,2558,1
1,"ProxyKey1",1328,0,2570,1
2,"ProxyKey2",1329,0,2570,1
3,"ProxyKey3",1336,0,2539,1
4,"ProxyKey4",1337,0,2539,1
5,"ProxyKey5",1344,0,2585,1
6,"ProxyKey6",1324,1,2548,1
7,"ProxyKey7",1328,1,2579,1
8,"ProxyKey8",1329,1,2579,1
9,"ProxyKey9",1336,1,2570,1
10,"ProxyKey10",1337,1,2570,1
11,"ProxyKey11",1344,1,2585,1
12,"ProxyKey12",1324,3,2531,1
13,"ProxyKey13",1328,3,2539,1
14,"ProxyKey14",1329,3,2539,1
15,"ProxyKey15",1336,3,2579,1
16,"ProxyKey16",1337,3,2579,1
17,"ProxyKey17",1344,3,2585,1
18,"ProxyKey18",1324,6,2570,1
19,"ProxyKey19",1328,6,2548,1
20,"ProxyKey20",1329,6,2548,1
21,"ProxyKey21",1336,6,2558,1
22,"ProxyKey22",1337,6,2558,1
23,"ProxyKey23",1344,6,2585,1
24,"ProxyKey24",1324,4,2539,1
25,"ProxyKey25",1328,4,2558,1
26,"ProxyKey26",1329,4,2558,1
27,"ProxyKey27",1336,4,2531,1
28,"ProxyKey28",1337,4,2531,1
29,"ProxyKey29",1344,4,2585,1
30,"ProxyKey30",1324,5,2579,1
31,"ProxyKey31",1328,5,2531,1
32,"ProxyKey32",1329,5,2531,1
33,"ProxyKey33",1336,5,2548,1
34,"ProxyKey34",1337,5,2548,1
35,"ProxyKey35",1344,5,2585,1
36,"ProxyKey36",1324,2,2548,1
37,"ProxyKey50",1324,2,2531,1
38,"ProxyKey51",1328,2,2558,1
39,"ProxyKey37",1328,2,2579,1
40,"ProxyKey42",1329,2,2558,1
41,"ProxyKey43",1329,2,2579,1
42,"ProxyKey38",1336,2,2570,1
43,"ProxyKey44",1336,2,2539,1
44,"ProxyKey45",1337,2,2570,1
45,"ProxyKey39",1337,2,2539,1
46,"ProxyKey41",1344,2,2585,1
