"rownum","Wordlist","Text","SpawnWeight_Tags","SpawnWeight_Values","i32","Text2","Inflection"
0,1,"Dire","[732,650,3,2,661,26,21,8,7,62,63,64,65,66,67,68,0]","[1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0]",-241566196,"Dire",""
1,1,"Cinder","[62,64,67,0]","[1000,1000,1000,0]",285558415,"Cinder",""
2,1,"Iron","[732,69,63,67,0]","[1000,1000,1000,1000,0]",1748293915,"Iron",""
3,1,"Steel","[732,69,63,0]","[1000,1000,1000,0]",1890903384,"Steel",""
4,1,"Agony","[650,3,2,661,26,21,8,7,62,63,64,65,66,67,68,69,0]","[1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0]",-1040640040,"Agony",""
5,1,"Dark","[732,69,62,63,64,65,66,67,68,0]","[1000,1000,1000,1000,1000,1000,1000,1000,1000,0]",1205947952,"Dark",""
6,1,"Cruel","[732,63,64,65,66,67,68,0]","[1000,1000,1000,1000,1000,1000,1000,0]",-543099414,"Cruel",""
7,1,"Death","[732,69,650,3,2,661,26,21,8,7,63,64,65,66,67,68,0]","[1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0]",1693771686,"Death",""
8,1,"Chaos","[69,63,64,65,66,67,0]","[1000,1000,1000,1000,1000,1000,0]",1742788125,"Chaos",""
9,1,"Blood","[650,3,2,661,26,21,8,7,62,63,64,66,67,68,0]","[1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0]",306773410,"Blood",""
10,1,"Terror","[63,64,65,66,67,68,0]","[1000,1000,1000,1000,1000,1000,0]",-590652478,"Terror",""
11,1,"Pain","[69,650,3,2,661,26,21,8,7,63,64,65,66,67,68,0]","[1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0]",-1716101697,"Pain",""
12,1,"Savage","[732,69,64,65,66,67,0]","[1000,1000,1000,1000,1000,1000,0]",1052627272,"Savage",""
13,1,"Grim","[732,238,650,3,2,661,26,21,8,7,62,63,64,65,66,67,68,0]","[1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0]",-1694429810,"Grim",""
14,1,"Whispering","[238,0]","[1000,0]",1087805279,"Whispering",""
15,1,"Foul","[238,0]","[1000,0]",2036870111,"Foul",""
16,1,"Enthralling","[238,0]","[1000,0]",-794706624,"Enthralling",""
17,1,"Hollow","[238,0]","[1000,0]",953145374,"Hollow",""
