"rownum","Id","MonsterVarietiesKeys","MonsterAmount","i32","IsNegated","i32","[i32]","IsLessThen","MinimumHealthPercentage"
0,"HasIceTotemsX4",[1022],4,0,"",200,[],"",1
1,"HasIceMinionsX10","[4151,4152]",10,0,"",200,[],"",1
2,"HasBloodRavensX3",[3048],3,0,"",200,[],"",1
3,"HasFireSkelliesX10",[2272],10,0,"",200,[],"",1
4,"HasNoUnmovedWickermanStatues",[5119],0,0,1,200,[],"",1
5,"HasNoUnmovedStatues",[5118],0,0,1,200,[],"",1
6,"HasVoidPitsX12",[],12,0,"",200,[398],"",1
7,"HasPylonsX12",[],12,0,"",200,[556],"",1
8,"HasLessThan7VoidPits",[],7,0,"",200,[734],1,1
9,"HasLessThan7Pylons",[],7,0,"",200,[904],1,1
10,"HasHeraldOfAshOverHalfHealth",[2426],1,0,"",200,[],"",50
