"rownum","Id","MinLevel","MaxLevel","SpawnWeight","MonsterPacksKey","MonsterVarietiesKey","MonsterSpawnerId"
0,"Tiger",80,100,8,1317,6080,"Metadata/Monsters/LeagueBestiary/MenagerieSpawners/SpawnerWildsTiger"
1,"HellionFire",18,100,40,1315,6068,"Metadata/Monsters/LeagueBestiary/MenagerieSpawners/SpawnerWildsHellionFire"
2,"HellionIce",68,100,100,1318,6070,"Metadata/Monsters/LeagueBestiary/MenagerieSpawners/SpawnerWildsHellionIce"
3,"Lynx",68,100,40,1319,6075,"Metadata/Monsters/LeagueBestiary/MenagerieSpawners/SpawnerWildsLynx"
4,"Chieftain",18,100,100,1320,6149,"Metadata/Monsters/LeagueBestiary/MenagerieSpawners/SpawnerWildsChieftain"
5,"Monkey",18,100,20,1321,6152,"Metadata/Monsters/LeagueBestiary/MenagerieSpawners/SpawnerWildsMonkey"
6,"Goatman",18,100,100,1322,6155,"Metadata/Monsters/LeagueBestiary/MenagerieSpawners/SpawnerWildsGoatman"
7,"Wolf",68,100,40,1323,6086,"Metadata/Monsters/LeagueBestiary/MenagerieSpawners/SpawnerWildsWolf"
8,"Hound",68,100,40,1324,6159,"Metadata/Monsters/LeagueBestiary/MenagerieSpawners/SpawnerWildsFuryHound"
9,"Pitbull",68,100,20,1325,6162,"Metadata/Monsters/LeagueBestiary/MenagerieSpawners/SpawnerWildsPitbull"
10,"Beast",18,100,100,1326,6168,"Metadata/Monsters/LeagueBestiary/MenagerieSpawners/SpawnerWildsBeast"
11,"Ursa",18,100,100,1327,6171,"Metadata/Monsters/LeagueBestiary/MenagerieSpawners/SpawnerWildsUrsa"
12,"Bull",68,100,100,1328,6129,"Metadata/Monsters/LeagueBestiary/MenagerieSpawners/SpawnerWildsBull"
13,"Spiker",30,100,100,1329,6124,"Metadata/Monsters/LeagueBestiary/MenagerieSpawners/SpawnerWildsSpiker"
14,"Kiweth",18,100,100,1330,6046,"Metadata/Monsters/LeagueBestiary/MenagerieSpawners/SpawnerSandsKiweth"
15,"Vulture",68,100,15,1331,6043,"Metadata/Monsters/LeagueBestiary/MenagerieSpawners/SpawnerSandsVulture"
16,"Rhoa",2,100,100,1316,6040,"Metadata/Monsters/LeagueBestiary/MenagerieSpawners/SpawnerSandsRhoa"
17,"Rhex",72,100,14,1332,6033,"Metadata/Monsters/LeagueBestiary/MenagerieSpawners/SpawnerSandsRhex"
18,"ForestSnake",19,100,100,1333,6052,"Metadata/Monsters/LeagueBestiary/MenagerieSpawners/SpawnerSandsForestSnake"
19,"SandSnake",23,100,100,1334,6059,"Metadata/Monsters/LeagueBestiary/MenagerieSpawners/SpawnerSandsSandSnake"
20,"Iguana",68,100,100,1335,6062,"Metadata/Monsters/LeagueBestiary/MenagerieSpawners/SpawnerSandsIguana"
21,"CarrionQueen",23,100,100,1336,6093,"Metadata/Monsters/LeagueBestiary/MenagerieSpawners/SpawnerCavernsCarrionQueen"
22,"SandLeaper",34,100,100,1337,6096,"Metadata/Monsters/LeagueBestiary/MenagerieSpawners/SpawnerCavernsSandLeaper"
23,"Devourer",21,100,100,1338,6100,"Metadata/Monsters/LeagueBestiary/MenagerieSpawners/SpawnerCavernsDevourer"
24,"PlagueSpider",68,100,25,1339,6109,"Metadata/Monsters/LeagueBestiary/MenagerieSpawners/SpawnerCavernsPlagueSpider"
25,"PlatedSpider",77,100,10,1340,6114,"Metadata/Monsters/LeagueBestiary/MenagerieSpawners/SpawnerCavernsPlatedSpider"
26,"Spider",18,100,100,1341,6121,"Metadata/Monsters/LeagueBestiary/MenagerieSpawners/SpawnerCavernsSpider"
27,"Scorpion",68,100,100,1342,6105,"Metadata/Monsters/LeagueBestiary/MenagerieSpawners/SpawnerCavernsScorpion"
28,"ParasiticSquid",78,100,10,1343,6193,"Metadata/Monsters/LeagueBestiary/MenagerieSpawners/SpawnerDepthsParasiticSquid"
29,"SirenSpawn",18,100,100,1344,6197,"Metadata/Monsters/LeagueBestiary/MenagerieSpawners/SpawnerDepthsSirenSpawn"
30,"Squid",68,100,100,1345,6201,"Metadata/Monsters/LeagueBestiary/MenagerieSpawners/SpawnerDepthsSquid"
31,"SandSpitter",2,100,100,1346,6174,"Metadata/Monsters/LeagueBestiary/MenagerieSpawners/SpawnerDepthsSandSpitter"
