"rownum","Id","i32","f32","rid","rid","rid"
0,"Fire",4,24,3599,163,""
1,"Ice",4,0,6203,164,""
2,"CausticCloud",8,5,4593,466,""
3,"Tar",4,0,4942,165,""
4,"Smoke",8,0,12382,1493,""
5,"Desecration",4,24,2186,202,""
6,"Consecration",10,0,8678,203,1244
7,"Lightning",6,0,10279,227,""
8,"Maelstorm",4,4,4835,692,""
9,"Haste",4,0,"",778,""
10,"Sandstorm",0,24,"",868,""
11,"Blizzard",4,0,"",797,""
12,"Spores",4,24,7295,448,""
13,"DevouringDarkness",4,24,"",837,""
14,"Quicksand",0,24,7936,915,""
15,"Blood",0,24,14681,1115,""
16,"TemporalAnomaly",10,0,10079,1001,1400
17,"OrionMeteor",0,0,"",1426,227
18,"CrownOfThorns",4,24,"",1569,""
19,"VaalCloud",4,24,"",300,""
20,"Profane",10,0,"",1541,""
21,"ChaosOfferingOfJudgement",6,24,"",491,514
22,"FireOfferingOfJudgement",6,24,"",490,514
23,"DespairBearGeyser",0,24,"",861,""
24,"Fungal",0,0,"",1390,1392
25,"BestiarySpiderWeb",0,24,"",1031,""
26,"VaalColdSnap",4,24,7879,1109,""
27,"Oil",4,24,15808,1625,1626
28,"Scorch",4,0,"",1718,""
29,"GravityWell",0,24,"",1755,""
30,"LightningVortex",4,4,13950,1781,227
31,"Brittle",4,0,"",2019,""
32,"Sapping",4,0,"",2020,""
33,"Sludge",4,0,"",2031,""
