"rownum","Id","MonsterVarietiesKey","i32","rid","bool","bool","i32","i32","bool","rid","rid","i32","bool","i32","string","bool","bool","i32"
0,0,3531,126,"",1,1,0,0,"","","",0,"",0,"","",1,0
1,1,419,126,330,1,1,0,0,"","","",0,"",0,"","",1,0
2,2,3489,126,"",1,1,0,0,"","","",0,"",0,"","",1,0
3,3,1874,126,"",1,1,0,0,"","","",0,"",0,"","",1,0
4,4,1875,126,"",1,1,0,0,"","","",0,"",0,"","",1,0
5,5,280,126,330,1,1,0,0,"","","",0,"",0,"","",1,0
6,6,45,126,330,1,1,0,0,"","","",0,"",0,"","",1,0
7,7,"",11,409,1,1,0,0,"","","",0,"",0,"","",1,0
8,8,"",10,409,1,1,0,0,"","","",0,"",0,"","",1,0
9,9,"",9,330,1,1,0,0,"","","",0,"",0,"","",1,0
10,10,950,126,"",1,1,0,0,"","","",0,"",0,"","",1,0
11,11,"",12,"",1,1,0,0,"","","",0,"",0,"","",1,0
12,12,"",13,"",1,1,0,0,"","","",0,"",0,"","",1,0
13,13,957,126,"",1,1,0,0,"","","",0,"",0,"","",1,0
14,14,4355,126,246,1,1,0,0,"","","",0,"",0,"","",1,0
15,15,4415,126,"",1,1,0,0,"","","",0,"",0,"","",1,0
16,16,4416,126,"",1,1,0,0,"","","",0,"",0,"","",1,0
17,17,4417,126,"",1,1,0,0,"","","",0,"",0,"","",1,0
18,18,1166,126,"",1,1,0,0,"","","",0,"",0,"","",1,0
19,19,4151,126,"",1,1,0,0,"","","",0,"",0,"","",1,0
20,20,3487,126,"",1,1,0,0,"","","",0,"",0,"","",1,0
21,21,3761,126,"",1,1,0,0,"","","",0,"",0,"","",1,0
22,22,1876,126,"",1,1,0,0,"","","",0,"",0,"","",1,0
23,23,128,126,600,1,1,0,0,"","","",0,"",0,"","",1,0
24,24,438,126,600,1,1,0,0,"","","",0,"",0,"","",1,0
25,25,4183,126,"",1,1,0,0,"","","",0,"",0,"","",1,0
26,26,4346,126,330,1,1,0,0,"","","",0,"",0,"","",1,0
27,27,4347,126,330,1,1,0,0,"","","",0,"",0,"","",1,0
28,28,"",15,330,1,1,0,0,"","","",0,"",0,"","",1,0
29,29,"",16,330,1,1,0,0,"","","",0,"",0,"","",1,0
30,30,3908,126,526,1,1,0,0,"","","",0,"",0,"","",1,0
31,31,"",14,406,1,1,0,0,"","","",0,"",0,"","",1,0
32,32,4152,126,"",1,1,0,0,"","","",0,"",0,"","",1,0
33,33,3991,126,"",1,1,0,0,"","","",0,"",0,"","",1,0
34,34,4154,126,"",1,1,0,0,"","","",0,"",0,"","",1,0
35,35,3992,126,"",1,1,0,0,"","","",0,"",0,"","",1,0
36,36,3993,126,"",1,1,0,0,"","","",0,"",0,"","",1,0
37,37,3994,126,"",1,1,0,0,"","","",0,"",0,"","",1,0
38,38,2993,126,"",1,1,0,0,"","","",0,"",0,"","",1,0
39,39,2994,126,"",1,1,0,0,"","","",0,"",0,"","",1,0
40,40,2995,126,"",1,1,0,0,"","","",0,"",0,"","",1,0
41,41,1866,126,"",1,1,0,0,"","","",0,"",0,"","",1,0
42,42,909,126,20,1,1,0,0,"","","",0,"",0,"","",1,0
43,43,117,126,20,1,1,0,0,"","","",0,"",0,"","",1,0
44,44,308,126,20,1,1,0,0,"","","",0,"",0,"","",1,0
45,45,431,126,20,1,1,0,0,"","","",0,"",0,"","",1,0
46,46,127,126,600,1,1,0,0,"","","",0,"",0,"","",1,0
47,47,437,126,600,1,1,0,0,"","","",0,"",0,"","",1,0
48,48,3988,126,"",1,1,0,0,"","","",0,"",0,"","",1,0
49,49,4212,126,475,1,1,0,0,"","","",0,"",0,"","",1,0
50,50,3833,126,20,1,1,0,0,"","","",0,"",0,"","",1,0
51,51,3834,126,20,1,1,0,0,"","","",0,"",0,"","",1,0
52,52,3835,126,20,1,1,0,0,"","","",0,"",0,"","",1,0
53,53,4532,126,"",1,1,0,0,"","","",0,"",0,"","",1,0
54,54,3491,126,"",1,1,0,0,"","","",0,"",0,"","",1,0
55,55,4631,126,"",1,1,0,0,"","","",0,"",0,"","",1,0
56,56,4185,126,"",1,1,0,0,"","","",0,"",0,"","",1,0
57,57,2636,126,"",1,1,0,0,"","","",0,"",0,"","",1,0
58,58,2637,126,"",1,1,0,0,"","","",0,"",0,"","",1,0
