"rownum","Id","Base_ENVFile","Corrupted_ENVFile","i32","i32","[rid]","EnvironmentTransitionsKey","PreloadGroup"
0,"NULL","","",2615,2615,[],"",""
1,"NoMusic","Metadata/EnvironmentSettings/no_music.env","",2615,2615,[],"",""
2,"1_1","Metadata/EnvironmentSettings/1_1_1.env","",2615,2615,[],"",""
3,"1_1w","Metadata/EnvironmentSettings/1_1_1.env","",2615,2615,[],"",""
4,"1_1_silent","Metadata/EnvironmentSettings/no_music.env","",2615,2615,[],"",""
5,"1_2","Metadata/EnvironmentSettings/1_1_2_Night.env","",2615,2615,[],"",""
6,"1_2_remakeledges","Metadata/EnvironmentSettings/1_1_2_LedgeRemake.env","",2615,2615,[],"",""
7,"1_2a","Metadata/EnvironmentSettings/1_1_2a.env","",2615,2615,[],"",""
8,"1_3","Metadata/EnvironmentSettings/1_1_3_Dawn.env","Metadata/EnvironmentSettings/1_1_3_Sunny.env",2615,2615,[],0,""
9,"1_3a","Metadata/EnvironmentSettings/1_1_3a_Dark.env","Metadata/EnvironmentSettings/1_1_3a_Sunny.env",2615,228,[],"",""
10,"1_4_0","Metadata/EnvironmentSettings/1_1_4_0.env","",2615,2615,[],"",""
11,"1_4_0_synthesis","Metadata/EnvironmentSettings/1_1_4_0_synthesis.env","",2615,2615,[],"",""
12,"1_4_1","Metadata/EnvironmentSettings/1_1_4_1.env","",2615,2615,[],"",""
13,"1_4_2","Metadata/EnvironmentSettings/1_1_4_2.env","",2615,2615,[],"",""
14,"1_5","Metadata/EnvironmentSettings/1_1_5.env","",2615,2615,[],"",""
15,"1_6","Metadata/EnvironmentSettings/1_1_6.env","",2615,2615,[],"",""
16,"1_7_1","Metadata/EnvironmentSettings/1_1_7_1.env","",2615,2615,[],"",""
17,"1_7_2","Metadata/EnvironmentSettings/1_1_7_2.env","",2615,2615,[],"",""
18,"1_7_3","Metadata/EnvironmentSettings/1_1_7_3.env","",2615,2615,[],"",""
19,"1_7_3_silent","Metadata/EnvironmentSettings/boss_silent.env","",2615,2615,[],"",""
20,"1_8","Metadata/EnvironmentSettings/1_1_8.env","",2615,2615,[],"",""
21,"1_9","Metadata/EnvironmentSettings/1_1_9.env","",2615,2615,[],"",""
22,"1_9test","Metadata/EnvironmentSettings/1_1_9test.env","",2615,2615,[],"",""
23,"1_9a","Metadata/EnvironmentSettings/1_1_9a.env","",2615,2615,[],"",""
24,"1_11_1","Metadata/EnvironmentSettings/1_1_11_1.env","",2615,2615,[],"",""
25,"1_11_2","Metadata/EnvironmentSettings/1_1_11_2.env","",2615,2615,[],"",""
26,"1_11_3_silent","Metadata/EnvironmentSettings/boss_silent.env","",2615,2615,[],"",""
27,"1_11_3_boss","Metadata/EnvironmentSettings/1_1_11_3.env","",2615,2615,[],"",""
28,"1_town","Metadata/EnvironmentSettings/1_1_town.env","",2615,2615,[],"",""
29,"1_town_v2","Metadata/EnvironmentSettings/1_1_town_v2.env","",2615,2615,[],"",""
30,"2_1","Metadata/EnvironmentSettings/1_2_1.env","Metadata/EnvironmentSettings/corrupted/1_2_1.env",86,89,[],"",""
31,"2_2","Metadata/EnvironmentSettings/1_2_2.env","",2615,2615,[],"",""
32,"2_2_prophecy","Metadata/EnvironmentSettings/1_2_2_prophecy.env","",2615,2615,[],"",""
33,"2_2a","Metadata/EnvironmentSettings/1_2_2a.env","",2615,2615,[],"",""
34,"2_3","Metadata/EnvironmentSettings/1_2_3.env","",2615,2615,[],"",""
35,"2_4","Metadata/EnvironmentSettings/1_2_4.env","",2615,2615,[],"",""
36,"2_5_1","Metadata/EnvironmentSettings/1_2_5_1.env","",2615,2615,[],"",""
37,"2_5_2","Metadata/EnvironmentSettings/1_2_5_2.env","",2615,2615,[],"",""
38,"2_6_1","Metadata/EnvironmentSettings/1_2_6_1.env","",2615,2615,[],"",""
39,"2_6_2","Metadata/EnvironmentSettings/1_2_6_2.env","",2615,2615,[],"",""
40,"2_6_3","Metadata/EnvironmentSettings/1_2_6_3.env","",2615,2615,[],"",""
41,"2_7","Metadata/EnvironmentSettings/1_2_7.env","Metadata/EnvironmentSettings/corrupted/1_2_7.env",86,89,[],"",""
42,"2_7_synthesis","Metadata/EnvironmentSettings/1_2_7_synthesis.env","",2615,2615,[],"",""
43,"2_8","Metadata/EnvironmentSettings/1_2_8.env","Metadata/EnvironmentSettings/corrupted/1_2_8.env",86,89,[],"",""
44,"2_9","Metadata/EnvironmentSettings/1_2_9.env","Metadata/EnvironmentSettings/corrupted/1_2_9.env",86,89,[],"",""
45,"2_10","Metadata/EnvironmentSettings/1_2_10.env","Metadata/EnvironmentSettings/corrupted/1_2_10.env",86,89,[],"",""
46,"2_11_1","Metadata/EnvironmentSettings/1_2_11_1.env","Metadata/EnvironmentSettings/corrupted/1_2_11_1.env",86,89,[],"",""
47,"2_11_2","Metadata/EnvironmentSettings/1_2_11_2.env","Metadata/EnvironmentSettings/corrupted/1_2_11_2.env",86,89,[],"",""
48,"2_12","Metadata/EnvironmentSettings/1_2_12.env","Metadata/EnvironmentSettings/corrupted/1_2_12.env",86,89,[],"",""
49,"2_13","Metadata/EnvironmentSettings/1_2_13.env","",2615,2615,[],"",""
50,"2_14_2","Metadata/EnvironmentSettings/1_2_14_2.env","Metadata/EnvironmentSettings/corrupted/1_2_14_2.env",86,89,[],"",""
51,"2_14_3","Metadata/EnvironmentSettings/1_2_14_3.env","Metadata/EnvironmentSettings/corrupted/1_2_14_3.env",86,89,[],"",""
52,"2_14_3_silent","Metadata/EnvironmentSettings/boss_silent.env","",2615,2615,[],"",""
53,"2_14_3_boss","Metadata/EnvironmentSettings/1_2_14_boss.env","Metadata/EnvironmentSettings/corrupted/1_2_14_boss.env",86,89,[],"",""
54,"2_14_3_boss_leadup","Metadata/EnvironmentSettings/1_2_14_boss_leadup.env","Metadata/EnvironmentSettings/corrupted/1_2_14_boss_leadup.env",86,89,[],"",""
55,"2_15","Metadata/EnvironmentSettings/1_2_15.env","",2615,2615,[],"",""
56,"2_town","Metadata/EnvironmentSettings/1_2_town.env","Metadata/EnvironmentSettings/corrupted/1_2_town.env",86,89,[],"",""
57,"designertest","Metadata/EnvironmentSettings/designertest.env","",2615,2615,[],"",""
58,"designertest_arena","Metadata/EnvironmentSettings/designertest_arena.env","",2615,2615,[],"",""
59,"Desert_1","Metadata/EnvironmentSettings/Desert_1.env","",2615,2615,[],"",""
60,"ParticleShower","Metadata/EnvironmentSettings/ParticleShower.env","",2615,2615,[],"",""
61,"AtlasExilesZana","Metadata/EnvironmentSettings/AtlasExiles1_1.env","",2615,2615,[],"",""
62,"AtlasExiles1_1","Metadata/EnvironmentSettings/AtlasExiles1_1.env","",2615,2615,[],"",""
63,"AtlasExiles1_BossFight","Metadata/EnvironmentSettings/AtlasExiles1_BossFight.env","",2615,2615,[],"",""
64,"AtlasExiles1_Completed","Metadata/EnvironmentSettings/AtlasExiles1_Completed.env","",2615,2615,[],"",""
65,"AtlasExiles2_1","Metadata/EnvironmentSettings/AtlasExiles2_1.env","",2615,2615,[],"",""
66,"AtlasExiles2_1_Rotate","Metadata/EnvironmentSettings/AtlasExiles2_1.env","Metadata/EnvironmentSettings/AtlasExiles2_1_Entrance.env",2615,2615,[],0,""
67,"AtlasExiles2_BossFight","Metadata/EnvironmentSettings/AtlasExiles2_BossFight.env","",2615,2615,[],"",""
68,"AtlasExiles2_Completed","Metadata/EnvironmentSettings/AtlasExiles2_Completed.env","",2615,2615,[],"",""
69,"AtlasExiles3_1","Metadata/EnvironmentSettings/AtlasExiles3_1.env","Metadata/EnvironmentSettings/AtlasExiles3_1_foggier.env",2615,2615,[],0,""
70,"AtlasExiles3_BossFight","Metadata/EnvironmentSettings/AtlasExiles3_BossFight.env","Metadata/EnvironmentSettings/AtlasExiles3_BossFight_foggier.env",2615,2615,[],0,""
71,"AtlasExiles3_Completed","Metadata/EnvironmentSettings/AtlasExiles3_Completed.env","Metadata/EnvironmentSettings/AtlasExiles3_Completed_foggier.env",2615,2615,[],0,""
72,"AtlasExiles4_1","Metadata/EnvironmentSettings/AtlasExiles4_1.env","",2615,2615,[],"",""
73,"AtlasExiles4_BossFight","Metadata/EnvironmentSettings/AtlasExiles4_BossFight.env","",2615,2615,[],"",""
74,"AtlasExiles4_Completed","Metadata/EnvironmentSettings/AtlasExiles4_Completed.env","",2615,2615,[],"",""
75,"AtlasExiles5_1","Metadata/EnvironmentSettings/AtlasExiles5_1.env","",2615,2615,[],"",""
76,"AtlasExiles5_2","Metadata/EnvironmentSettings/AtlasExiles5_2.env","",2615,2615,[],"",""
77,"AtlasExiles5_Lab","Metadata/EnvironmentSettings/AtlasExiles5_Lab.env","",2615,2615,[],"",""
78,"AtlasExiles5_LabFoyer","Metadata/EnvironmentSettings/AtlasExiles5_LabFoyer.env","",2615,2615,[],"",""
79,"AtlasExiles5_Square","Metadata/EnvironmentSettings/AtlasExiles5_Square.env","",2615,2615,[],"",""
80,"AtlasExiles5_SquareBurning1","Metadata/EnvironmentSettings/AtlasExiles5_SquareBurning1.env","",2615,2615,[],"",""
81,"AtlasExiles5_SquareBurning2","Metadata/EnvironmentSettings/AtlasExiles5_SquareBurning2.env","",2615,2615,[],"",""
82,"AtlasExiles5_SquareBurning3","Metadata/EnvironmentSettings/AtlasExiles5_SquareBurning3.env","",2615,2615,[],"",""
83,"AtlasExiles5_Completed","Metadata/EnvironmentSettings/AtlasExiles5_Completed.env","",2615,2615,[],"",""
84,"3_1","Metadata/EnvironmentSettings/1_3_1.env","",2615,2615,[],"",""
85,"3_2","Metadata/EnvironmentSettings/1_3_2.env","",2615,2615,[],"",""
86,"3_3_1","Metadata/EnvironmentSettings/1_3_3_1.env","",2615,2615,[],"",""
87,"3_4","Metadata/EnvironmentSettings/1_3_4.env","",2615,2615,[],"",""
88,"3_5","Metadata/EnvironmentSettings/1_3_5.env","",2615,2615,[],"",""
89,"3_6_1","Metadata/EnvironmentSettings/1_3_6_1.env","",2615,2615,[],"",""
90,"3_7","Metadata/EnvironmentSettings/1_3_7.env","",2615,2615,[],"",""
91,"3_8_1","Metadata/EnvironmentSettings/1_3_8_1.env","",2615,2615,[],"",""
92,"3_8_2","Metadata/EnvironmentSettings/1_3_8_2.env","",2615,2615,[],"",""
93,"3_9","Metadata/EnvironmentSettings/1_3_9.env","",2615,2615,[],"",""
94,"3_10_0","Metadata/EnvironmentSettings/1_3_10_0.env","",2615,2615,[],"",""
95,"3_10_1","Metadata/EnvironmentSettings/1_3_10_1.env","",2615,2615,[],"",""
96,"3_10_2","Metadata/EnvironmentSettings/1_3_10_2.env","",2615,2615,[],"",""
97,"3_10_3","Metadata/EnvironmentSettings/1_3_10_3.env","",2615,2615,[],"",""
98,"3_13","Metadata/EnvironmentSettings/1_3_13.env","",2615,2615,[],"",""
99,"3_14_1","Metadata/EnvironmentSettings/1_3_14_1.env","",2615,2615,[],"",""
100,"3_14_1_synthesis","Metadata/EnvironmentSettings/1_3_14_1_synthesis.env","",2615,2615,[],"",""
101,"3_14_2","Metadata/EnvironmentSettings/1_3_14_2.env","",2615,2615,[],"",""
102,"3_14_3","Metadata/EnvironmentSettings/1_3_14_3.env","",2615,2615,[],"",""
103,"3_14_3_silent","Metadata/EnvironmentSettings/boss_silent.env","",2615,2615,[],"",""
104,"3_14_3_boss","Metadata/EnvironmentSettings/1_3_14_3_boss.env","",2615,2615,[],"",""
105,"3_15","Metadata/EnvironmentSettings/1_3_15.env","",2615,2615,[],"",""
106,"3_16","Metadata/EnvironmentSettings/1_3_16.env","",2615,2615,[],"",""
107,"3_17_1","Metadata/EnvironmentSettings/1_3_17_1.env","",2615,2615,[],"",""
108,"3_17_2","Metadata/EnvironmentSettings/1_3_17_2.env","",2615,2615,[],"",""
109,"3_18_1","Metadata/EnvironmentSettings/1_3_18_1.env","",2615,2615,[],"",""
110,"3_18_1_entrance","Metadata/EnvironmentSettings/1_3_18_1_entrance.env","",2615,2615,[],"",""
111,"3_18_2","Metadata/EnvironmentSettings/1_3_18_2.env","",2615,2615,[],"",""
112,"3_18_3","Metadata/EnvironmentSettings/1_3_18_3.env","",2615,2615,[],"",""
113,"3_18_3_bossmusic","Metadata/EnvironmentSettings/1_3_18_3_bossmusic.env","",2615,2615,[],"",""
114,"3_18_3_demon","Metadata/EnvironmentSettings/1_3_18_3_demon.env","",2615,2615,[],"",""
115,"3_18_3_demon_rain","Metadata/EnvironmentSettings/1_3_18_3_demon_rain.env","",2615,2615,[],"",49
116,"3_18_3_silent","Metadata/EnvironmentSettings/1_3_18_3_silent.env","",2615,2615,[],"",""
117,"3_town","Metadata/EnvironmentSettings/1_3_town.env","",2615,2615,[],"",""
118,"3_town_v2","Metadata/EnvironmentSettings/1_3_town_v2.env","",2615,2615,[],"",""
119,"3_town_v2_clean","Metadata/EnvironmentSettings/1_3_town_v2_clean.env","",2615,2615,[],"",""
120,"3_town_v2_toxic","Metadata/EnvironmentSettings/1_3_town_v2_toxic.env","",2615,2615,[],"",""
121,"4_1","Metadata/EnvironmentSettings/1_4_1.env","",2615,2615,[],"",""
122,"4_2_silent","Metadata/EnvironmentSettings/1_4_2.env","",2615,2615,[],"",""
123,"4_2","Metadata/EnvironmentSettings/1_4_2.env","",2615,2615,[],"",""
124,"4_3_1","Metadata/EnvironmentSettings/1_4_3_1.env","",2615,2615,[],"",""
125,"4_3_2","Metadata/EnvironmentSettings/1_4_3_2.env","",2615,2615,[],"",""
126,"4_3_3","Metadata/EnvironmentSettings/1_4_3_3.env","",2615,2615,[],"",""
127,"4_3_3_prophecy","Metadata/EnvironmentSettings/1_4_3_3_prophecy.env","",2615,2615,[],"",""
128,"4_4_1","Metadata/EnvironmentSettings/1_4_4_1.env","",2615,2615,[],"",""
129,"4_4_2","Metadata/EnvironmentSettings/1_4_4_2.env","",2615,2615,[],"",""
130,"4_4_3","Metadata/EnvironmentSettings/1_4_4_3.env","",2615,2615,[],"",""
131,"4_4_3_outside_silent","Metadata/EnvironmentSettings/1_4_4_3.env","",2615,2615,[],"",""
132,"4_4_3_boss","Metadata/EnvironmentSettings/1_4_4_3_boss.env","",2615,2615,[],"",""
