"rownum","Id","MiscAnimated","[i32]","[string]","string","string"
0,"ChargeEndurance",2,[],[],"orb_finish",""
1,"ChargeFrenzy",4,[],[],"orb_finish",""
2,"ChargePower",3,[],[],"orb_finish",""
3,"ChargeEnduranceElder",1773,[],[],"orb_finish",""
4,"ChargeFrenzyElder",1774,[],[],"orb_finish",""
5,"ChargePowerElder",1772,[],[],"orb_finish",""
6,"ChargePowerAlternate",671,[],[],"orb_finish",""
7,"ChargeFrenzyBloodDance",4112,[],[],"orb_finish",""
8,"ChargeFrenzySuper",849,[],[],"orb_finish",""
9,"ChargeSpirit",1676,[],[],"orb_finish",""
10,"ChargeSiphoning",1814,[],[],"orb_finish",""
11,"ChargeVoid",1817,[],[],"orb_finish",""
12,"ChargeDivine",2879,[],[],"orb_finish",""
13,"ChargeInspiration",3457,[],[],"orb_finish",""
14,"ChargeBrutal",5056,[],[],"orb_finish",""
15,"ChargeAffliction",5057,[],[],"orb_finish",""
16,"ChargeAbsorption",5058,[],[],"orb_finish",""
17,"BloodlinesChargeZeal",472,[],[],"orb_finish",""
18,"BloodlinesChargeVigor",473,[],[],"orb_finish",""
19,"CurseTemporalChains",34,[],[],"orb_finish",""
20,"CurseTemporalChainsNew",4520,"[10,30]","[""stage2"",""stage3""]","fadeout","hexproof"
21,"IzaroTemporalChains",846,[],[],"orb_finish",""
22,"IzaroDeathTemporalChains",869,[],[],"orb_finish",""
23,"CurseEnfeeble",41,[],[],"orb_finish",""
24,"CurseVulnerability",44,[],[],"orb_finish",""
25,"IzaroVulnerabilityOrb",848,[],[],"orb_finish",""
26,"IzaroDeathVulnerabilityOrb",871,[],[],"orb_finish",""
27,"CurseElementalWeakness",35,[],[],"orb_finish",""
28,"IzaroElementalWeaknessOrb",847,[],[],"orb_finish",""
29,"IzaroDeathElementalWeaknessOrb",870,[],[],"orb_finish",""
30,"CurseFireWeakness",36,[],[],"orb_finish",""
31,"CurseColdWeakness",37,[],[],"orb_finish",""
32,"CurseLightningWeakness",38,[],[],"orb_finish",""
33,"CurseChaosWeakness",1761,[],[],"orb_finish",""
34,"CursePunishment",40,[],[],"orb_finish",""
35,"CurseSilence",269,[100],"[""orb_idle""]","orb_finish","hexproof"
36,"CurseWarlordsMark",39,[],[],"orb_finish",""
37,"CurseAssassinsMark",42,[],[],"orb_finish",""
38,"CurseSnipersMark",43,[],[],"orb_finish",""
39,"CursePoachersMark",45,[],[],"orb_finish",""
40,"FlaskCurseImmunity",148,[],[],"orb_finish",""
41,"DoedreRedOrb",1400,[],[],"orb_finish",""
42,"DoedreGreenOrb",1399,[],[],"orb_finish",""
43,"DoedrePurpleOrb",1398,[],[],"orb_finish",""
44,"ShrinePlus",251,[],[],"orb_finish",""
45,"ShrineFist",250,[],[],"orb_finish",""
46,"ShrineSword",253,[],[],"orb_finish",""
47,"ShrineWing",249,[],[],"orb_finish",""
