"rownum","Id","UIFile","ClientString","IsEnabled","i32","[i32]","i32","i32","[i32]","bool","bool"
0,"SkillGemTutorial","",54,"",0,[],12,100,[],"",1
1,"LifeFlaskTutorial","",54,"",0,[],23,100,[],"",1
2,"ManaFlaskTutorial","",54,"",0,[],220,100,[],"",1
3,"SupportGemTutorial","",54,"",0,[],219,100,[],"",1
4,"PassivePointTutorial","",54,"",0,[],281,100,[],"",1
5,"SecondPassivePointTutorial","",54,"",0,[],369,100,[],"",1
6,"StashTutorial","",54,"",0,[],432,100,[],"",1
7,"OverlapMapTutorial","",54,"",0,[],433,100,[],"",1
8,"AttackInPlaceTutorial","",54,"",0,[],894,100,[],"",1
9,"WaypointTutorial","",54,"",0,[],112,100,[],"",1
10,"ItemComparisonTutorial","",54,"",0,[],91,100,[],"",1
11,"WisdomScrollTutorial","",54,"",0,[],370,100,[],"",1
12,"GemLevelUpTutorial","",54,"",0,[],371,100,[],"",1
13,"PortalScrollTutorial","",54,"",0,[],1862,100,[],"",1
14,"ReturnToCoastTutorial","",54,"",0,[],1863,100,[],"",1
15,"ShopOrCosmeticsTabOpened","",54,"",0,[],1784,100,[],"",1
16,"XboxDelveBindingTutorial","",54,"",0,[],2027,100,[],"",1
17,"AllTutorials","",54,"",0,[],368,100,[],"",1
18,"WatchstoneTutorial","",54,"",0,[],1880,100,[],"",1
19,"Example","Metadata/UI/InGameState/Tutorials/example_tutorial.ui",58,"",0,[],2615,100,[],"",1
20,"LongText","Metadata/UI/InGameState/Tutorials/longtext.ui",107,"",0,[],2615,100,[],"",1
21,"DisabledTutorialExample","Metadata/UI/InGameState/Tutorials/fplaceholder.ui",90,"",0,[],2615,100,[],"",1
22,"HeapsOfPictures","Metadata/UI/InGameState/Tutorials/heapsofpictures.ui",166,"",0,[],2615,100,[],"",1
23,"HelpPanelIntro","Metadata/UI/InGameState/TutorialPanel/TheHelpPanel.ui",3669,1,2,[125],1761,3,[],"",1
24,"SkillGemBasics","Metadata/UI/InGameState/TutorialPanel/SkillGemBasics.ui",3098,1,2,[125],1719,3,[],"",""
25,"SupportGemRequirements","Metadata/UI/InGameState/TutorialPanel/SupportGems.ui",3074,1,2,[125],1720,3,[],"",""
