"rownum","Id","BuffDefinitionsKeys","bool","BuffStacks","CharactersKey","StatsKeys","bool","StatValue","[rid]","bool"
0,"HasFority",[1910],"",1,"",[],"",1,[],""
1,"IsBurning",[],"",1,"",[3590],"",1,[],""
2,"IsCoveredInSpiders",[759],"",1,"",[],"",1,[],""
3,"HasWebbedX5",[820],"",5,"",[],"",1,[],""
4,"IsWebbed",[820],"",1,"",[],"",1,[],""
5,"HasGoddessBeam",[702],"",1,"",[],"",1,[],""
6,"IsFirebombed",[718],"",1,"",[],"",1,[],""
7,"HasGraspingVinesX10",[955],"",10,"",[],"",1,[],""
8,"HasCorruptedBloodX5",[],"",1,"",[1818],"",5,[],""
9,"HasPietysRage",[403],"",1,"",[],"",1,[],""
10,"IsJudged","[490,491]","",1,"",[],"",1,[],""
11,"IsWitch",[],"",1,1,[],"",1,[],""
12,"IsRanger",[],"",1,3,[],"",1,[],""
13,"IsMarauder",[],"",1,0,[],"",1,[],""
14,"IsTemplar",[],"",1,6,[],"",1,[],""
15,"IsDuelist",[],"",1,4,[],"",1,[],""
16,"IsShadow",[],"",1,5,[],"",1,[],""
17,"IsScion",[],"",1,2,[],"",1,[],""
18,"HasEffluentX10","[810,811,812]","",10,"",[],"",1,[],""
19,"HasRampage",[],"",1,"",[2332],"",1,[],""
20,"HasShrineBuff",[],"",1,"",[5708],"",1,[],""
21,"IsCursed",[],"",1,"",[719],"",1,[],""
22,"IsNotCursed",[],"",1,"",[719],"",0,[],""
23,"IsVulnerable",[77],"",1,"",[],"",1,[],""
24,"InSeaWitchBeam",[269],"",1,"",[],"",1,[],""
25,"HasTempleTempestBuff","[428,429,421,423,444,439,427]","",1,"",[],"",1,[],""
26,"HasTempleExposure",[1132],"",1,"",[],"",1,[],""
27,"AffectedByHereticalFlare",[22],"",1,"",[],"",1,[],""
28,"AffectedByDarkVortex",[866],"",1,"",[],"",1,[],""
29,"AffectedByMonsterConsecratedGround",[1244],"",1,"",[],"",1,[],""
30,"Rampage300",[313],"",299,"",[],"",1,[],""
31,"IsBleeding",[],"",1,"",[2037],"",1,[],""
32,"HasQuicksandX10",[923],"",10,"",[],"",1,[],""
33,"HasMortalCall",[108],"",1,"",[],"",1,[],""
34,"HasSapphireRingEquipped",[],"",1,"",[],"",1,[4496],""
35,"HasTopazRingEquipped",[],"",1,"",[],"",1,[4495],""
36,"HasSapphireRingAndTopazRingEquipped",[],"",1,"",[],"",1,"[4495,4496]",1
37,"IsBlinded",[],"",1,"",[970],"",1,[],""
38,"IsTaunted",[],"",1,"",[3423],"",1,[],""
39,"HasEmberstorm",[1618],"",1,"",[],"",1,[],""
40,"HasBoneRoil",[578],"",1,"",[],"",1,[],""
41,"HasDoedresTorment",[885],"",5,"",[],"",1,[],""
42,"HasDoedresWithering",[886],"",5,"",[],"",1,[],""
43,"HasDoedresSuffering",[887],"",5,"",[],"",1,[],""
44,"HasDivineShrine",[249],"",1,"",[],"",1,[],""
45,"HasTemporalChains",[67],"",1,"",[],"",1,[],""
46,"HasConductivity",[71],"",1,"",[],"",1,[],""
47,"HasMoltenShell",[112],"",1,"",[],"",1,[],""
48,"HasTrialmasterTether",[1770],"",1,"",[],"",1,[],""
49,"AffectedByBearTrap",[159],"",1,"",[],"",1,[],""
50,"AffectedByToxicSwamp",[1735],"",1,"",[],"",1,[],""
51,"AffectedByScreechX4",[281],"",1,"",[],"",1,[],""
52,"HasRighteousFire",[13],"",1,"",[],"",1,[],""
53,"HasGlimpseOfInfinity",[1857],"",1,"",[],"",1,[],""
54,"HasIndifferenceOfTheCosmos",[1856],"",1,"",[],"",1,[],""
55,"IsPoisoned",[],"",1,"",[3678],"",1,[],""
56,"AffectedByTheBlackReaping",[1868],"",1,"",[],"",1,[],""
57,"AffectedByEnervation",[1878],"",1,"",[],"",1,[],""
