"rownum","MapPinsKey0","MapPinsKey1","i32","RestrictedAreaText","i32","i32","i32","[rid]"
0,0,1,1,"You must complete the quest 'Enemy at the Gate' first.",2,2615,2615,[]
1,0,2,2615,"",2615,2615,2615,[]
2,2,3,2615,"",2615,2615,2615,[]
3,2,4,2615,"",2615,2615,2615,[]
4,4,5,2615,"",2615,2615,2615,[]
5,4,7,25,"You must complete the quest 'Breaking Some Eggs' first.",26,2615,2615,[]
6,7,6,2615,"",2615,2615,2615,[]
7,7,8,2615,"",2615,2615,2615,[]
8,8,9,2615,"",2615,2615,2615,[]
9,9,10,2615,"",2615,2615,2615,[]
10,10,11,2615,"",2615,2615,2615,[]
11,11,12,2615,"",2615,2615,2615,[]
12,12,13,2615,"",2615,2615,2615,[]
13,12,14,2615,"",2615,2615,2615,[]
14,17,18,2615,"",2615,2615,2615,[]
15,17,19,2615,"",2615,2615,2615,[]
16,17,25,2615,"",2615,2615,2615,[]
17,19,21,2615,"",2615,2615,2615,[]
18,19,20,2615,"",2615,2615,2615,[]
19,21,24,2615,"",2615,2615,2615,[]
20,21,23,2615,"",2615,2615,2615,[]
21,21,33,2615,"",2615,2615,2615,[]
22,22,33,2615,"",2615,2615,2615,[]
23,25,30,2615,"",2615,2615,2615,[]
24,25,27,2615,"",2615,2615,2615,[]
25,27,28,2615,"",2615,2615,2615,[]
26,30,29,100,"You must complete the quest 'The Root of the Problem' first.",101,2615,2615,[]
27,29,26,2615,"",2615,2615,2615,[]
28,26,31,2615,"",2615,2615,2615,[]
29,26,32,2615,"",2615,2615,2615,[]
30,14,15,2615,"",2615,2615,2615,[]
31,11,16,234,"You must complete the quest 'The Way Forward' first.",231,2615,2615,[]
32,34,35,2615,"",2615,2615,2615,[]
33,34,36,2615,"",2615,2615,2615,[]
34,36,37,2615,"",2615,2615,2615,[]
35,36,44,2615,"",2615,2615,2615,[]
36,44,45,435,"The way is impassable due to the Undying blockage.",195,435,474,[]
37,44,38,2615,"",2615,2615,2615,[]
38,38,39,2615,"",2615,2615,2615,[]
39,38,40,2615,"",2615,2615,2615,[]
40,40,41,2615,"",2615,2615,2615,[]
41,41,42,2615,"",2615,2615,2615,[]
42,40,45,2615,"The bridge across is blocked by a thaumaturgical barrier.",476,2615,435,[]
43,40,43,2615,"",2615,2615,2615,[]
44,45,46,2615,"",2615,2615,2615,[]
45,45,47,2615,"",2615,2615,2615,[]
46,47,48,2615,"",2615,2615,2615,[]
47,47,49,2615,"",2615,2615,2615,[]
48,51,50,2615,"",2615,2615,2615,[]
49,50,52,2615,"",2615,2615,2615,[]
50,50,53,2615,"",2615,2615,2615,[]
51,53,54,2615,"",2615,2615,2615,[]
52,54,55,2615,"",2615,2615,2615,[]
53,55,56,2615,"",2615,2615,2615,[]
54,54,57,2615,"",2615,2615,2615,[]
55,57,58,2615,"",2615,2615,2615,[]
56,54,59,2615,"",2615,2615,2615,[]
57,59,60,698,"You must pierce the hide with the Rapture device.",223,2615,2615,[]
58,50,61,2615,"",2615,2615,2615,[]
59,63,62,2615,"",2615,2615,2615,[]
