"rownum","StatsKey","i32","MonsterPacksKeys","AdditionalMonsterPacksStatMode","PackCountStatsKey","StatsKeys","StatsValues","i32"
0,6871,1,"[1304,1305]",1,"",[],[],0
1,6870,1,"[1297,1298,1299,1300,1301,1302,1791]",0,2214,[],[],0
2,7244,1,"[1309,1310,1311,1312]",0,2214,[],[],0
3,9378,2,[1790],0,"",[],[],0
4,5029,2,[1211],0,"",[],[],0
5,5030,2,[1215],0,"",[],[],0
6,5031,2,[1213],0,"",[],[],0
7,5623,2,[1277],0,"",[],[],0
8,5032,2,[1214],0,"",[],[],0
9,5033,2,[1212],0,"",[],[],0
10,5085,2,[1216],0,"",[],[],0
11,5114,2,[1220],0,"",[],[],0
12,5089,2,[1221],0,"",[5092],[1],0
13,5090,2,[1217],0,"",[],[],15
14,10826,2,"[1309,1310,1311,1312]",0,"",[10864],[1],126
15,10827,2,"[1297,1298,1299,1300,1301,1302,1791]",0,"",[10863],[1],127
16,13983,2,[1389],0,"",[],[],0
17,13984,2,[1390],0,"",[],[],0
18,13985,2,[1400],0,"",[],[],0
19,14927,2,"[1939,1940,1941,1942]",0,14927,[],[],0
20,15562,3,"[2175,2176,2177,2178]",1,"",[],[],0
