"rownum","Item","i32","i32","i32","i32","[rid]","bool","bool","rid","i32"
0,8687,2285,2615,225,2615,[],"","","",1203
1,8688,1871,2615,351,2615,[],"","","",1203
2,8689,1870,2615,352,2615,[],"","","",1203
3,8696,2302,2615,979,2615,[],"",1,940,1203
4,8697,2303,2615,980,2615,[],"",1,940,1203
5,8698,2304,2615,981,2615,[],"",1,940,1203
6,8699,2305,2615,982,2615,[],"",1,940,1203
7,5234,2584,2615,1156,2615,[],"","",955,1203
8,5235,2585,2615,1157,2615,[],"","",956,1203
9,5236,2595,2615,1160,2615,[],"","",957,1203
10,9232,954,2615,207,2615,[],"",1,942,1203
11,9234,955,2615,212,2615,[],"",1,6446,1203
12,9236,956,2615,323,2615,[],"",1,943,1203
13,9238,957,2615,328,2615,[],"",1,6447,1203
14,5140,2008,2615,662,2615,[],"","",938,662
15,5141,2009,2615,663,2615,[],"","",938,663
16,5142,2010,2615,664,2615,[],"","",938,664
17,5143,2011,2615,665,2615,[],"","",938,665
