"rownum","InfluencePack","MonsterPacks","rid","[rid]","i32","[i32]","[i32]","i32","i32"
0,0,"[1792,1793,1794,1795]","",[],20,[],[],0,0
1,1,"[1792,1793,1794,1795]","",[],30,[],[],0,0
2,2,"[1792,1793,1794,1795]","",[],40,[],[],0,0
3,3,"[1796,1797,1798,1799,1800]","",[],20,[],[],0,0
4,4,"[1796,1797,1798,1799,1800]","",[],30,[],[],0,0
5,5,"[1796,1797,1798,1799,1800]","",[],40,[],[],0,0
6,6,"[1801,1802,1803,1804,1805]","",[],20,[],[],0,0
7,7,"[1801,1802,1803,1804,1805]","",[],30,[],[],0,0
8,8,"[1801,1802,1803,1804,1805]","",[],40,[],[],0,0
9,9,"[1806,1807,1808]","",[],20,[],[],0,0
10,10,"[1806,1807,1808]","",[],30,[],[],0,0
11,11,"[1806,1807,1808]","",[],40,[],[],0,0
12,12,[1809],"",[],15,[],[],0,0
13,13,[1810],"",[],15,[],[],0,0
14,14,[1811],"",[],15,[],[],0,0
15,15,[1812],"",[],15,[],[],0,0
16,16,[],"",[10817],0,[],[15],0,0
17,17,[1813],"",[],6,[],[],0,0
18,18,[1814],"",[],4,[],[],0,0
19,19,[1815],"",[],6,[],[],0,0
20,20,[],1452,[],0,"[1,25,30,8,30]",[],0,0
21,21,[],1453,[],0,"[1,1,15,20,30,1,1]",[],0,0
22,22,[],1454,[],0,"[1,30,10,30]",[],0,0
23,23,[],1455,[],0,"[15,30,30,15,40]",[],0,0
24,25,"[2159,2160,2161,2162]","",[],3,[],[],70,100
25,26,"[2159,2160,2161,2162,2163,2164,2165,2166]","",[],3,[],[],70,100
26,27,"[2159,2160,2161]","",[],20,[],[],0,0
27,28,"[2159,2160,2161]","",[],25,[],[],0,0
28,29,"[2159,2160,2161]","",[],30,[],[],0,0
29,30,"[2159,2160,2161]","",[],35,[],[],0,0
30,31,"[2159,2160,2161,2162,2163,2164,2165,2166]","",[],40,[],[],0,0
31,32,"[2159,2160,2161,2162,2163,2164,2165,2166]","",[],50,[],[],0,0
32,33,"[2159,2160,2161,2162,2163,2164,2165,2166]","",[],60,[],[],0,0
33,34,"[2159,2160,2161,2162,2163,2164,2165,2166]","",[],60,[],[],0,0
34,35,"[2167,2168,2169,2170]","",[],3,[],[],70,100
35,36,"[2167,2168,2169,2170,2171,2172,2173,2174]","",[],3,[],[],70,100
36,37,"[2167,2168,2169,2170]","",[],20,[],[],0,0
37,38,"[2167,2168,2169,2170]","",[],25,[],[],0,0
38,39,"[2167,2168,2169,2170]","",[],30,[],[],0,0
39,40,"[2167,2168,2169,2170]","",[],35,[],[],0,0
40,41,"[2167,2168,2169,2170,2171,2172,2173,2174]","",[],40,[],[],0,0
41,42,"[2167,2168,2169,2170,2171,2172,2173,2174]","",[],50,[],[],0,0
42,43,"[2167,2168,2169,2170,2171,2172,2173,2174]","",[],60,[],[],0,0
43,44,"[2167,2168,2169,2170,2171,2172,2173,2174]","",[],60,[],[],0,0
