"rownum","Id","X","Y","IsMajorGod","CoverImage","GodName2","SelectionImage","Effect1_StatsKeys","Effect1_Values","Effect2_StatsKeys","GodName3","Effect3_Values","Effect3_StatsKeys","GodName4","Effect4_StatsKeys","Effect4_Values","GodName1","Effect2_Values","QuestState1","QuestState2","QuestState3","QuestState4","IsDisabled","AchievementItems"
0,"TheBrineKing",60,242,1,"Art/2DArt/UIImages/InGame/Pantheon/CoverLargeFarLeft","Shock and Horror","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameLarge",[6434],[1],[221],"Puruna, the Challenger",[100],[191],"Captain Tanner Lightfoot",[2593],[-50],"Soul of the Brine King",[30],1165,1390,1391,1392,"",[6981]
1,"Arakaali",760,300,1,"Art/2DArt/UIImages/InGame/Pantheon/CoverLargeFarRight","Arachnoxia","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameLarge",[542],[-10],[5842],"Queen of the Great Tangle",[20],[6340],"Murgeth Bogsong",[6098],[40],"Soul of Arakaali",[20],1295,1393,1394,1395,"",[6981]
2,"Solaris",560,357,1,"Art/2DArt/UIImages/InGame/Pantheon/CoverLargeRight","Sumter the Twisted","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameLarge","[6163,6164]","[6,20]",[6165],"Vision of Justice",[1],[6166],"The Infernal King",[6169],[50],"Soul of Solaris",[-8],1427,1396,1397,1398,"",[6981]
3,"Lunaris",354,386,1,"Art/2DArt/UIImages/InGame/Pantheon/CoverLargeLeft","Sebbert, Crescent's Point","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameLarge","[6170,6171]","[1,1]",[6172],"Herald of Thunder",[-6],[15367],"The Sanguine Siren",[6174],[100],"Soul of Lunaris",[10],1427,1399,1400,1401,"",[6981]
4,"Minor God 1",780,517,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall",[],[],[],"",[],[],"",[],[],"",[],72,72,72,72,1,[]
5,"Minor God 2",682,550,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall",[],[],[],"",[],[],"",[],[],"",[],72,72,72,72,1,[]
6,"Abberath",328,584,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","Mephod, the Earth Scorcher","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall",[14721],[-60],"[6919,5843]","",[],[],"",[],[],"Soul of Abberath","[1,10]",1201,1403,72,72,"",[]
7,"Minor God 4",359,794,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall",[],[],[],"",[],[],"",[],[],"",[],72,72,72,72,1,[]
8,"Gruthkul",425,609,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","Erebix, Light's Bane","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall",[5852],[1],[6155],"",[],[],"",[],[],"Soul of Gruthkul",[-8],1387,1406,72,72,"",[]
9,"Yugul",225,627,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","Piety the Empyrean","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall","[10931,14722]","[-50,50]",[1278],"",[],[],"",[],[],"Soul of Yugul",[-30],1439,1407,72,72,"",[]
10,"Shakari",703,566,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","The Restless Shade","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall","[11831,11832]","[-50,3]","[3426,6522]","",[],[],"",[],[],"Soul of Shakari","[-5,-25]",1630,1408,72,72,"",[]
11,"Tukohama",335,711,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","The Cursed King","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall",[5845],[3],[11789],"",[],[],"",[],[],"Soul of Tukohama",[120],1176,1402,72,72,"",[]
12,"Minor God 9",547,725,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall",[],[],[],"",[],[],"",[],[],"",[],72,72,72,72,1,[]
13,"Ralakesh",515,747,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","Drek, Apex Hunter","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall","[6162,3387]","[-25,1]",[14355],"",[],[],"",[],[],"Soul of Ralakesh",[1],1274,1405,72,72,"",[]
14,"Garukhan",101,501,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","Stalker of the Endless Dunes","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall",[3592],[-60],"[2402,5856]","",[],[],"",[],[],"Soul of Garukhan","[1,100]",1567,1409,72,72,"",[]
15,"Ryslatha",524,664,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","The Forgotten Soldier","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall",[5848],[3],[5849],"",[],[],"",[],[],"Soul of Ryslatha",[60],1194,1404,72,72,"",[]
