"rownum","BaseItemTypesKey","Id","AOFile","MapAOFile","f32","MiscObject","PortalEffect","f32","string","PortalEffectLarge","string","string","string","i32","i32"
0,486,1,"Metadata/Effects/Microtransactions/Town_Portals/supporter_01/rig.ao","Metadata/Effects/Microtransactions/Town_Portals/supporter_01/rig_map.ao",1,"","",1,"","","","","",0,0
1,493,2,"Metadata/Effects/Microtransactions/Town_Portals/supporter_02/rig.ao","Metadata/Effects/Microtransactions/Town_Portals/supporter_02/rig_map.ao",1,"","",1,"","","","","",0,0
2,494,3,"Metadata/Effects/Microtransactions/Town_Portals/supporter_03/supporter_portal_03.ao","Metadata/Effects/Microtransactions/Town_Portals/supporter_03/supporter_portal_03_map.ao",1,"","",1,"","","","","",0,0
3,495,4,"Metadata/Effects/Microtransactions/Town_Portals/supporter_04/supporter_04.ao","Metadata/Effects/Microtransactions/Town_Portals/supporter_04/supporter_04_map.ao",1,"","",1,"","","","","",0,0
4,496,5,"Metadata/Effects/Microtransactions/Town_Portals/supporter_05/rig.ao","Metadata/Effects/Microtransactions/Town_Portals/supporter_05/rig_map.ao",1,"","",1,"","","","","",0,0
5,492,6,"Metadata/Effects/Microtransactions/Town_Portals/black_hole/rig.ao","Metadata/Effects/Microtransactions/Town_Portals/black_hole/rig_map.ao",1,"","",1,"","","","","",0,0
6,487,7,"Metadata/Effects/Microtransactions/Town_Portals/supporter_red_01/rig.ao","Metadata/Effects/Microtransactions/Town_Portals/supporter_red_01/rig_map.ao",1,"","",1,"","","","","",0,0
7,488,8,"Metadata/Effects/Microtransactions/Town_Portals/steam_portals/steam_portal_01/rig.ao","Metadata/Effects/Microtransactions/Town_Portals/steam_portals/steam_portal_01/rig_map.ao",1,"","",1,"","","","","",0,0
8,489,9,"Metadata/Effects/Microtransactions/Town_Portals/steam_portals/steam_portal_04/rig.ao","Metadata/Effects/Microtransactions/Town_Portals/steam_portals/steam_portal_04/rig_map.ao",1,"","",1,"","","","","",0,0
9,490,10,"Metadata/Effects/Microtransactions/Town_Portals/steam_portals/steam_portal_02/rig.ao","Metadata/Effects/Microtransactions/Town_Portals/steam_portals/steam_portal_02/rig_map.ao",1,"","",1,"","","","","",0,0
10,621,11,"Metadata/Effects/Microtransactions/Town_Portals/arctic_portal/arctic_portal.ao","Metadata/Effects/Microtransactions/Town_Portals/arctic_portal/arctic_portal_map.ao",1,"","",1,"","","","","",0,0
11,685,12,"Metadata/Effects/Microtransactions/Town_Portals/sovereign_portal/rig.ao","Metadata/Effects/Microtransactions/Town_Portals/sovereign_portal/rig_map.ao",1,"","",1,"","","","","",0,0
12,686,13,"Metadata/Effects/Microtransactions/Town_Portals/ascendant_portal/rig.ao","Metadata/Effects/Microtransactions/Town_Portals/ascendant_portal/rig_map.ao",1,"","",1,"","","","","",0,0
13,683,14,"Metadata/Effects/Microtransactions/Town_Portals/aspirant_portal/rig.ao","Metadata/Effects/Microtransactions/Town_Portals/aspirant_portal/rig_map.ao",1,"","",1,"","","","","",0,0
14,684,15,"Metadata/Effects/Microtransactions/Town_Portals/challenger_portal/rig.ao","Metadata/Effects/Microtransactions/Town_Portals/challenger_portal/rig_map.ao",1,"","",1,"","","","","",0,0
15,702,16,"Metadata/Effects/Microtransactions/Town_Portals/malachai_portal/rig.ao","Metadata/Effects/Microtransactions/Town_Portals/malachai_portal/rig_map.ao",1,"","",1,"","","","","",0,0
16,709,17,"Metadata/Effects/Microtransactions/Town_Portals/Perandus_portal/player.ao","Metadata/Effects/Microtransactions/Town_Portals/Perandus_portal/player_map.ao",1,"","",1,"","","","","",0,0
17,732,18,"Metadata/Effects/Microtransactions/Town_Portals/prophecy_portal/rig.ao","Metadata/Effects/Microtransactions/Town_Portals/prophecy_portal/rig_map.ao",1,"","",1,"","","","","",0,0
18,734,19,"Metadata/Effects/Microtransactions/Town_Portals/DemonkingPortal/rig.ao","Metadata/Effects/Microtransactions/Town_Portals/DemonkingPortal/rig_map.ao",1,"","",1,"","","","","",0,0
19,797,20,"Metadata/Effects/Microtransactions/Town_Portals/essence_portal/rig.ao","Metadata/Effects/Microtransactions/Town_Portals/essence_portal/rig_map.ao",1,"","",1,"","","","","",0,0
20,497,21,"Metadata/Effects/Microtransactions/Town_Portals/ShaperPortal/rig.ao","Metadata/Effects/Microtransactions/Town_Portals/ShaperPortal/rig_map.ao",1,"","",1,"","","","","",0,0
21,810,22,"Metadata/Effects/Microtransactions/Town_Portals/GorePortal/GorePortal.ao","Metadata/Effects/Microtransactions/Town_Portals/GorePortal/GorePortal_map.ao",1,"","",1,"","","","","",0,0
22,854,23,"Metadata/Effects/Microtransactions/Town_Portals/BreachSupporterPortal/rig.ao","Metadata/Effects/Microtransactions/Town_Portals/BreachSupporterPortal/rig_map.ao",1,"","",1,"","","","","",0,0
23,836,24,"Metadata/Effects/Microtransactions/Town_Portals/Breach_portal/Breach_portal_player.ao","Metadata/Effects/Microtransactions/Town_Portals/Breach_portal/Breach_portal_player_map.ao",1,"","",1,"","","","","",0,0
24,491,25,"Metadata/Effects/Microtransactions/Town_Portals/VaalPortal/portal_vaal_inmap.ao","Metadata/Effects/Microtransactions/Town_Portals/VaalPortal/portal_vaal_inmap.ao",1,"","",1,"","Metadata/Effects/Microtransactions/Town_Portals/VaalPortal/portal_vaal.ao","","","",0,0
25,862,26,"Metadata/Effects/Microtransactions/Town_Portals/KaomPortal/KaomPortal.ao","Metadata/Effects/Microtransactions/Town_Portals/KaomPortal/KaomPortalMap.ao",1,"","",1,"","","","","",0,0
26,863,27,"Metadata/Effects/Microtransactions/Town_Portals/DaressoPortal/DaressoPortal.ao","Metadata/Effects/Microtransactions/Town_Portals/DaressoPortal/DaressoPortalMap.ao",1,"","",1,"","","","","",0,0
27,868,28,"Metadata/Effects/Microtransactions/Town_Portals/classic/rig.ao","Metadata/Effects/Microtransactions/Town_Portals/classic/rig_map.ao",1,"","",1,"","","","","",0,0
28,873,29,"Metadata/Effects/Microtransactions/Town_Portals/supporter_purple/rig.ao","Metadata/Effects/Microtransactions/Town_Portals/supporter_purple/rig_map.ao",1,"","",1,"","","","","",0,0
29,962,30,"Metadata/Effects/Microtransactions/Town_Portals/twitch_portal/twitch_portal.ao","Metadata/Effects/Microtransactions/Town_Portals/twitch_portal/twitch_portal.ao",1,"","",1,"","","","","",0,0
30,1030,31,"Metadata/Effects/Microtransactions/Town_Portals/Dark_Light/Dark/rig.ao","Metadata/Effects/Microtransactions/Town_Portals/Dark_Light/Dark/rig_map.ao",1,"","",1,"","","","","",0,0
31,1031,32,"Metadata/Effects/Microtransactions/Town_Portals/Dark_Light/Light/rig.ao","Metadata/Effects/Microtransactions/Town_Portals/Dark_Light/Light/rig_map.ao",1,"","",1,"","","","","",0,0
32,1167,33,"Metadata/Effects/Microtransactions/Town_Portals/RedeemerPortal/RedeemerPortal.ao","Metadata/Effects/Microtransactions/Town_Portals/RedeemerPortal/RedeemerPortalMap.ao",1,"","",1,"","","","","",0,0
33,1175,34,"Metadata/Effects/Microtransactions/Town_Portals/SubjugatorPortal/SubjugatorPortal.ao","Metadata/Effects/Microtransactions/Town_Portals/SubjugatorPortal/SubjugatorPortal.ao",1,"","",1,"","","","","",0,0
34,1183,35,"Metadata/Effects/Microtransactions/Town_Portals/Dominator_portal/dominator_portal.ao","Metadata/Effects/Microtransactions/Town_Portals/Dominator_portal/dominator_portal_map.ao",1,"","",1,"","","","","",0,0
35,1069,36,"Metadata/Effects/Microtransactions/Town_Portals/voidgate_blue/voidgateblue.ao","Metadata/Effects/Microtransactions/Town_Portals/voidgate_blue/voidgateblue_map.ao",1,"","",1,"","","","","",0,0
36,1186,37,"Metadata/Effects/Microtransactions/Town_Portals/Fire_Ice/fire/FirePortal.ao","Metadata/Effects/Microtransactions/Town_Portals/Fire_Ice/fire/FirePortalMap.ao",1,"","",1,"","","","","",0,0
37,1187,38,"Metadata/Effects/Microtransactions/Town_Portals/Fire_Ice/ice/IcePortal.ao","Metadata/Effects/Microtransactions/Town_Portals/Fire_Ice/ice/IcePortalMap.ao",1,"","",1,"","","","","",0,0
38,1188,39,"Metadata/Effects/Microtransactions/Town_Portals/Fire_Ice/fireice/FireIce_Portal.ao","Metadata/Effects/Microtransactions/Town_Portals/Fire_Ice/fireice/FireIce_Portal_Map.ao",1,"","",1,"","","","","",0,0
