"rownum","Id"
0,"Low"
1,"Medium"
2,"High"
3,"VeryHigh"
4,"Special"
5,"UniqueLow"
6,"UniqueMedium"
7,"UniqueHigh"
8,"UniqueVeryHigh"
9,"Kingmaker"
10,"BreachFire"
11,"BreachCold"
12,"BreachLightning"
13,"BreachPhysical"
14,"BreachChaos"
15,"BreachFireUnleashed"
16,"BreachColdUnleashed"
17,"BreachLightningUnleashed"
18,"BreachPhysicalUnleashed"
19,"BreashChaosUnleashed"
20,"DelveFossilSellPrice1"
21,"DelveFossilSellPrice2"
22,"DelveFossilSellPrice3"
23,"DelveFossilSellPrice4"
24,"DelveFossilSellPrice5"
25,"DelveFossilSellPrice6"
26,"DelveFossilSellPrice7"
27,"DelveFossilSellPrice8"
28,"DelveFossilSellPrice9"
29,"VaalLegionJewel"
30,"KaruiLegionJewel"
31,"MarakethLegionJewel"
32,"TemplarLegionJewel"
33,"EternalEmpireLegionJewel"
34,"OverrideToWisdomFragment"
