"rownum","BaseItemTypesKey","Code","i32","bool"
0,9,"alch",0,1
1,12,"alt",0,1
2,202,"annul",0,1
3,11,"aug",0,""
4,17,"bauble",0,""
5,24,"blessed",0,1
6,7,"chance",0,1
7,5,"chaos",20,1
8,19,"chisel",0,1
9,20,"chrome",0,1
10,23,"divine",0,1
11,206,"engineers",0,""
12,14,"exalted",0,1
13,401,"facetors",0,""
14,21,"fusing",0,1
15,18,"gcp",0,1
16,207,"infused-engineers-orb",0,""
17,22,"jewellers",0,1
18,181,"awakened-sextant",0,1
19,1,"mirror",0,1
20,283,"offer",0,""
21,286,"offer-dedication",0,""
22,285,"offer-gift",0,""
23,284,"offer-tribute",0,""
24,16,"portal",0,""
25,15,"regal",0,1
26,3,"regret",0,1
27,13,"scour",0,1
28,0,"scrap",0,""
29,40,"silver",0,1
30,8,"transmute",0,""
31,33,"vaal",0,1
32,10,"whetstone",0,""
33,2,"wisdom",0,""
