"rownum","Id","Image","IsHC","IsSSF","Banner"
0,"EventFlag","Art/2DArt/UIImages/Common/LeagueEvent","","",""
1,"StandardFlag","Art/2DArt/UIImages/Common/LeagueStandard","","","Art/2DArt/UIImages/Login/BannerStandard"
2,"HardcoreFlag","Art/2DArt/UIImages/Common/LeagueHardcore",1,"","Art/2DArt/UIImages/Login/BannerHardcore"
3,"OnslaughtFlag","Art/2DArt/UIImages/Common/LeagueOnslaught","","","Art/2DArt/UIImages/Login/BannerOnslaught"
4,"AnarchyFlag","Art/2DArt/UIImages/Common/LeagueAnarchy",1,"","Art/2DArt/UIImages/Login/BannerAnarchy"
5,"VoidFlag","Art/2DArt/UIImages/Common/LeagueVoid","","",""
6,"EventLargeStandard","Art/2DArt/UIImages/Common/LeagueEventLargeStandard","","",""
7,"EventLargeHardcore","Art/2DArt/UIImages/Common/LeagueEventLargeHardcore",1,"",""
8,"DominationFlag","Art/2DArt/UIImages/Common/LeagueDomination","","","Art/2DArt/UIImages/Login/BannerDomination"
9,"NemesisFlag","Art/2DArt/UIImages/Common/LeagueNemesis",1,"","Art/2DArt/UIImages/Login/BannerNemesis"
10,"AmbushFlag","Art/2DArt/UIImages/Common/LeagueAmbush","","","Art/2DArt/UIImages/Login/BannerAmbush"
11,"InvasionFlag","Art/2DArt/UIImages/Common/LeagueInvasion",1,"","Art/2DArt/UIImages/Login/BannerInvasion"
12,"RampageFlag","Art/2DArt/UIImages/Common/LeagueRampage","","","Art/2DArt/UIImages/Login/BannerRampage"
13,"BeyondFlag","Art/2DArt/UIImages/Common/LeagueBeyond",1,"","Art/2DArt/UIImages/Login/BannerBeyond"
14,"TormentFlag","Art/2DArt/UIImages/Common/LeagueTorment","","","Art/2DArt/UIImages/Login/BannerTorment"
15,"BloodlinesFlag","Art/2DArt/UIImages/Common/LeagueBloodlines",1,"","Art/2DArt/UIImages/Login/BannerBloodlines"
16,"WarbandsFlag","Art/2DArt/UIImages/Common/LeagueWarbands","","","Art/2DArt/UIImages/Login/BannerWarbands"
17,"TempestFlag","Art/2DArt/UIImages/Common/LeagueTempest",1,"","Art/2DArt/UIImages/Login/BannerTempest"
18,"TalismanStandard","Art/2DArt/UIImages/Common/LeagueTalisman","","","Art/2DArt/UIImages/Login/BannerTalisman"
19,"TalismanHardcore","Art/2DArt/UIImages/Common/LeagueTalismanHC",1,"","Art/2DArt/UIImages/Login/BannerHardcoreTalisman"
20,"PerandusStandard","Art/2DArt/UIImages/Common/LeaguePerandus","","","Art/2DArt/UIImages/Login/BannerPerandus"
21,"PerandusHardcore","Art/2DArt/UIImages/Common/LeaguePerandusHC",1,"","Art/2DArt/UIImages/Login/BannerHardcorePerandus"
22,"ProphecyStandard","Art/2DArt/UIImages/Common/LeagueProphecy","","","Art/2DArt/UIImages/Login/BannerProphecy"
23,"ProphecyHardcore","Art/2DArt/UIImages/Common/LeagueProphecyHC",1,"","Art/2DArt/UIImages/Login/BannerHardcoreProphecy"
24,"EventCutthroatShort","Art/2DArt/UIImages/Common/LeagueEventCutthroatShort","","",""
25,"EventCutthroatLong","Art/2DArt/UIImages/Common/LeagueEventCutthroatLong","","",""
26,"EssenceStandard","Art/2DArt/UIImages/Common/LeagueEssence","","","Art/2DArt/UIImages/Login/BannerEssence"
27,"EssenceHardcore","Art/2DArt/UIImages/Common/LeagueEssenceHC",1,"","Art/2DArt/UIImages/Login/BannerHardcoreEssence"
28,"BreachStandard","Art/2DArt/UIImages/Common/LeagueBreach","","","Art/2DArt/UIImages/Login/BannerBreach"
