"rownum","Slot","ClusterJewelSize","i32","ReplacesSlot","ProxySlot","StartIndices"
0,1219,"",0,"","",[]
1,1220,"",0,"","",[]
2,1221,"",0,"","",[]
3,1222,"",0,"","",[]
4,1223,"",0,"","",[]
5,1224,"",0,"","",[]
6,1225,"",0,"","",[]
7,1226,"",0,"","",[]
8,1227,"",0,"","",[]
9,1228,"",0,"","",[]
10,1229,"",0,"","",[]
11,1230,2,0,"",3004,"[3,5,5]"
12,1231,2,1,"",3005,"[0,11,11]"
13,1232,2,2,"",3006,"[2,3,3]"
14,1233,"",0,"","",[]
15,1234,2,3,"",3007,"[1,1,1]"
16,1235,"",0,"","",[]
17,1236,2,4,"",3008,"[5,9,9]"
18,1237,"",0,"","",[]
19,1238,"",0,"","",[]
20,1239,2,5,"",3009,"[4,7,7]"
21,2968,1,0,11,3010,"[2,3]"
22,2969,1,1,11,3011,"[3,5]"
23,2970,1,2,11,3012,"[3,7]"
24,2971,0,0,21,3013,[1]
25,2972,0,0,22,3014,[2]
26,2973,0,0,23,3015,[3]
27,2974,1,0,12,3016,"[5,9]"
28,2975,1,1,12,3017,"[5,11]"
29,2976,1,2,12,3018,"[0,1]"
30,2977,0,0,27,3019,[4]
31,2978,0,0,28,3020,[5]
32,2979,0,0,29,3021,[0]
33,2980,1,0,13,3022,"[1,1]"
34,2981,1,1,13,3023,"[2,3]"
35,2982,1,2,13,3024,"[3,5]"
36,2983,0,0,33,3025,[0]
37,2984,0,0,34,3026,[1]
38,2985,0,0,35,3027,[2]
39,2986,1,0,15,3028,"[5,11]"
40,2987,1,1,15,3029,"[1,1]"
41,2988,1,2,15,3030,"[2,3]"
42,2989,0,0,39,3031,[5]
43,2990,0,0,40,3032,[0]
44,2991,0,0,41,3033,[1]
45,2992,1,0,17,3034,"[4,7]"
46,2993,1,1,17,3035,"[5,9]"
47,2994,1,2,17,3036,"[5,11]"
48,2995,0,0,45,3037,[3]
49,2996,0,0,46,3038,[4]
50,2997,0,0,47,3039,[5]
51,2998,1,0,20,3040,"[3,5]"
52,2999,1,1,20,3041,"[4,7]"
53,3000,1,2,20,3042,"[5,9]"
54,3001,0,0,51,3043,[2]
55,3002,0,0,52,3044,[3]
56,3003,0,0,53,3045,[4]
