"rownum","Id","f32","f32","f32","f32","i32","bool","rid","rid","i32","bool","f32"
0,"Charge",2,50,30,50,1,"","","",150,"",0
1,"Curse",2,26,2,10,3,"",4497,4496,150,"",0
2,"Shrine",0.1,10,1,10,4,"","","",150,"",0
3,"Mark",2,0,1,10,2,"",4497,4496,150,"",0
4,"JointAttach",1,0,0,50,0,1,"","",50,"",0
5,"WinterBrandOrb",5,50,30,50,1,"",4497,"",50,"",0
6,"SteelCharge",9,80,10,30,1,"","","",150,1,0
7,"CorruptedBlood",2,26,2,10,3,"",4497,4496,50,"",0
8,"ArchnemesisModOffensive",1,75,5,10,1,"","","",0,"",100
9,"ArchnemesisModDefensive",2,75,0,25,1,"","","",0,"",75
10,"ArchnemesisModStatic",0,0,0,0,1,"","","",0,"",0
