"rownum","Id","ModsKeys","MinZoneLevel","MaxZoneLevel","SpawnWeight_TagsKeys","SpawnWeight_Values","i32","BuffDefinitionsKey","[i32]","ItemWeight_TagsKeys","ItemWeight_Values","MonsterVarietiesKey","i32","bool","AchievementItemsKey","bool"
0,"FlameBearers",[8472],12,100,"[170,0]","[0,300]",0,"",[],[],[],3596,126,"",[],""
1,"FrostBearers",[8473],12,100,"[170,0]","[0,300]",0,"",[],[],[],3597,126,"",[],""
2,"StormBearers",[8474],12,100,"[170,0]","[0,300]",0,"",[],[],[],3599,126,"",[],""
3,"UnionOfSouls",[8478],0,100,"[170,0]","[0,800]",0,"",[],[],[],"",126,"",[],1
4,"Shrouded",[8479],16,100,"[170,48,72,56,75,76,73,74,53,0]","[0,800,0,0,0,0,0,0,0,0]",0,"",[],[],[],"",126,"",[],""
5,"Necrovigil",[8480],68,100,"[170,163,125,73,0]","[0,0,0,0,0]",0,"",[],[],[],"",126,"",[],1
6,"PackDeathCount",[8481],0,100,[0],[0],0,"",[],[],[],"",126,"",[],1
7,"DamageCharges",[8579],20,100,"[291,170,149,0]","[0,0,0,600]",0,360,[],[],[],"",126,"",[],""
8,"SpeedCharges",[8580],20,100,"[170,0]","[0,600]",0,361,[],[],[],"",126,"",[],""
9,"MarkOfCannibalism",[8581],0,100,"[170,125,0]","[0,0,800]",0,"",[],[],[],3601,126,"",[],1
10,"FlaringPulseblood",[8583],12,100,"[170,32,34,0]","[0,300,300,0]",0,"",[],[],[],3602,126,"",[],1
11,"RimePulseblood",[8584],12,100,"[170,32,34,0]","[0,300,300,0]",0,"",[],[],[],3603,126,"",[],1
12,"StaticPulseblood",[8585],12,100,"[170,32,34,0]","[0,300,300,0]",0,"",[],[],[],3604,126,"",[],1
13,"CongealingBloodRed",[8586],0,100,"[170,119,120,121,122,123,124,118,0]","[0,0,0,0,0,0,0,100,0]",0,"",[],[],[],1872,126,"",[],1
14,"CongealingBloodYellow",[8587],52,100,"[170,119,120,118,122,123,124,121,0]","[0,0,0,0,0,0,0,100,0]",0,"",[],[],[],1873,126,"",[],1
15,"CongealingBloodMud",[8588],32,100,"[170,119,118,121,122,123,124,120,0]","[0,0,0,0,0,0,0,100,0]",0,"",[],[],[],1877,126,"",[],1
16,"Shared Boon","[8617,8618,8619]",16,100,"[170,0]","[0,800]",0,"",[],[],[],"",126,"",[],1
17,"CultOfTheElements","[8620,8627,8628]",16,20,[0],[0],0,"",[],[],[],"",126,"",[],""
18,"CultOfTheElements2","[8621,8627,8628]",21,40,[0],[0],0,"",[],[],[],"",126,"",[],""
19,"CultOfTheElements3","[8622,8627,8628]",41,60,[0],[0],0,"",[],[],[],"",126,"",[],""
20,"CultOfTheElements4","[8623,8627,8628]",61,65,[0],[0],0,"",[],[],[],"",126,"",[],""
21,"CultOfTheElements5","[8624,8627,8628]",66,70,[0],[0],0,"",[],[],[],"",126,"",[],""
22,"CultOfTheElements6","[8625,8627,8628]",71,75,[0],[0],0,"",[],[],[],"",126,"",[],""
23,"CultOfTheElements7","[8626,8627,8628]",76,100,[0],[0],0,"",[],[],[],"",126,"",[],""
24,"VengefulBlizzard",[8632],60,100,"[170,126,0]","[0,0,600]",0,"",[],[],[],3605,126,"",[],1
25,"HeraldsOfTheObelisk",[8634],6,100,"[170,163,0]","[0,0,100]",0,"",[],[],[],"",1,1,[],1
26,"HeraldsOfTheObelisk2",[8635],6,100,"[170,163,0]","[0,0,0]",0,"",[],[],[],"",2,1,[],1
27,"HeraldsOfTheObelisk3",[8636],6,100,"[170,163,0]","[0,0,100]",0,"",[],[],[],"",3,1,[],1
28,"HeraldsOfTheObelisk4",[8637],6,100,"[170,163,0]","[0,0,100]",0,"",[],[],[],"",4,1,[],1
29,"HeraldsOfTheObelisk5",[8638],6,100,"[170,163,0]","[0,0,100]",0,"",[],[],[],"",5,1,[],1
30,"SpiritWalkers",[8639],12,100,"[170,53,0]","[0,0,800]",0,"",[],[],[],"",126,"",[],""
31,"BearersOfTheGuardian",[8643],60,100,"[170,0]","[0,100]",0,"",[],[],[],3716,126,"",[],1
32,"Otherworldly",[8644],0,100,"[170,0]","[0,800]",13000,"",[],[],[],"",126,"",[],""
33,"PhylacteralLink",[8645],0,100,"[127,0]","[0,0]",7000,369,"[1,1,1]",[],[],"",126,"",[],""
34,"KeepersOfTheTrove",[8646],40,61,"[170,0]","[0,80]",0,"",[],"[0,1,2,3,4,5,6,7,8,9,19]","[2810,1123,374,437,562,499,125,62,125,125,38]","",126,"",[7957],""
35,"KeepersOfTheTrove2",[8646],62,67,"[170,0]","[0,80]",0,"",[],"[0,1,2,3,4,5,6,7,8,9,19]","[2810,1123,374,437,562,499,125,62,125,125,28]","",126,"",[7957],""
36,"KeepersOfTheTrove3",[8646],68,71,"[170,0]","[0,80]",0,"",[],"[0,1,2,3,4,5,6,7,8,9,19]","[2810,1123,374,437,562,499,125,62,125,125,20]","",126,"",[7957],""
37,"KeepersOfTheTrove4",[8646],72,75,"[170,0]","[0,80]",0,"",[],"[0,1,2,3,4,5,6,7,8,9,19]","[2810,1123,374,437,562,499,125,62,125,125,14]","",126,"",[7957],""
38,"KeepersOfTheTrove5",[8646],76,79,"[170,0]","[0,80]",0,"",[],"[0,1,2,3,4,5,6,7,8,9,19]","[2810,1123,374,437,562,499,125,62,125,125,10]","",126,"",[7957],""
39,"KeepersOfTheTrove6",[8646],80,100,"[170,0]","[0,80]",0,"",[],"[0,1,2,3,4,5,6,7,8,9]","[2810,1123,374,437,562,499,125,62,125,125]","",126,"",[7957],""
40,"CorruptedBloodline",[8649],0,20,"[170,0]","[0,0]",0,"",[],[],[],"",126,"",[],""
41,"CorruptedBloodline2",[8650],21,35,"[170,0]","[0,0]",0,"",[],[],[],"",126,"",[],""
42,"CorruptedBloodline3",[8651],36,45,"[170,0]","[0,800]",0,"",[],[],[],"",126,"",[],""
