"rownum","Id","BaseItemTypesKeys","WorldAreasKey","MicrotransactionPortalVariation","AreaLevel","i32","i32","bool","bool","bool","[rid]"
0,"Disabled","[6532,6533,6534,6535]",0,"",0,2615,1,"","","",[]
1,"Atziri1","[6460,6461,6462,6463]",745,24,0,2615,0,"","","",[]
2,"Atziri2","[6465,6466,6467,6468]",746,24,0,2615,0,"","","",[]
3,"VaalFragment1_1",[6460],1491,"",72,2615,0,"","","",[]
4,"VaalFragment1_2",[6461],1491,"",70,2615,0,"","","",[]
5,"VaalFragment1_3",[6462],1491,"",71,2615,0,"","","",[]
6,"VaalFragment1_4",[6463],1491,"",69,2615,0,"","","",[]
7,"VaalFragment2_1",[6465],1491,"",74,2615,0,"","","",[]
8,"VaalFragment2_2",[6466],1491,"",76,2615,0,"","","",[]
9,"VaalFragment2_3",[6467],1491,"",75,2615,0,"","","",[]
10,"VaalFragment2_4",[6468],1491,"",73,2615,0,"","","",[]
11,"Disabled2","[6470,6471,6472,6473]",0,"",0,2615,0,"","","",[]
12,"ShapersRealm","[6475,6476,6477,6478]",1238,20,0,2615,0,"",1,"",[]
13,"EldersRealm","[6480,6481,6482,6483]",1271,108,0,2615,0,"",1,"",[]
14,"UberEldersRealm","[6485,6486,6487,6488]",1272,20,0,2615,0,"",1,"",[]
15,"BreachDomainFire",[6496],1052,"",0,2615,0,"","","",[]
16,"BreachDomainCold",[6497],1053,"",0,2615,0,"","","",[]
17,"BreachDomainLightning",[6498],1054,"",0,2615,0,"","","",[]
18,"BreachDomainPhysical",[6499],1050,"",0,2615,0,"","","",[]
19,"BreachDomainChaos",[6500],1051,"",0,2615,0,"","","",[]
20,"ClassicVault",[6536],275,27,0,2615,0,"","","",[]
21,"MaligaroMap",[5194],106,"",0,1283,0,"","","",[]
22,"340Vault",[6537],276,27,0,2615,0,"","","",[]
23,"BreachDomainFire2",[6501],1057,"",0,2615,0,"","","",[]
24,"BreachDomainCold2",[6502],1058,"",0,2615,0,"","","",[]
25,"BreachDomainLightning2",[6503],1059,"",0,2615,0,"","","",[]
26,"BreachDomainPhysical2",[6504],1055,"",0,2615,0,"","","",[]
27,"BreachDomainChaos2",[6505],1056,"",0,2615,0,"","","",[]
28,"BreachDomainFire3",[6506],1062,"",0,2615,0,"","","",[]
29,"BreachDomainCold3",[6507],1063,"",0,2615,0,"","","",[]
30,"BreachDomainLightning3",[6508],1064,"",0,2615,0,"","","",[]
31,"BreachDomainPhysical3",[6509],1060,"",0,2615,0,"","","",[]
32,"BreachDomainChaos3",[6510],1061,"",0,2615,0,"","","",[]
33,"BreachDomainFire4",[6511],1067,"",0,2615,0,"","","",[]
34,"BreachDomainCold4",[6512],1068,"",0,2615,0,"","","",[]
35,"BreachDomainLightning4",[6513],1069,"",0,2615,0,"","","",[]
36,"BreachDomainPhysical4",[6514],1065,"",0,2615,0,"","","",[]
37,"BreachDomainChaos4",[6515],1066,"",0,2615,0,"","","",[]
38,"BreachDomainFire5",[6516],1072,"",0,2615,0,"","","",[]
39,"BreachDomainCold5",[6517],1073,"",0,2615,0,"","","",[]
40,"BreachDomainLightning5",[6518],1074,"",0,2615,0,"","","",[]
41,"BreachDomainPhysical5",[6519],1070,"",0,2615,0,"","","",[]
42,"BreachDomainChaos5",[6520],1071,"",0,2615,0,"","","",[]
43,"EndgameLegionMap","[6521,6523,6524,6525,6522,6526,6527,6528,6529,6530]",1286,86,0,2615,2,1,"","",[]
44,"EndgameLegionMap2","[6521,6523,6524,6525,6522,6526,6527,6528,6529,6530]",1287,86,0,2615,3,1,"","",[]
45,"EndgameLegionMap3","[6521,6523,6524,6525,6522,6526,6527,6528,6529,6530]",1288,86,0,2615,4,1,"","",[]
46,"EndgameLegionMap4","[6521,6523,6524,6525,6522,6526,6527,6528,6529,6530]",1289,86,0,2615,5,1,"","",[]
47,"AfflictionBoss",[6531],1492,122,0,2615,0,"","","",[]
48,"MavenFight","[8690,8691,8692,8693,8694,8695,8696,8697,8698,8699,8700]",1712,157,0,2615,1,1,"",1,[]
49,"MavenBoss",[8741],1713,157,0,2615,0,1,"",1,[]
50,"VaalVault",[6538],277,24,0,2615,0,"","","",[]
51,"IncursionTemple",[8767],284,50,0,2615,0,"","","",[8347]
52,"UltimatumTrial",[8768],1723,159,0,2615,0,"","",1,[]
53,"HarvestBoss",[8769],1292,135,0,2615,0,"","","",[]
54,"SirusBoss","[6490,6491,6492,6493]",1616,110,0,2615,0,"",1,"",[]
55,"TangleMiniBossQuest",[9232],1273,197,79,987,0,"","","",[]
56,"TangleMiniBoss",[9233],1273,197,83,2615,0,1,"","",[]
57,"TangleBossQuest",[9234],1276,198,83,987,0,"","","",[]
58,"TangleBoss",[9235],1276,198,84,2615,0,1,"","",[]
59,"CleansingFireMiniBossQuest",[9236],1274,195,79,988,0,"","","",[]
60,"CleansingFireMiniBoss",[9237],1274,195,83,2615,0,1,"","",[]
61,"CleansingFireBossQuest",[9238],1275,196,83,988,0,"","","",[]
62,"CleansingFireBoss",[9239],1275,196,84,2615,0,1,"","",[]
