"rownum","WorldAreasKey","InheritsFrom","RecipeId"
0,35,"Metadata/Terrain/Missions/CraftingUnlocks/RecipeUnlockVaal",146
1,36,"Metadata/Terrain/Missions/CraftingUnlocks/RecipeUnlockVaal",161
2,48,"Metadata/Terrain/Missions/CraftingUnlocks/RecipeUnlockGravestone",158
3,41,"Metadata/Terrain/Missions/CraftingUnlocks/RecipeUnlockDecayed",187
4,46,"Metadata/Terrain/Missions/CraftingUnlocks/RecipeUnlockGoldenBookstand",170
5,51,"Metadata/Terrain/Missions/CraftingUnlocks/RecipeUnlockGoldenBookstand",176
6,60,"Metadata/Terrain/Missions/CraftingUnlocks/RecipeUnlockDecayed",244
7,62,"Metadata/Terrain/Missions/CraftingUnlocks/RecipeUnlockDecayed",173
8,64,"Metadata/Terrain/Missions/CraftingUnlocks/RecipeUnlockKaruiPillar",239
9,66,"Metadata/Terrain/Missions/CraftingUnlocks/RecipeUnlockBoundBook",234
10,70,"Metadata/Terrain/Missions/CraftingUnlocks/RecipeUnlockBoundBook",194
11,59,"Metadata/Terrain/Missions/CraftingUnlocks/RecipeUnlockBoundBook",168
12,68,"Metadata/Terrain/Missions/CraftingUnlocks/RecipeUnlockBeast",133
13,78,"Metadata/Terrain/Missions/CraftingUnlocks/RecipeUnlockTemplarBook",147
14,79,"Metadata/Terrain/Missions/CraftingUnlocks/RecipeUnlockTemplarBook",159
15,80,"Metadata/Terrain/Missions/CraftingUnlocks/RecipeUnlockTemplarBook",183
16,92,"Metadata/Terrain/Missions/CraftingUnlocks/RecipeUnlockDecayed",141
17,97,"Metadata/Terrain/Missions/CraftingUnlocks/RecipeUnlockGravestone",149
18,90,"Metadata/Terrain/Missions/CraftingUnlocks/RecipeUnlockDecayed",162
19,87,"Metadata/Terrain/Missions/CraftingUnlocks/RecipeUnlockKaruiPillar",188
20,110,"Metadata/Terrain/Missions/CraftingUnlocks/RecipeUnlockRunestone",171
21,111,"Metadata/Terrain/Missions/CraftingUnlocks/RecipeUnlockVaal",174
22,104,"Metadata/Terrain/Missions/CraftingUnlocks/RecipeUnlockDecayed",178
23,114,"Metadata/Terrain/Missions/CraftingUnlocks/RecipeUnlockVaal",180
24,118,"Metadata/Terrain/Missions/CraftingUnlocks/RecipeUnlockGravestone",135
25,124,"Metadata/Terrain/Missions/CraftingUnlocks/RecipeUnlockGoldenBookstand",228
26,130,"Metadata/Terrain/Missions/CraftingUnlocks/RecipeUnlockGoldenBookstand",230
27,140,"Metadata/Terrain/Missions/CraftingUnlocks/RecipeUnlockGravestone",160
28,138,"Metadata/Terrain/Missions/CraftingUnlocks/RecipeUnlockGravestone",163
29,135,"Metadata/Terrain/Missions/CraftingUnlocks/RecipeUnlockGravestone",169
30,148,"Metadata/Terrain/Missions/CraftingUnlocks/RecipeUnlockTemplarBook",185
31,153,"Metadata/Terrain/Missions/CraftingUnlocks/RecipeUnlockTemplarBook",181
32,150,"Metadata/Terrain/Missions/CraftingUnlocks/RecipeUnlockKaruiPillar",150
33,154,"Metadata/Terrain/Missions/CraftingUnlocks/RecipeUnlockTemplarBookNoHelena",148
