"rownum","Id","Function","Arguments","TextAudio","Description","BuyAchievements","rid","DealFamily"
0,0,"reroll_affixes_highest_of_X","prefix count 3",12009,"Reroll Prefixes 3 times, keeping the best outcome.",[8074],34,1
1,1,"reroll_affixes_highest_of_X","prefix count 6",12009,"Reroll Prefixes 6 times, keeping the best outcome.",[8074],34,1
2,2,"reroll_affixes_highest_of_X","prefix count 10",12009,"Reroll Prefixes 10 times, keeping the best outcome.",[8074],34,1
3,3,"reroll_affixes_highest_of_X","suffix count 3",12008,"Reroll Suffixes 3 times, keeping the best outcome.",[8075],34,2
4,4,"reroll_affixes_highest_of_X","suffix count 6",12008,"Reroll Suffixes 6 times, keeping the best outcome.",[8075],34,2
5,5,"reroll_affixes_highest_of_X","suffix count 10",12008,"Reroll Suffixes 10 times, keeping the best outcome.",[8075],34,2
6,6,"reroll_affixes_highest_of_X","prefix count 3 restrict",12009,"Reroll Prefixes 3 times, keeping the best outcome.",[8074],34,1
7,7,"reroll_affixes_highest_of_X","prefix count 6 restrict",12009,"Reroll Prefixes 6 times, keeping the best outcome.",[8074],34,1
8,8,"reroll_affixes_highest_of_X","prefix count 10 restrict",12009,"Reroll Prefixes 10 times, keeping the best outcome.",[8074],34,1
9,9,"reroll_affixes_highest_of_X","suffix count 3 restrict",12008,"Reroll Suffixes 3 times, keeping the best outcome.",[8075],34,2
10,10,"reroll_affixes_highest_of_X","suffix count 6 restrict",12008,"Reroll Suffixes 6 times, keeping the best outcome.",[8075],34,2
11,11,"reroll_affixes_highest_of_X","suffix count 10 restrict",12008,"Reroll Suffixes 10 times, keeping the best outcome.",[8075],34,2
12,12,"reroll_mods_lucky","prefix suffix single ignore_max count 1",12011,"Reroll Modifier Values of a single Modifier.",[],34,3
13,13,"reroll_mods_lucky","prefix suffix single ignore_max count 3",12011,"Reroll Modifier Values of a single Modifier 3 times, keeping the best outcome.",[],34,3
14,14,"reroll_mods_lucky","prefix suffix single ignore_max count 5",12011,"Reroll Modifier Values of a single Modifier 5 times, keeping the best outcome.",[],34,3
15,15,"reroll_mods_lucky","prefix ignore_max count 1",12011,"Reroll Modifier Values of Prefixes.",[8076],34,4
16,16,"reroll_mods_lucky","prefix ignore_max count 3",12011,"Reroll Modifier Values of Prefixes 3 times, keeping the best outcome.",[8076],34,4
17,17,"reroll_mods_lucky","prefix ignore_max count 5",12011,"Reroll Modifier Values of Prefixes 5 times, keeping the best outcome.",[8076],34,4
18,18,"reroll_mods_lucky","suffix ignore_max count 1",12011,"Reroll Modifier Values of Suffixes.",[8077],34,5
19,19,"reroll_mods_lucky","suffix ignore_max count 3",12011,"Reroll Modifier Values of Suffixes 3 times, keeping the best outcome.",[8077],34,5
20,20,"reroll_mods_lucky","suffix ignore_max count 5",12011,"Reroll Modifier Values of Suffixes 5 times, keeping the best outcome.",[8077],34,5
21,21,"reroll_mods_lucky","implicit ignore_max count 1",12012,"Reroll Modifier Values of Implicits.",[8078],34,6
22,22,"reroll_mods_lucky","implicit ignore_max count 3",12012,"Reroll Modifier Values of Implicits 3 times, keeping the best outcome.",[8078],34,6
23,23,"reroll_mods_lucky","implicit ignore_max count 5",12012,"Reroll Modifier Values of Implicits 5 times, keeping the best outcome.",[8078],34,6
24,24,"upgrade_X_mods_to_max_tier","1",12010,"Upgrade the level of a single Modifier to its highest tier.",[8079],34,7
25,25,"upgrade_X_mods_to_max_tier","2",12010,"Upgrade the level of 2 Modifiers to their highest tiers.",[8079],34,7
26,26,"upgrade_X_mods_to_max_tier","6",12010,"Upgrade Modifier level of all Modifiers to their highest tier.",[8079],34,7
27,27,"upgrade_X_mods_to_max_tier","1 only_one_tier",12010,"Upgrade the level of a Modifier by 1 tier.",[8079],34,8
28,28,"upgrade_X_mods_to_max_tier","2 only_one_tier",12010,"Upgrade the level of 2 Modifiers by 1 tier.",[8079],34,8
29,29,"upgrade_X_mods_to_max_tier","3 only_one_tier",12010,"Upgrade the level of 3 Modifiers by 1 tier.",[8079],34,8
30,30,"upgrade_X_mods_to_max_tier","4 only_one_tier",12010,"Upgrade the level of 4 Modifiers by 1 tier.",[8079],34,8
31,31,"upgrade_X_mods_to_max_tier","5 only_one_tier",12010,"Upgrade the level of 5 Modifiers by 1 tier.",[8079],34,8
32,32,"upgrade_X_mods_to_max_tier","6 only_one_tier",12010,"Upgrade the level of 6 Modifiers by 1 tier.",[8079],34,8
