"rownum","WorldAreasKey","BaseItemTypesKey","QuestState","MonsterVarietiesKey","PantheonPanelLayoutKey"
0,1163,8321,1390,2333,0
1,1130,8322,1391,1011,0
2,1136,8323,1392,4378,0
3,1117,8324,1393,2476,1
4,1124,8325,1394,2392,1
5,1247,8326,1395,8068,1
6,1170,8327,1396,73,2
7,1188,8328,1397,4513,2
8,1213,8329,1398,4008,2
9,1164,8330,1399,5279,3
10,1098,8331,1400,2429,3
11,1225,8332,1401,5612,3
12,1202,8333,1403,5600,6
13,1132,8334,1406,5634,8
14,1218,8335,1407,2468,9
15,1251,8336,1408,8077,10
16,1224,8337,1402,4592,11
17,1123,8338,1405,5338,13
18,1227,8339,1409,5685,14
19,1111,8340,1404,5674,15
