"rownum","BaseItemTypesKey","ItemCurrentLevel","Experience"
0,5244,1,0
1,5244,2,70
2,5244,3,378
3,5244,4,1932
4,5244,5,8599
5,5244,6,34646
6,5244,7,84371
7,5244,8,180085
8,5244,9,349680
9,5244,10,633439
10,5244,11,1087435
11,5244,12,1790563
12,5244,13,2851786
13,5244,14,4917656
14,5244,15,7424766
15,5244,16,13223702
16,5244,17,28307621
17,5244,18,56100356
18,5244,19,99970095
19,5244,20,342051651
20,5245,1,0
21,5245,2,15249
22,5245,3,56766
23,5245,4,138749
24,5245,5,286717
25,5245,6,537274
26,5245,7,942360
27,5245,8,1390078
28,5245,9,2005396
29,5245,10,2840035
30,5245,11,4410795
31,5245,12,6044782
32,5245,13,8195812
33,5245,14,11008001
34,5245,15,16107361
35,5245,16,25508092
36,5245,17,40781458
37,5245,18,67068040
38,5245,19,129958630
39,5245,20,342004647
40,5246,1,0
41,5246,2,9569
42,5246,3,37758
43,5246,4,96904
44,5246,5,208096
45,5246,6,401896
46,5246,7,722176
47,5246,8,1081266
48,5246,9,1579774
49,5246,10,2261831
50,5246,11,3183608
51,5246,12,4911487
52,5246,13,6703256
53,5246,14,9056935
54,5246,15,12127847
55,5246,16,21223313
56,5246,17,37263203
57,5246,18,67080320
58,5246,19,129975376
59,5246,20,342026975
60,5249,1,0
61,5249,2,15249
62,5249,3,56766
63,5249,4,138749
64,5249,5,286717
65,5249,6,537274
66,5249,7,942360
67,5249,8,1390078
68,5249,9,2005396
69,5249,10,2840035
70,5249,11,4410795
71,5249,12,6044782
72,5249,13,8195812
73,5249,14,11008001
74,5249,15,16107361
75,5249,16,25508092
76,5249,17,40781458
77,5249,18,67068040
78,5249,19,129958630
79,5249,20,342004647
80,5251,1,0
81,5251,2,70
82,5251,3,378
83,5251,4,1932
84,5251,5,8599
85,5251,6,34646
86,5251,7,84371
87,5251,8,180085
88,5251,9,349680
89,5251,10,633439
90,5251,11,1087435
91,5251,12,1790563
92,5251,13,2851786
